time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,year_breakdown,social_care_group,school_type,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact
202122,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Six half terms,CPPO at 31 March,Total,111,38287,7844,20.5,3476,9.1,4368,11.4,75,67.6
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Six half terms,CPPO at 31 March,State-funded secondary,34,11238,3063,27.3,1163,10.3,1900,16.9,27,79.4
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Six half terms,CPPO at 31 March,State-funded primary,62,22324,3096,13.9,1473,6.6,1623,7.3,38,61.3
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Six half terms,CPPO at 31 March,Special,9,3148,834,26.5,374,11.9,460,14.6,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Six half terms,CPPO at 31 March,Pupil referral unit,6,1577,851,54,466,29.5,385,24.4,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Six half terms,CPPO at 31 March,Total,207,73176,11629,15.9,6948,9.5,4681,6.4,97,46.9
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Six half terms,CPPO at 31 March,State-funded secondary,82,27738,6013,21.7,2966,10.7,3047,11,48,58.5
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Six half terms,CPPO at 31 March,State-funded primary,112,40780,4095,10,2687,6.6,1408,3.5,41,36.6
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Six half terms,CPPO at 31 March,Special,13,4658,1521,32.7,1295,27.8,226,4.9,8,61.5
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Six half terms,CPPO at 31 March,Pupil referral unit,0,z,z,z,z,z,z,z,z,z
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Six half terms,CPPO at 31 March,Total,133,47571,8579,18,4188,8.8,4391,9.2,68,51.1
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Six half terms,CPPO at 31 March,State-funded secondary,46,15548,4348,28,1830,11.8,2518,16.2,36,78.3
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Six half terms,CPPO at 31 March,State-funded primary,72,26726,2241,8.4,1237,4.6,1004,3.8,21,29.2
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Six half terms,CPPO at 31 March,Total,87,30858,6160,20,3624,11.7,2536,8.2,57,65.5
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Six half terms,CPPO at 31 March,State-funded secondary,36,12458,2822,22.7,1459,11.7,1363,10.9,24,66.7
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Six half terms,CPPO at 31 March,State-funded primary,41,15039,2352,15.6,1527,10.2,825,5.5,24,58.5
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Six half terms,CPPO at 31 March,Total,135,48254,9520,19.7,4394,9.1,5126,10.6,68,50.4
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Six half terms,CPPO at 31 March,State-funded secondary,38,12993,3733,28.7,1511,11.6,2222,17.1,26,68.4
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Six half terms,CPPO at 31 March,State-funded primary,88,31868,3543,11.1,2080,6.5,1463,4.6,34,38.6
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Six half terms,CPPO at 31 March,Total,197,69308,10582,15.3,5848,8.4,4734,6.8,86,43.7
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Six half terms,CPPO at 31 March,State-funded secondary,105,36183,6340,17.5,2975,8.2,3365,9.3,56,53.3
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Six half terms,CPPO at 31 March,State-funded primary,83,29997,3080,10.3,2178,7.3,902,3,24,28.9
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Six half terms,CPPO at 31 March,Total,56,19279,3190,16.5,1805,9.4,1385,7.2,27,48.2
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Six half terms,CPPO at 31 March,State-funded secondary,26,8882,1959,22.1,1002,11.3,957,10.8,16,61.5
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Six half terms,CPPO at 31 March,State-funded primary,26,9195,839,9.1,543,5.9,296,3.2,8,30.8
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Six half terms,CPPO at 31 March,Total,147,50847,8413,16.5,3082,6.1,5331,10.5,90,61.2
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Six half terms,CPPO at 31 March,State-funded secondary,51,16968,4161,24.5,1427,8.4,2734,16.1,41,80.4
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Six half terms,CPPO at 31 March,State-funded primary,87,30703,3644,11.9,1330,4.3,2314,7.5,43,49.4
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Six half terms,CPPO at 31 March,Total,185,65685,11355,17.3,6618,10.1,4737,7.2,101,54.6
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Six half terms,CPPO at 31 March,State-funded secondary,72,25116,5123,20.4,2774,11,2349,9.4,46,63.9
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Six half terms,CPPO at 31 March,State-funded primary,99,35809,4297,12,2464,6.9,1833,5.1,43,43.4
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,Six half terms,CPPO at 31 March,Total,126,43766,8452,19.3,4122,9.4,4330,9.9,73,57.9
202122,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,Six half terms,CPPO at 31 March,State-funded secondary,53,17480,4500,25.7,1815,10.4,2685,15.4,36,67.9
202122,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,Six half terms,CPPO at 31 March,State-funded primary,66,23936,3059,12.8,1795,7.5,1264,5.3,30,45.5
202122,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,Six half terms,CPPO at 31 March,Total,125,44142,8631,19.6,4771,10.8,3860,8.7,69,55.2
202122,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,Six half terms,CPPO at 31 March,State-funded secondary,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,Six half terms,CPPO at 31 March,State-funded primary,67,23922,2672,11.2,1708,7.1,964,4,25,37.3
202122,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,Six half terms,CPPO at 31 March,Pupil referral unit,0,z,z,z,z,z,z,z,z,z
202122,Academic year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,Six half terms,CPPO at 31 March,Total,169,58907,12593,21.4,6884,11.7,5709,9.7,103,60.9
202122,Academic year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,Six half terms,CPPO at 31 March,State-funded secondary,69,23944,7385,30.8,3473,14.5,3912,16.3,45,65.2
202122,Academic year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,Six half terms,CPPO at 31 March,State-funded primary,89,31292,4210,13.5,2833,9.1,1377,4.4,51,57.3
202122,Academic year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Six half terms,CPPO at 31 March,Total,277,96145,17075,17.8,9190,9.6,7885,8.2,139,50.2
202122,Academic year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Six half terms,CPPO at 31 March,State-funded secondary,110,37154,10323,27.8,4456,12,5867,15.8,74,67.3
202122,Academic year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Six half terms,CPPO at 31 March,State-funded primary,157,55473,5569,10,3978,7.2,1591,2.9,58,36.9
202122,Academic year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Six half terms,CPPO at 31 March,Total,88,29208,4994,17.1,1867,6.4,3127,10.7,40,45.5
202122,Academic year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Six half terms,CPPO at 31 March,State-funded secondary,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Six half terms,CPPO at 31 March,State-funded primary,48,16296,1445,8.9,910,5.6,535,3.3,15,31.3
202122,Academic year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,Six half terms,CPPO at 31 March,Pupil referral unit,0,z,z,z,z,z,z,z,z,z
202122,Academic year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,Six half terms,CPPO at 31 March,Total,108,38446,9959,25.9,2325,6,7634,19.9,68,63
202122,Academic year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,Six half terms,CPPO at 31 March,State-funded secondary,41,14601,5519,37.8,1002,6.9,4517,30.9,33,80.5
202122,Academic year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,Six half terms,CPPO at 31 March,State-funded primary,56,20039,2704,13.5,1036,5.2,1668,8.3,26,46.4
202122,Academic year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Six half terms,CPPO at 31 March,Total,215,74930,15226,20.3,6438,8.6,8788,11.7,125,58.1
202122,Academic year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Six half terms,CPPO at 31 March,State-funded secondary,74,24675,6995,28.3,2558,10.4,4437,18,52,70.3
202122,Academic year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Six half terms,CPPO at 31 March,State-funded primary,119,42812,5622,13.1,2635,6.2,2987,7,59,49.6
202122,Academic year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Six half terms,CPPO at 31 March,Special,13,4593,652,14.2,516,11.2,136,3,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,Six half terms,CPPO at 31 March,Pupil referral unit,9,2850,1957,68.7,729,25.6,1228,43.1,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,Six half terms,CPPO at 31 March,Total,316,111242,21629,19.4,9449,8.5,12180,10.9,182,57.6
202122,Academic year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,Six half terms,CPPO at 31 March,State-funded secondary,111,37433,11235,30,4536,12.1,6699,17.9,89,80.2
202122,Academic year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,Six half terms,CPPO at 31 March,State-funded primary,184,67335,7763,11.5,3676,5.5,4087,6.1,79,42.9
202122,Academic year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,Six half terms,CPPO at 31 March,Total,288,100196,18250,18.2,7013,7,11237,11.2,154,53.5
202122,Academic year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,Six half terms,CPPO at 31 March,State-funded secondary,119,40063,9946,24.8,3195,8,6751,16.9,77,64.7
202122,Academic year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,Six half terms,CPPO at 31 March,State-funded primary,148,53239,6210,11.7,2904,5.5,3306,6.2,64,43.2
202122,Academic year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,Six half terms,CPPO at 31 March,Total,233,81587,18002,22.1,7046,8.6,10956,13.4,129,55.4
202122,Academic year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,Six half terms,CPPO at 31 March,State-funded secondary,94,32104,10696,33.3,3309,10.3,7387,23,67,71.3
202122,Academic year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,Six half terms,CPPO at 31 March,State-funded primary,124,44721,5180,11.6,2314,5.2,2866,6.4,52,41.9
202122,Academic year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,Six half terms,CPPO at 31 March,Total,180,63052,12096,19.2,4927,7.8,7169,11.4,110,61.1
202122,Academic year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,Six half terms,CPPO at 31 March,State-funded secondary,73,24768,5664,22.9,2041,8.2,3623,14.6,52,71.2
202122,Academic year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,Six half terms,CPPO at 31 March,State-funded primary,97,34868,4938,14.2,2162,6.2,2776,8,49,50.5
202122,Academic year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,Six half terms,CPPO at 31 March,Total,165,58003,14984,25.8,4740,8.2,10244,17.7,107,64.8
202122,Academic year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,Six half terms,CPPO at 31 March,State-funded secondary,62,21291,7367,34.6,1878,8.8,5489,25.8,44,71
202122,Academic year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,Six half terms,CPPO at 31 March,State-funded primary,84,30316,5185,17.1,1801,5.9,3384,11.2,48,57.1
202122,Academic year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,Six half terms,CPPO at 31 March,Special,13,4600,1279,27.8,728,15.8,551,12,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,Six half terms,CPPO at 31 March,Pupil referral unit,6,1796,1153,64.2,333,18.5,820,45.7,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,Six half terms,CPPO at 31 March,Total,216,77297,15780,20.4,7645,9.9,8135,10.5,122,56.5
202122,Academic year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,Six half terms,CPPO at 31 March,State-funded secondary,71,24592,7578,30.8,3178,12.9,4400,17.9,52,73.2
202122,Academic year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,Six half terms,CPPO at 31 March,State-funded primary,130,47476,6023,12.7,3306,7,2717,5.7,60,46.2
202122,Academic year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,Six half terms,CPPO at 31 March,Special,9,3254,917,28.2,842,25.9,75,2.3,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,Six half terms,CPPO at 31 March,Pupil referral unit,6,1975,1262,63.9,319,16.2,943,47.7,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,Six half terms,CPPO at 31 March,Total,102,34819,6870,19.7,2524,7.2,4346,12.5,63,61.8
202122,Academic year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,Six half terms,CPPO at 31 March,State-funded secondary,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,Six half terms,CPPO at 31 March,State-funded primary,61,22633,3466,15.3,1687,7.5,1779,7.9,33,54.1
202122,Academic year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,Six half terms,CPPO at 31 March,Pupil referral unit,0,z,z,z,z,z,z,z,z,z
202122,Academic year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,Six half terms,CPPO at 31 March,Total,163,57172,13020,22.8,5772,10.1,7248,12.7,103,63.2
202122,Academic year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,Six half terms,CPPO at 31 March,State-funded secondary,55,18705,6055,32.4,2287,12.2,3768,20.1,40,72.7
202122,Academic year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,Six half terms,CPPO at 31 March,State-funded primary,100,35569,5491,15.4,2954,8.3,2537,7.1,58,58
202122,Academic year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,Six half terms,CPPO at 31 March,Total,201,71413,12714,17.8,5989,8.4,6725,9.4,100,49.8
202122,Academic year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,Six half terms,CPPO at 31 March,State-funded secondary,86,30174,6919,22.9,3132,10.4,3787,12.6,56,65.1
202122,Academic year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,Six half terms,CPPO at 31 March,State-funded primary,96,35014,3515,10,2025,5.8,1490,4.3,30,31.3
202122,Academic year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,Six half terms,CPPO at 31 March,Special,11,3615,729,20.2,455,12.6,274,7.6,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,Six half terms,CPPO at 31 March,Pupil referral unit,8,2610,1551,59.4,377,14.4,1174,45,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,Six half terms,CPPO at 31 March,Total,101,35248,8182,23.2,3171,9,5011,14.2,57,56.4
202122,Academic year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,Six half terms,CPPO at 31 March,State-funded secondary,41,13389,4909,36.7,1559,11.6,3350,25,35,85.4
202122,Academic year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,Six half terms,CPPO at 31 March,State-funded primary,51,18955,1645,8.7,1163,6.1,482,2.5,14,27.5
202122,Academic year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Six half terms,CPPO at 31 March,Total,114,40876,9052,22.1,3508,8.6,5544,13.6,60,52.6
202122,Academic year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Six half terms,CPPO at 31 March,State-funded secondary,39,13805,5412,39.2,1430,10.4,3982,28.8,29,74.4
202122,Academic year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Six half terms,CPPO at 31 March,State-funded primary,69,25003,2419,9.7,1618,6.5,801,3.2,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Six half terms,CPPO at 31 March,Special,6,2068,1221,59,460,22.2,761,36.8,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,Six half terms,CPPO at 31 March,Pupil referral unit,0,z,z,z,z,z,z,z,z,z
202122,Academic year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,Six half terms,CPPO at 31 March,Total,292,103697,19003,18.3,9039,8.7,9964,9.6,141,48.3
202122,Academic year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,Six half terms,CPPO at 31 March,State-funded secondary,113,39224,10071,25.7,3928,10,6143,15.7,72,63.7
202122,Academic year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,Six half terms,CPPO at 31 March,State-funded primary,170,61485,7054,11.5,4375,7.1,2679,4.4,61,35.9
202122,Academic year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,Six half terms,CPPO at 31 March,Total,216,76358,17197,22.5,6516,8.5,10681,14,131,60.6
202122,Academic year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,Six half terms,CPPO at 31 March,State-funded secondary,79,27549,9331,33.9,2431,8.8,6900,25,62,78.5
202122,Academic year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,Six half terms,CPPO at 31 March,State-funded primary,116,41498,5344,12.9,2748,6.6,2596,6.3,53,45.7
202122,Academic year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,Six half terms,CPPO at 31 March,Special,21,7311,2522,34.5,1337,18.3,1185,16.2,16,76.2
202122,Academic year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,Six half terms,CPPO at 31 March,Pupil referral unit,0,z,z,z,z,z,z,z,z,z
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Six half terms,CPPO at 31 March,Total,129,45777,9672,21.1,3287,7.2,6385,13.9,71,55
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Six half terms,CPPO at 31 March,State-funded secondary,39,13305,4303,32.3,1452,10.9,2851,21.4,28,71.8
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Six half terms,CPPO at 31 March,State-funded primary,85,30878,4275,13.8,1792,5.8,2483,8,38,44.7
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Six half terms,CPPO at 31 March,Special,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,Six half terms,CPPO at 31 March,Pupil referral unit,c,c,c,c,c,c,c,c,c,c
