time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,t_read_eligible_pupils,t_read_met_expected_standard,t_writta_eligible_pupils,t_writta_met_expected_standard,t_mat_eligible_pupils,t_mat_met_expected_standard,t_rwm_eligible_pupils,t_rwm_met_expected_standard,t_gps_eligible_pupils,t_gps_met_expected_standard,t_scita_eligible_pupils,t_scita_met_expected_standard,t_read_progress_eligible_pupils,t_read_progress_score,avg_read_progress_score,t_writta_progress_eligible_pupils,t_writta_progress_score,avg_writta_progress_score,t_mat_progress_eligible_pupils,t_mat_progress_score,avg_mat_progress_score
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CLA 12 months at 31 March,34,22,34,19,34,20,34,14,34,19,34,21,33,-6.07243618,-0.18,34,29.74785438,0.87,34,3.85355515,0.11
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CLA 12 months at 31 March,19,9,19,9,19,12,19,8,19,9,19,11,18,-12.79592723,-0.71,18,8.710702,0.48,18,15.48430518,0.86
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CLA 12 months at 31 March,16,9,16,c,16,c,16,c,16,6,16,8,15,18.6362924,1.24,15,0.19787528,0.01,15,-9.35443729,-0.62
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CLA 12 months at 31 March,29,18,29,13,29,17,29,11,29,15,29,18,29,9.33162708,0.32,29,-1.50812695,-0.05,29,-20.43918968,-0.7
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,CLA 12 months at 31 March,24,14,24,11,24,10,24,7,24,10,24,15,22,65.38060544,2.97,22,16.24291262,0.74,22,-17.01299352,-0.77
202122,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,CLA 12 months at 31 March,10,c,10,c,10,c,10,c,10,6,10,c,10,-2.3135918,-0.23,10,13.12054221,1.31,10,12.77189165,1.28
202122,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,CLA 12 months at 31 March,27,17,27,13,27,12,27,10,27,14,27,14,26,7.98312965,0.31,26,15.28995434,0.59,26,-12.63901509,-0.49
202122,Academic year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,CLA 12 months at 31 March,17,10,17,7,17,8,17,6,17,11,17,9,15,-7.46767905,-0.5,15,-38.00092469,-2.53,15,-45.21856208,-3.01
202122,Academic year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,CLA 12 months at 31 March,29,15,29,10,29,12,29,8,29,12,29,18,28,58.849873,2.1,28,-2.59017554,-0.09,28,-24.59893274,-0.88
202122,Academic year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,CLA 12 months at 31 March,16,6,16,6,16,7,16,c,16,6,16,7,15,-25.58341447,-1.71,16,-18.98727262,-1.19,16,6.41811323,0.4
202122,Academic year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,CLA 12 months at 31 March,16,9,16,8,16,9,16,8,16,9,16,9,16,53.9466725,3.37,16,14.38639639,0.9,16,28.24350242,1.77
202122,Academic year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CLA 12 months at 31 March,100,61,100,51,100,51,100,36,100,53,100,56,97,-15.45120501,-0.16,99,-61.47588376,-0.62,98,-91.25568906,-0.93
202122,Academic year,Local authority,E92000001,England,E12000002,North West,341,Liverpool,E08000012,CLA 12 months at 31 March,77,46,77,36,76,37,76,29,76,40,77,41,72,-4.27173246,-0.06,71,20.52200291,0.29,71,-28.68801902,-0.4
202122,Academic year,Local authority,E92000001,England,E12000002,North West,352,Manchester,E08000003,CLA 12 months at 31 March,54,29,54,20,54,26,54,17,54,26,54,28,49,60.22745776,1.23,49,-37.72202726,-0.77,49,-19.96155931,-0.41
202122,Academic year,Local authority,E92000001,England,E12000002,North West,353,Oldham,E08000004,CLA 12 months at 31 March,23,14,23,11,23,10,23,9,23,10,23,13,21,-25.82723817,-1.23,21,-10.05056958,-0.48,21,-31.12156516,-1.48
202122,Academic year,Local authority,E92000001,England,E12000002,North West,354,Rochdale,E08000005,CLA 12 months at 31 March,24,16,24,13,24,12,24,10,24,16,24,14,23,7.97087081,0.35,23,-19.15318991,-0.83,24,-65.52954262,-2.73
202122,Academic year,Local authority,E92000001,England,E12000002,North West,355,Salford,E08000006,CLA 12 months at 31 March,18,9,18,7,18,7,18,6,18,10,18,10,16,-7.05439266,-0.44,16,-26.05404644,-1.63,16,-26.40267482,-1.65
202122,Academic year,Local authority,E92000001,England,E12000002,North West,343,Sefton,E08000014,CLA 12 months at 31 March,42,29,42,24,42,22,42,16,42,22,42,22,39,70.24537322,1.8,39,36.93763556,0.95,39,-25.36892302,-0.65
202122,Academic year,Local authority,E92000001,England,E12000002,North West,342,St. Helens,E08000013,CLA 12 months at 31 March,33,18,33,16,33,18,33,11,33,15,33,21,33,-28.78977472,-0.87,33,10.39989526,0.32,33,-12.07287598,-0.37
202122,Academic year,Local authority,E92000001,England,E12000002,North West,356,Stockport,E08000007,CLA 12 months at 31 March,20,8,20,7,20,7,20,6,20,8,20,8,18,-18.86617228,-1.05,18,-49.14313201,-2.73,18,-35.4238672,-1.97
202122,Academic year,Local authority,E92000001,England,E12000002,North West,357,Tameside,E08000008,CLA 12 months at 31 March,33,16,33,12,33,14,33,6,33,16,33,18,31,53.46200577,1.72,31,-11.75039342,-0.38,31,14.40660663,0.46
202122,Academic year,Local authority,E92000001,England,E12000002,North West,358,Trafford,E08000009,CLA 12 months at 31 March,14,8,14,c,14,c,14,c,14,9,14,7,13,-23.71340921,-1.82,13,-15.11496199,-1.16,13,-38.64765241,-2.97
202122,Academic year,Local authority,E92000001,England,E12000002,North West,877,Warrington,E06000007,CLA 12 months at 31 March,7,c,7,c,7,c,7,c,7,c,7,6,7,-1.02583478,-0.15,7,27.05078112,3.86,7,10.46977739,1.5
202122,Academic year,Local authority,E92000001,England,E12000002,North West,359,Wigan,E08000010,CLA 12 months at 31 March,22,13,22,9,22,7,22,6,22,9,22,8,20,29.053273,1.45,20,6.90294653,0.35,19,-51.04488015,-2.69
202122,Academic year,Local authority,E92000001,England,E12000002,North West,344,Wirral,E08000015,CLA 12 months at 31 March,48,26,48,20,48,22,48,15,48,23,46,23,48,-12.98942823,-0.27,48,-37.25961545,-0.78,47,-53.23111269,-1.13
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,Barnsley,E08000016,CLA 12 months at 31 March,18,8,18,c,18,8,18,c,18,9,18,7,17,4.99400024,0.29,17,-19.1939482,-1.13,17,20.71202384,1.22
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,Bradford,E08000032,CLA 12 months at 31 March,54,27,54,20,54,21,54,17,54,24,54,26,46,-17.78243234,-0.39,48,-62.22404337,-1.3,45,-57.87740569,-1.29
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,381,Calderdale,E08000033,CLA 12 months at 31 March,11,9,11,7,11,6,11,c,11,8,11,6,10,31.22554376,3.12,11,10.41382227,0.95,10,20.30387665,2.03
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,371,Doncaster,E08000017,CLA 12 months at 31 March,19,9,19,7,19,7,19,6,19,6,19,8,18,-54.13941034,-3.01,18,-51.18196646,-2.84,18,-23.74929277,-1.32
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,East Riding of Yorkshire,E06000011,CLA 12 months at 31 March,12,6,12,c,12,6,12,c,12,c,12,c,12,-2.80901666,-0.23,12,-12.31301166,-1.03,12,-19.56728032,-1.63
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,"Kingston upon Hull, City of",E06000010,CLA 12 months at 31 March,31,13,31,11,31,10,31,7,31,12,31,13,27,91.2939667,3.38,28,6.94761726,0.25,26,25.89134276,1
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,382,Kirklees,E08000034,CLA 12 months at 31 March,29,13,29,9,29,10,29,6,29,10,29,13,28,-75.38725496,-2.69,28,-82.39070609,-2.94,28,-104.8885299,-3.75
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,383,Leeds,E08000035,CLA 12 months at 31 March,51,23,51,18,51,17,51,12,51,20,51,23,43,-34.94522641,-0.81,44,-38.68602196,-0.88,43,-72.69760836,-1.69
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,North East Lincolnshire,E06000012,CLA 12 months at 31 March,24,12,24,12,24,12,24,8,24,8,24,13,21,35.06784808,1.67,21,24.80597735,1.18,21,48.37561203,2.3
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,North Lincolnshire,E06000013,CLA 12 months at 31 March,6,c,6,c,6,c,6,c,6,c,6,c,6,2.00953861,0.33,6,11.25617923,1.88,6,-0.43097163,-0.07
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,815,North Yorkshire,E10000023,CLA 12 months at 31 March,18,9,18,8,18,6,18,c,18,7,18,11,14,-5.71080987,-0.41,14,26.32874771,1.88,14,7.28046551,0.52
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,372,Rotherham,E08000018,CLA 12 months at 31 March,20,6,20,c,20,7,20,c,20,6,20,8,17,-37.14255021,-2.18,18,-52.95839335,-2.94,18,-41.96888019,-2.33
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,Sheffield,E08000019,CLA 12 months at 31 March,25,10,24,7,25,9,24,c,25,9,23,11,22,-67.12859529,-3.05,22,-100.2488615,-4.56,23,-21.57155449,-0.94
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,Wakefield,E08000036,CLA 12 months at 31 March,23,11,23,7,23,12,23,c,23,13,23,15,22,36.52563056,1.66,22,-4.97421535,-0.23,22,47.84634614,2.17
202122,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,CLA 12 months at 31 March,13,c,13,c,13,c,13,c,13,c,13,c,11,-45.86408669,-4.17,12,-29.47016357,-2.46,11,-20.94017502,-1.9
202122,Academic year,Local authority,E92000001,England,E12000004,East Midlands,831,Derby,E06000015,CLA 12 months at 31 March,26,12,26,9,26,13,26,8,26,12,26,13,25,16.37657295,0.66,25,-6.52712656,-0.26,25,55.92453403,2.24
202122,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,Derbyshire,E10000007,CLA 12 months at 31 March,34,17,34,10,34,12,34,6,34,13,34,13,31,47.55779882,1.53,32,-21.14208018,-0.66,31,-14.14623361,-0.46
202122,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,Leicester,E06000016,CLA 12 months at 31 March,46,24,46,17,46,22,46,14,46,23,46,27,43,-14.49776263,-0.34,44,-101.3063408,-2.3,43,-29.91076129,-0.7
202122,Academic year,Local authority,E92000001,England,E12000004,East Midlands,855,Leicestershire,E10000018,CLA 12 months at 31 March,30,18,30,16,30,18,30,13,30,16,30,19,28,-26.66830676,-0.95,29,-10.02944764,-0.35,27,-19.00300777,-0.7
202122,Academic year,Local authority,E92000001,England,E12000004,East Midlands,925,Lincolnshire,E10000019,CLA 12 months at 31 March,27,11,27,11,27,9,27,8,27,8,27,13,25,21.75880461,0.87,25,-3.91909211,-0.16,25,27.61064398,1.1
202122,Academic year,Local authority,E92000001,England,E12000004,East Midlands,940,North Northamptonshire,E06000061,CLA 12 months at 31 March,32,16,32,11,32,9,32,6,32,12,32,16,27,-6.0983066,-0.23,27,-75.46267243,-2.79,27,-44.17593622,-1.64
202122,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,Nottingham,E06000018,CLA 12 months at 31 March,18,10,18,8,18,7,18,6,18,9,18,9,17,46.28107975,2.72,17,0.60921019,0.04,17,-5.3654597,-0.32
202122,Academic year,Local authority,E92000001,England,E12000004,East Midlands,891,Nottinghamshire,E10000024,CLA 12 months at 31 March,34,14,34,12,34,12,34,8,34,16,34,18,31,-74.04821659,-2.39,31,-42.36512861,-1.37,31,-54.1527717,-1.75
202122,Academic year,Local authority,E92000001,England,E12000004,East Midlands,857,Rutland,E06000017,CLA 12 months at 31 March,0,z,0,z,0,z,0,z,0,z,0,z,0,z,z,0,z,z,0,z,z
202122,Academic year,Local authority,E92000001,England,E12000004,East Midlands,941,West Northamptonshire,E06000062,CLA 12 months at 31 March,30,15,28,13,30,14,28,9,30,15,28,15,29,3.1974691,0.11,28,-17.40223555,-0.62,29,-45.04676452,-1.55
202122,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,Birmingham,E08000025,CLA 12 months at 31 March,80,51,80,44,80,44,80,30,80,49,80,51,78,42.08319399,0.54,79,-33.87387094,-0.43,77,-58.12255226,-0.75
202122,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,Coventry,E08000026,CLA 12 months at 31 March,34,17,34,17,34,18,34,14,34,17,34,16,33,-32.147317,-0.97,34,-20.47233941,-0.6,33,-16.54129393,-0.5
202122,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,Dudley,E08000027,CLA 12 months at 31 March,27,11,27,11,27,11,27,6,27,14,27,14,26,-75.78171127,-2.91,26,-32.96138797,-1.27,26,-103.548706,-3.98
202122,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,"Herefordshire, County of",E06000019,CLA 12 months at 31 March,15,7,15,c,15,8,15,c,15,6,15,9,15,4.6765518,0.31,15,-14.16435086,-0.94,15,21.86436467,1.46
202122,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,Sandwell,E08000028,CLA 12 months at 31 March,44,20,44,19,44,24,44,16,44,17,44,25,42,-112.6232,-2.68,43,-96.25209611,-2.24,43,-61.53835481,-1.43
202122,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,Shropshire,E06000051,CLA 12 months at 31 March,31,18,31,17,31,16,31,13,31,19,31,20,27,-62.14713435,-2.3,27,-31.9382756,-1.18,26,-42.31760743,-1.63
202122,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,Solihull,E08000029,CLA 12 months at 31 March,24,10,24,8,24,8,24,6,24,8,24,11,24,-58.75876765,-2.45,24,-46.54681363,-1.94,24,-48.48170582,-2.02
202122,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,Staffordshire,E10000028,CLA 12 months at 31 March,63,28,63,25,63,31,63,16,63,34,62,27,58,-37.47353675,-0.65,58,14.20943223,0.24,56,11.5166297,0.21
202122,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,Stoke-on-Trent,E06000021,CLA 12 months at 31 March,46,23,45,18,46,21,45,15,46,25,45,26,42,-15.35879079,-0.37,42,-10.86632871,-0.26,41,50.89144403,1.24
202122,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,Telford and Wrekin,E06000020,CLA 12 months at 31 March,12,10,12,c,12,8,12,c,12,6,12,7,11,-24.31973815,-2.21,12,-50.56217478,-4.21,12,-19.86366602,-1.66
202122,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,Walsall,E08000030,CLA 12 months at 31 March,27,11,27,11,27,10,27,7,27,12,27,13,23,8.12173233,0.35,23,31.56146881,1.37,23,2.09038212,0.09
202122,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,Warwickshire,E10000031,CLA 12 months at 31 March,30,12,30,10,30,13,30,8,30,14,30,15,24,-25.6713539,-1.07,25,-17.42628005,-0.7,24,-18.45863796,-0.77
202122,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,Wolverhampton,E08000031,CLA 12 months at 31 March,21,8,21,c,21,7,21,c,21,9,21,12,20,-49.40281252,-2.47,20,29.25212576,1.46,20,-8.86501769,-0.44
202122,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,Worcestershire,E10000034,CLA 12 months at 31 March,37,17,38,17,38,18,37,13,38,21,38,22,35,-52.51957014,-1.5,35,-18.38431151,-0.53,35,-32.94300823,-0.94
202122,Academic year,Local authority,E92000001,England,E12000006,East of England,822,Bedford,E06000055,CLA 12 months at 31 March,6,c,6,c,6,c,6,c,6,c,c,c,6,-7.17151476,-1.2,6,8.32027148,1.39,6,-14.37465508,-2.4
202122,Academic year,Local authority,E92000001,England,E12000006,East of England,873,Cambridgeshire,E10000003,CLA 12 months at 31 March,26,14,26,9,26,11,26,9,26,10,26,9,23,-18.88227396,-0.82,24,-60.87805298,-2.54,23,-34.79662076,-1.51
202122,Academic year,Local authority,E92000001,England,E12000006,East of England,823,Central Bedfordshire,E06000056,CLA 12 months at 31 March,15,9,15,c,15,8,15,c,15,7,15,9,15,21.38161628,1.43,15,-33.29319954,-2.22,15,4.83592176,0.32
202122,Academic year,Local authority,E92000001,England,E12000006,East of England,881,Essex,E10000012,CLA 12 months at 31 March,34,12,34,11,34,10,34,7,34,13,34,18,29,-82.4118219,-2.84,29,-16.69716697,-0.58,29,-137.8448489,-4.75
202122,Academic year,Local authority,E92000001,England,E12000006,East of England,919,Hertfordshire,E10000015,CLA 12 months at 31 March,34,22,34,18,34,17,34,12,34,19,34,22,34,39.34682378,1.16,34,36.44580233,1.07,34,2.74476285,0.08
202122,Academic year,Local authority,E92000001,England,E12000006,East of England,821,Luton,E06000032,CLA 12 months at 31 March,14,7,14,6,14,7,14,c,14,7,14,6,13,-22.19020388,-1.71,14,-33.69305377,-2.41,14,-50.60431473,-3.61
202122,Academic year,Local authority,E92000001,England,E12000006,East of England,926,Norfolk,E10000020,CLA 12 months at 31 March,40,12,39,12,40,13,39,9,40,11,39,20,37,-84.43534028,-2.28,37,-43.46064431,-1.17,35,-52.26132361,-1.49
202122,Academic year,Local authority,E92000001,England,E12000006,East of England,874,Peterborough,E06000031,CLA 12 months at 31 March,15,8,15,8,15,7,15,6,15,8,15,10,15,-7.77076078,-0.52,15,-10.54235351,-0.7,15,-7.78061295,-0.52
202122,Academic year,Local authority,E92000001,England,E12000006,East of England,882,Southend-on-Sea,E06000033,CLA 12 months at 31 March,14,8,14,8,14,7,14,c,14,7,14,10,14,-23.51492396,-1.68,14,22.41778798,1.6,14,-20.68840751,-1.48
202122,Academic year,Local authority,E92000001,England,E12000006,East of England,935,Suffolk,E10000029,CLA 12 months at 31 March,33,19,33,13,33,16,33,11,33,17,33,19,31,-37.98408566,-1.23,31,-53.54561133,-1.73,31,-52.66292551,-1.7
202122,Academic year,Local authority,E92000001,England,E12000006,East of England,883,Thurrock,E06000034,CLA 12 months at 31 March,10,8,10,7,10,7,10,6,10,9,10,9,10,24.98127399,2.5,10,16.61218587,1.66,10,7.36002763,0.74
202122,Academic year,Local authority,E92000001,England,E12000008,South East,867,Bracknell Forest,E06000036,CLA 12 months at 31 March,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000008,South East,846,Brighton and Hove,E06000043,CLA 12 months at 31 March,13,7,13,6,13,6,13,c,13,6,13,7,13,3.00034869,0.23,13,-5.79302911,-0.45,13,-10.4866389,-0.81
202122,Academic year,Local authority,E92000001,England,E12000008,South East,825,Buckinghamshire,E06000060,CLA 12 months at 31 March,16,6,16,7,16,6,16,6,16,8,16,9,15,32.54309331,2.17,15,24.0962814,1.61,15,-13.33355971,-0.89
202122,Academic year,Local authority,E92000001,England,E12000008,South East,845,East Sussex,E10000011,CLA 12 months at 31 March,28,12,28,9,28,11,28,8,28,9,28,11,26,-47.04621965,-1.81,26,-75.07480557,-2.89,25,-29.50008179,-1.18
202122,Academic year,Local authority,E92000001,England,E12000008,South East,850,Hampshire,E10000014,CLA 12 months at 31 March,66,31,65,20,66,23,65,13,66,26,65,28,63,-103.366156,-1.64,63,-146.1515178,-2.32,61,-136.4516949,-2.24
202122,Academic year,Local authority,E92000001,England,E12000008,South East,921,Isle of Wight,E06000046,CLA 12 months at 31 March,13,c,13,c,13,c,13,c,13,c,13,6,13,-39.52927558,-3.04,13,-1.05547407,-0.08,12,-42.04240253,-3.5
202122,Academic year,Local authority,E92000001,England,E12000008,South East,886,Kent,E10000016,CLA 12 months at 31 March,47,27,47,23,47,24,47,16,47,24,47,27,43,-58.4112821,-1.36,43,-46.29287231,-1.08,43,-74.93834344,-1.74
202122,Academic year,Local authority,E92000001,England,E12000008,South East,887,Medway,E06000035,CLA 12 months at 31 March,19,6,19,9,19,c,19,c,19,7,19,9,18,-36.41782194,-2.02,18,17.69959194,0.98,18,-52.22312861,-2.9
202122,Academic year,Local authority,E92000001,England,E12000008,South East,826,Milton Keynes,E06000042,CLA 12 months at 31 March,14,7,14,c,14,c,14,c,14,c,14,c,13,-19.37524152,-1.49,13,-44.47891212,-3.42,13,-34.55991289,-2.66
202122,Academic year,Local authority,E92000001,England,E12000008,South East,931,Oxfordshire,E10000025,CLA 12 months at 31 March,27,10,27,8,27,8,27,c,26,9,27,13,25,-85.10593094,-3.4,25,-47.11711673,-1.88,25,-75.73996563,-3.03
202122,Academic year,Local authority,E92000001,England,E12000008,South East,851,Portsmouth,E06000044,CLA 12 months at 31 March,19,9,19,c,19,6,19,c,19,7,19,7,16,-30.92851069,-1.93,17,-77.28413008,-4.55,16,-32.48732666,-2.03
202122,Academic year,Local authority,E92000001,England,E12000008,South East,870,Reading,E06000038,CLA 12 months at 31 March,13,8,13,6,13,c,13,c,13,9,13,8,10,-32.33378837,-3.23,10,-34.2869768,-3.43,10,-46.42886115,-4.64
202122,Academic year,Local authority,E92000001,England,E12000008,South East,871,Slough,E06000039,CLA 12 months at 31 March,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000008,South East,852,Southampton,E06000045,CLA 12 months at 31 March,26,13,26,13,25,13,25,8,26,13,26,14,24,9.85571335,0.41,24,31.23629783,1.3,23,-0.39488884,-0.02
202122,Academic year,Local authority,E92000001,England,E12000008,South East,936,Surrey,E10000030,CLA 12 months at 31 March,34,15,34,15,34,13,34,12,34,16,34,14,32,-47.44597537,-1.48,32,-7.25549973,-0.23,32,-58.41756367,-1.83
202122,Academic year,Local authority,E92000001,England,E12000008,South East,869,West Berkshire,E06000037,CLA 12 months at 31 March,6,c,6,c,6,c,6,c,6,c,6,c,6,-21.78449766,-3.63,6,-9.37135942,-1.56,6,1.19744234,0.2
202122,Academic year,Local authority,E92000001,England,E12000008,South East,938,West Sussex,E10000032,CLA 12 months at 31 March,38,20,37,12,38,15,37,9,38,17,37,19,36,18.76130684,0.52,36,-0.67540681,-0.02,34,-7.79905315,-0.23
202122,Academic year,Local authority,E92000001,England,E12000008,South East,868,Windsor and Maidenhead,E06000040,CLA 12 months at 31 March,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000008,South East,872,Wokingham,E06000041,CLA 12 months at 31 March,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
202122,Academic year,Local authority,E92000001,England,E12000009,South West,800,Bath and North East Somerset,E06000022,CLA 12 months at 31 March,11,6,11,c,11,c,11,c,11,c,11,6,10,19.4639778,1.95,11,-8.48298799,-0.77,11,0.63363443,0.06
202122,Academic year,Local authority,E92000001,England,E12000009,South West,839,"Bournemouth, Christchurch and Poole",E06000058,CLA 12 months at 31 March,9,c,9,c,9,c,9,c,9,c,9,c,9,-33.16849773,-3.69,9,-35.45052321,-3.94,9,-57.92488281,-6.44
202122,Academic year,Local authority,E92000001,England,E12000009,South West,801,"Bristol, City of",E06000023,CLA 12 months at 31 March,27,12,27,11,27,11,27,8,27,12,27,15,26,-59.0482539,-2.27,27,-89.16551989,-3.3,27,-69.22959502,-2.56
202122,Academic year,Local authority,E92000001,England,E12000009,South West,908,Cornwall,E06000052,CLA 12 months at 31 March,16,10,16,9,16,11,16,7,16,9,16,11,16,5.23088744,0.33,16,-8.95775603,-0.56,16,11.65235173,0.73
202122,Academic year,Local authority,E92000001,England,E12000009,South West,878,Devon,E10000008,CLA 12 months at 31 March,26,13,26,10,26,11,26,8,26,12,26,16,19,11.91377272,0.63,20,18.00018471,0.9,19,-0.67480641,-0.04
