time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_read_eligible_pupils,t_read_met_expected_standard,pt_read_met_expected_standard,t_writta_eligible_pupils,t_writta_met_expected_standard,pt_writta_met_expected_standard,t_mat_eligible_pupils,t_mat_met_expected_standard,pt_mat_met_expected_standard,t_rwm_eligible_pupils,t_rwm_met_expected_standard,pt_rwm_met_expected_standard,t_gps_eligible_pupils,t_gps_met_expected_standard,pt_gps_met_expected_standard,t_scita_eligible_pupils,t_scita_met_expected_standard,pt_scita_met_expected_standard,t_read_progress_eligible_pupils,t_read_progress_score,avg_read_progress_score,avg_read_progress_score_lower_CI,avg_read_progress_score_upper_CI,t_writta_progress_eligible_pupils,t_writta_progress_score,avg_writta_progress_score,avg_writta_progress_score_lower_CI,avg_writta_progress_score_upper_CI,t_mat_progress_eligible_pupils,t_mat_progress_score,avg_mat_progress_score,avg_mat_progress_score_lower_CI,avg_mat_progress_score_upper_CI
202122,Academic year,Local authority,E92000001,England,E12000006,East of England,935,Suffolk,E10000029,CINO at 31 March,Revised,79,25,32,79,23,29,79,23,29,79,14,18,79,21,27,79,26,33,71,-364.1287526,-5.13,-6.59,-3.67,71,-236.3175917,-3.33,-4.73,-1.92,68,-331.8665942,-4.88,-6.27,-3.49
202122,Academic year,Local authority,E92000001,England,E12000006,East of England,883,Thurrock,E06000034,CINO at 31 March,Revised,27,8,30,27,9,33,27,8,30,27,6,22,27,8,30,27,11,41,25,-136.6225353,-5.46,-7.93,-3,25,-101.5789843,-4.06,-6.43,-1.7,25,-113.3202788,-4.53,-6.83,-2.24
202122,Academic year,Local authority,E92000001,England,E12000008,South East,867,Bracknell Forest,E06000036,CINO at 31 March,Revised,27,14,52,27,12,44,27,13,48,27,8,30,27,11,41,27,14,52,23,-29.86700797,-1.3,-3.87,1.27,23,-30.81917698,-1.34,-3.81,1.13,23,-21.33001185,-0.93,-3.32,1.46
202122,Academic year,Local authority,E92000001,England,E12000008,South East,846,Brighton and Hove,E06000043,CINO at 31 March,Revised,65,32,49,65,25,38,65,25,38,65,17,26,65,27,42,65,35,54,60,-92.72556535,-1.55,-3.14,0.05,61,-99.36545207,-1.63,-3.14,-0.11,61,-154.1702905,-2.53,-4,-1.06
202122,Academic year,Local authority,E92000001,England,E12000008,South East,825,Buckinghamshire,E06000060,CINO at 31 March,Revised,147,71,48,146,60,41,147,62,42,146,42,29,146,68,47,146,74,51,133,-152.3141065,-1.15,-2.21,-0.08,134,-295.4315077,-2.2,-3.23,-1.18,131,-244.4089686,-1.87,-2.87,-0.86
202122,Academic year,Local authority,E92000001,England,E12000008,South East,845,East Sussex,E10000011,CINO at 31 March,Revised,88,37,42,87,29,33,86,27,31,85,19,22,88,28,32,87,31,36,82,-352.5127224,-4.3,-5.66,-2.94,83,-366.1965379,-4.41,-5.71,-3.11,80,-398.5832049,-4.98,-6.26,-3.7
202122,Academic year,Local authority,E92000001,England,E12000008,South East,850,Hampshire,E10000014,CINO at 31 March,Revised,305,135,44,305,114,37,304,124,41,302,84,28,306,120,39,305,141,46,279,-853.2686593,-3.06,-3.8,-2.32,283,-774.5446677,-2.74,-3.44,-2.03,276,-966.5146809,-3.5,-4.19,-2.81
202122,Academic year,Local authority,E92000001,England,E12000008,South East,921,Isle of Wight,E06000046,CINO at 31 March,Revised,46,13,28,46,11,24,46,10,22,46,7,15,46,9,20,46,16,35,40,-153.2735713,-3.83,-5.78,-1.88,41,-98.08318192,-2.39,-4.24,-0.54,39,-159.6196487,-4.09,-5.93,-2.26
202122,Academic year,Local authority,E92000001,England,E12000008,South East,886,Kent,E10000016,CINO at 31 March,Revised,356,142,40,355,147,41,356,122,34,355,96,27,356,128,36,355,174,49,330,-1035.619568,-3.14,-3.82,-2.46,335,-571.0824331,-1.7,-2.35,-1.06,330,-1238.100082,-3.75,-4.38,-3.12
202122,Academic year,Local authority,E92000001,England,E12000008,South East,887,Medway,E06000035,CINO at 31 March,Revised,36,15,42,36,16,44,36,16,44,36,10,28,36,14,39,36,18,50,35,-172.8102163,-4.94,-7.02,-2.85,35,-133.1687902,-3.8,-5.81,-1.8,35,-169.7780989,-4.85,-6.79,-2.91
