time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_pupils,t_att8,avg_att8,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_CI_low,p8score_CI_upp
202122,Academic year,Local authority,E92000001,England,E13000002,Outer London,311,Havering,E09000016,CINO at 31 March,Revised,42,958.25,22.8,9,21.4,12,28.6,9,21.4,81.33,1.94,35,-56.946,-1.63,-2.09,-1.16
202122,Academic year,Local authority,E92000001,England,E13000002,Outer London,312,Hillingdon,E09000017,CINO at 31 March,Revised,95,2286.25,24.1,20,21.1,28,29.5,17,17.9,195,2.05,86,-116.794,-1.36,-1.66,-1.06
202122,Academic year,Local authority,E92000001,England,E13000002,Outer London,313,Hounslow,E09000018,CINO at 31 March,Revised,49,748.75,15.3,6,12.2,9,18.4,6,12.2,65.01,1.33,42,-79.442,-1.89,-2.32,-1.47
202122,Academic year,Local authority,E92000001,England,E13000002,Outer London,314,Kingston upon Thames,E09000021,CINO at 31 March,Revised,36,1004.5,27.9,12,33.3,14,38.9,11,30.6,88.66,2.46,32,-48.704,-1.52,-2.01,-1.03
202122,Academic year,Local authority,E92000001,England,E13000002,Outer London,315,Merton,E09000024,CINO at 31 March,Revised,58,1329.5,22.9,10,17.2,17,29.3,9,15.5,111.83,1.93,36,-39.403,-1.09,-1.55,-0.63
202122,Academic year,Local authority,E92000001,England,E13000002,Outer London,317,Redbridge,E09000026,CINO at 31 March,Revised,60,1187.5,19.8,10,16.7,16,26.7,8,13.3,98.33,1.64,51,-67.805,-1.33,-1.72,-0.94
202122,Academic year,Local authority,E92000001,England,E13000002,Outer London,318,Richmond upon Thames,E09000027,CINO at 31 March,Revised,34,1231,36.2,14,41.2,15,44.1,13,38.2,109.65,3.23,28,-13.039,-0.47,-0.99,0.06
202122,Academic year,Local authority,E92000001,England,E13000002,Outer London,319,Sutton,E09000029,CINO at 31 March,Revised,59,1016.5,17.2,7,11.9,13,22,8,13.6,87.33,1.48,42,-90.91,-2.16,-2.59,-1.74
202122,Academic year,Local authority,E92000001,England,E13000002,Outer London,320,Waltham Forest,E09000031,CINO at 31 March,Revised,73,2021,27.7,15,20.5,27,37,15,20.5,170.53,2.34,67,-103.832,-1.55,-1.89,-1.21
202122,Academic year,National,E92000001,England,,,,,,CLA 12 months at 31 March,Revised,5980,121617.25,20.3,660,11,1320,22.1,x,x,x,x,4600,-5967.181,-1.3,-1.34,-1.26
202122,Academic year,Regional,E92000001,England,E12000001,North East,,,,CLA 12 months at 31 March,Revised,380,8084,21.3,40,11.3,90,22.4,x,x,x,x,330,-469.17,-1.44,-1.6,-1.29
202122,Academic year,Regional,E92000001,England,E12000002,North West,,,,CLA 12 months at 31 March,Revised,1090,22644.5,20.7,120,10.5,250,22.6,x,x,x,x,870,-1161.473,-1.34,-1.43,-1.24
202122,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CLA 12 months at 31 March,Revised,660,14058,21.2,80,11.7,160,23.3,x,x,x,x,550,-645.905,-1.18,-1.3,-1.06
202122,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,CLA 12 months at 31 March,Revised,500,9493.25,19.2,40,8.3,100,19.4,x,x,x,x,400,c,-1.29,-1.43,-1.15
202122,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,CLA 12 months at 31 March,Revised,740,16217.5,21.8,90,11.7,180,23.7,x,x,x,x,600,-681.608,-1.13,-1.24,-1.02
202122,Academic year,Regional,E92000001,England,E12000006,East of England,,,,CLA 12 months at 31 March,Revised,520,10483,20.2,60,10.6,120,23.8,x,x,x,x,400,-485.232,-1.23,-1.37,-1.09
202122,Academic year,Regional,E92000001,England,E12000007,London,,,,CLA 12 months at 31 March,Revised,740,16337.25,22,120,16.2,190,25.4,x,x,x,x,500,-685.404,-1.37,-1.49,-1.24
202122,Academic year,Regional,E92000001,England,E12000008,South East,,,,CLA 12 months at 31 March,Revised,780,14338.5,18.4,80,10,150,19.4,x,x,x,x,580,-832.24,-1.43,-1.55,-1.32
202122,Academic year,Regional,E92000001,England,E12000009,South West,,,,CLA 12 months at 31 March,Revised,490,9190.75,18.9,40,8.2,100,20.1,x,x,x,x,380,-494.049,-1.29,-1.43,-1.15
202122,Academic year,Regional,E92000001,England,E13000001,Inner London,,,,CLA 12 months at 31 March,Revised,330,7276.25,22.2,50,16.2,90,26.8,x,x,x,x,220,-274.999,-1.27,-1.46,-1.09
202122,Academic year,Regional,E92000001,England,E13000002,Outer London,,,,CLA 12 months at 31 March,Revised,410,9061,21.9,70,16.2,100,24.2,x,x,x,x,290,-410.405,-1.43,-1.6,-1.27
202122,Academic year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,CLA 12 months at 31 March,Revised,62,1375,22.2,6,9.7,15,24.2,x,x,x,x,55,-82.154,-1.49,-1.87,-1.12
202122,Academic year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,CLA 12 months at 31 March,Revised,13,238,18.3,c,c,c,c,x,x,x,x,10,-18.064,-1.81,-2.68,-0.93
202122,Academic year,Local authority,E92000001,England,E12000001,North East,390,Gateshead,E08000037,CLA 12 months at 31 March,Revised,30,631,21,c,c,c,c,x,x,x,x,26,-35.956,-1.38,-1.92,-0.84
202122,Academic year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,CLA 12 months at 31 March,Revised,24,411,17.1,c,c,c,c,x,x,x,x,21,-44.585,-2.12,-2.73,-1.52
202122,Academic year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,CLA 12 months at 31 March,Revised,33,684.5,20.7,c,c,7,21.2,x,x,x,x,29,-45.206,-1.56,-2.07,-1.05
202122,Academic year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,CLA 12 months at 31 March,Revised,37,849.75,23,c,c,9,24.3,x,x,x,x,34,-46.47,-1.37,-1.84,-0.89
202122,Academic year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,CLA 12 months at 31 March,Revised,24,558.5,23.3,c,c,6,25,x,x,x,x,20,-27.357,-1.37,-1.99,-0.75
202122,Academic year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,CLA 12 months at 31 March,Revised,38,702.25,18.5,c,c,7,18.4,x,x,x,x,34,-51.948,-1.53,-2,-1.05
202122,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,CLA 12 months at 31 March,Revised,15,206.75,13.8,c,c,c,c,x,x,x,x,12,-27.59,-2.3,-3.1,-1.5
202122,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,CLA 12 months at 31 March,Revised,17,420.25,24.7,c,c,c,c,x,x,x,x,15,-15.049,-1,-1.72,-0.29
202122,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,CLA 12 months at 31 March,Revised,43,1029.5,23.9,10,23.3,12,27.9,x,x,x,x,36,-25.902,-0.72,-1.18,-0.26
202122,Academic year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,CLA 12 months at 31 March,Revised,43,977.5,22.7,9,20.9,12,27.9,x,x,x,x,33,-48.889,-1.48,-1.96,-1
202122,Academic year,Local authority,E92000001,England,E12000002,North West,889,Blackburn with Darwen,E06000008,CLA 12 months at 31 March,Revised,28,384.75,13.7,c,c,c,c,x,x,x,x,19,-38.37,-2.02,-2.65,-1.39
202122,Academic year,Local authority,E92000001,England,E12000002,North West,890,Blackpool,E06000009,CLA 12 months at 31 March,Revised,36,595.75,16.5,c,c,c,c,x,x,x,x,29,-53.074,-1.83,-2.34,-1.32
202122,Academic year,Local authority,E92000001,England,E12000002,North West,350,Bolton,E08000001,CLA 12 months at 31 March,Revised,46,938.5,20.4,7,15.2,10,21.7,x,x,x,x,34,-39.24,-1.15,-1.63,-0.68
202122,Academic year,Local authority,E92000001,England,E12000002,North West,351,Bury,E08000002,CLA 12 months at 31 March,Revised,25,567.5,22.7,c,c,8,32,x,x,x,x,19,-11.624,-0.61,-1.25,0.02
202122,Academic year,Local authority,E92000001,England,E12000002,North West,895,Cheshire East,E06000049,CLA 12 months at 31 March,Revised,47,1064,22.6,c,c,10,21.3,x,x,x,x,41,-45.862,-1.12,-1.55,-0.69
202122,Academic year,Local authority,E92000001,England,E12000002,North West,896,Cheshire West and Chester,E06000050,CLA 12 months at 31 March,Revised,47,992.75,21.1,c,c,12,25.5,x,x,x,x,41,-53.696,-1.31,-1.74,-0.88
202122,Academic year,Local authority,E92000001,England,E12000002,North West,909,Cumbria,E10000006,CLA 12 months at 31 March,Revised,67,1536,22.9,9,13.4,20,29.9,x,x,x,x,46,-57.244,-1.24,-1.65,-0.84
202122,Academic year,Local authority,E92000001,England,E12000002,North West,876,Halton,E06000006,CLA 12 months at 31 March,Revised,27,746.25,27.6,c,c,8,29.6,x,x,x,x,22,-19.485,-0.89,-1.47,-0.3
202122,Academic year,Local authority,E92000001,England,E12000002,North West,340,Knowsley,E08000011,CLA 12 months at 31 March,Revised,17,166.5,9.8,c,c,c,c,x,x,x,x,12,-27.781,-2.32,-3.11,-1.52
202122,Academic year,Local authority,E92000001,England,E12000002,North West,888,Lancashire,E10000017,CLA 12 months at 31 March,Revised,130,2935.25,22.6,18,13.8,32,24.6,x,x,x,x,103,-113.218,-1.1,-1.37,-0.83
