time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,t_pupils,t_no_identified_SEN,t_all_SEN,t_SEN_support,t_statement_or_EHC_plan,t_ASD,t_HI,t_MLD,t_MSI,t_NSA,t_OTH,t_PD,t_PMLD,t_SEMH,t_SLCN,t_SLD,t_SPLD,t_VI,pt_no_identified_SEN,pt_all_SEN,pt_SEN_support,pt_statement_or_EHC_plan,pt_ASD,pt_HI,pt_MLD,pt_MSI,pt_NSA,pt_OTH,pt_PD,pt_PMLD,pt_SEMH,pt_SLCN,pt_SLD,pt_SPLD,pt_VI
201617,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,Wakefield,E08000036,CINO at 31 March,1049,590,459,243,216,73,c,52,0,29,18,22,30,99,39,69,17,c,56.2,43.8,23.2,20.6,15.9,c,11.3,0,6.3,3.9,4.8,6.5,21.6,8.5,15,3.7,c
201617,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,York,E06000014,CINO at 31 March,580,325,255,154,101,50,c,41,0,c,c,10,12,74,22,13,22,c,56,44,26.6,17.4,19.6,c,16.1,0,c,c,3.9,4.7,29,8.6,5.1,8.6,c
201617,Academic year,Local authority,E92000001,England,E12000004,East Midlands,831,Derby,E06000015,CINO at 31 March,1156,740,416,281,135,43,7,98,0,6,7,7,42,115,49,20,13,0,64,36,24.3,11.7,10.3,1.7,23.6,0,1.4,1.7,1.7,10.1,27.6,11.8,4.8,3.1,0
201617,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,Derbyshire,E10000007,CINO at 31 March,2360,1322,1038,523,515,140,15,183,c,25,19,81,74,265,89,79,41,c,56,44,22.2,21.8,13.5,1.4,17.6,c,2.4,1.8,7.8,7.1,25.5,8.6,7.6,3.9,c
201617,Academic year,Local authority,E92000001,England,E12000004,East Midlands,856,Leicester,E06000016,CINO at 31 March,604,389,215,146,69,c,c,51,0,c,c,c,c,76,37,10,10,c,64.4,35.6,24.2,11.4,c,c,23.7,0,c,c,c,c,35.3,17.2,4.7,4.7,c
201617,Academic year,Local authority,E92000001,England,E12000004,East Midlands,855,Leicestershire,E10000018,CINO at 31 March,1227,635,592,234,358,36,c,130,c,11,12,25,61,66,40,129,27,c,51.8,48.2,19.1,29.2,6.1,c,22,c,1.9,2,4.2,10.3,11.1,6.8,21.8,4.6,c
201617,Academic year,Local authority,E92000001,England,E12000004,East Midlands,925,Lincolnshire,E10000019,CINO at 31 March,2032,1191,841,462,379,97,8,169,c,37,44,27,72,167,90,64,46,c,58.6,41.4,22.7,18.7,11.5,1,20.1,c,4.4,5.2,3.2,8.6,19.9,10.7,7.6,5.5,c
201617,Academic year,Local authority,E92000001,England,E12000004,East Midlands,928,Northamptonshire,E10000021,CINO at 31 March,1875,1112,763,390,373,83,7,118,c,c,22,27,43,198,78,111,48,c,59.3,40.7,20.8,19.9,10.9,0.9,15.5,c,c,2.9,3.5,5.6,26,10.2,14.5,6.3,c
201617,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,Nottingham,E06000018,CINO at 31 March,1242,664,578,314,264,136,7,82,c,c,15,42,34,113,37,81,14,c,53.5,46.5,25.3,21.3,23.5,1.2,14.2,c,c,2.6,7.3,5.9,19.6,6.4,14,2.4,c
201617,Academic year,Local authority,E92000001,England,E12000004,East Midlands,891,Nottinghamshire,E10000024,CINO at 31 March,1640,1128,512,383,129,67,8,100,c,c,30,14,10,172,47,15,22,8,68.8,31.2,23.4,7.9,13.1,1.6,19.5,c,c,5.9,2.7,2,33.6,9.2,2.9,4.3,1.6
201617,Academic year,Local authority,E92000001,England,E12000004,East Midlands,857,Rutland,E06000017,CINO at 31 March,103,56,47,20,27,c,c,8,0,c,c,c,c,7,9,c,c,c,54.4,45.6,19.4,26.2,c,c,17,0,c,c,c,c,14.9,19.1,c,c,c
201617,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,Birmingham,E08000025,CINO at 31 March,2923,1559,1364,629,735,264,15,224,7,68,26,107,102,242,114,104,33,10,53.3,46.7,21.5,25.1,19.4,1.1,16.4,0.5,5,1.9,7.8,7.5,17.7,8.4,7.6,2.4,0.7
201617,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,Coventry,E08000026,CINO at 31 March,1488,909,579,367,212,66,6,153,0,c,18,12,31,119,74,59,20,c,61.1,38.9,24.7,14.2,11.4,1,26.4,0,c,3.1,2.1,5.4,20.6,12.8,10.2,3.5,c
201617,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,Dudley,E08000027,CINO at 31 March,961,428,533,180,353,96,21,86,c,0,c,56,33,60,62,64,13,7,44.5,55.5,18.7,36.7,18,3.9,16.1,c,0,c,10.5,6.2,11.3,11.6,12,2.4,1.3
201617,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,"Herefordshire, County of",E06000019,CINO at 31 March,375,153,222,95,127,16,c,18,0,10,6,6,12,55,20,56,15,c,40.8,59.2,25.3,33.9,7.2,c,8.1,0,4.5,2.7,2.7,5.4,24.8,9,25.2,6.8,c
201617,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,Sandwell,E08000028,CINO at 31 March,891,507,384,227,157,13,c,108,c,c,13,11,25,89,44,59,6,c,56.9,43.1,25.5,17.6,3.4,c,28.1,c,c,3.4,2.9,6.5,23.2,11.5,15.4,1.6,c
201617,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,Shropshire,E06000051,CINO at 31 March,413,193,220,57,163,c,c,32,0,6,12,8,11,25,8,97,c,0,46.7,53.3,13.8,39.5,c,c,14.5,0,2.7,5.5,3.6,5,11.4,3.6,44.1,c,0
201617,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,Solihull,E08000029,CINO at 31 March,461,276,185,103,82,29,c,48,c,c,8,c,c,45,13,8,7,c,59.9,40.1,22.3,17.8,15.7,c,25.9,c,c,4.3,c,c,24.3,7,4.3,3.8,c
201617,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,Staffordshire,E10000028,CINO at 31 March,2440,1401,1039,422,617,143,16,193,c,c,28,130,86,145,80,126,40,13,57.4,42.6,17.3,25.3,13.8,1.5,18.6,c,c,2.7,12.5,8.3,14,7.7,12.1,3.8,1.3
201617,Academic year,Local authority,E92000001,England,E12000005,West Midlands,861,Stoke-on-Trent,E06000021,CINO at 31 March,1550,999,551,299,252,45,c,169,c,c,c,18,25,122,95,43,16,c,64.5,35.5,19.3,16.3,8.2,c,30.7,c,c,c,3.3,4.5,22.1,17.2,7.8,2.9,c
201617,Academic year,Local authority,E92000001,England,E12000005,West Midlands,894,Telford and Wrekin,E06000020,CINO at 31 March,250,98,152,59,93,12,c,39,0,c,0,c,18,31,c,21,c,0,39.2,60.8,23.6,37.2,7.9,c,25.7,0,c,0,c,11.8,20.4,c,13.8,c,0
201617,Academic year,Local authority,E92000001,England,E12000005,West Midlands,335,Walsall,E08000030,CINO at 31 March,988,633,355,183,172,21,c,114,c,10,c,10,31,58,33,54,8,c,64.1,35.9,18.5,17.4,5.9,c,32.1,c,2.8,c,2.8,8.7,16.3,9.3,15.2,2.3,c
201617,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,Warwickshire,E10000031,CINO at 31 March,1550,737,813,338,475,88,9,148,c,c,10,35,52,155,79,163,23,7,47.5,52.5,21.8,30.6,10.8,1.1,18.2,c,c,1.2,4.3,6.4,19.1,9.7,20,2.8,0.9
201617,Academic year,Local authority,E92000001,England,E12000005,West Midlands,336,Wolverhampton,E08000031,CINO at 31 March,1421,912,509,304,205,37,9,160,c,c,24,26,17,101,37,46,28,0,64.2,35.8,21.4,14.4,7.3,1.8,31.4,c,c,4.7,5.1,3.3,19.8,7.3,9,5.5,0
201617,Academic year,Local authority,E92000001,England,E12000005,West Midlands,885,Worcestershire,E10000034,CINO at 31 March,1777,896,881,401,480,83,c,108,c,6,52,39,54,164,146,143,46,8,50.4,49.6,22.6,27,9.4,c,12.3,c,0.7,5.9,4.4,6.1,18.6,16.6,16.2,5.2,0.9
201617,Academic year,Local authority,E92000001,England,E12000006,East of England,822,Bedford,E06000055,CINO at 31 March,586,309,277,107,170,35,6,45,c,0,17,29,18,48,25,37,9,c,52.7,47.3,18.3,29,12.6,2.2,16.2,c,0,6.1,10.5,6.5,17.3,9,13.4,3.2,c
201617,Academic year,Local authority,E92000001,England,E12000006,East of England,873,Cambridgeshire,E10000003,CINO at 31 March,1255,648,607,255,352,82,7,95,c,7,18,18,47,92,57,100,54,c,51.6,48.4,20.3,28,13.5,1.2,15.7,c,1.2,3,3,7.7,15.2,9.4,16.5,8.9,c
201617,Academic year,Local authority,E92000001,England,E12000006,East of England,823,Central Bedfordshire,E06000056,CINO at 31 March,605,267,338,122,216,59,c,36,c,11,8,15,32,66,14,75,10,c,44.1,55.9,20.2,35.7,17.5,c,10.7,c,3.3,2.4,4.4,9.5,19.5,4.1,22.2,3,c
201617,Academic year,Local authority,E92000001,England,E12000006,East of England,881,Essex,E10000012,CINO at 31 March,3013,1465,1548,566,982,202,15,268,6,8,44,99,84,289,121,322,37,10,48.6,51.4,18.8,32.6,13,1,17.3,0.4,0.5,2.8,6.4,5.4,18.7,7.8,20.8,2.4,0.6
201617,Academic year,Local authority,E92000001,England,E12000006,East of England,919,Hertfordshire,E10000015,CINO at 31 March,1902,709,1193,385,808,202,14,123,c,c,45,117,65,189,83,252,50,15,37.3,62.7,20.2,42.5,16.9,1.2,10.3,c,c,3.8,9.8,5.4,15.8,7,21.1,4.2,1.3
201617,Academic year,Local authority,E92000001,England,E12000006,East of England,821,Luton,E06000032,CINO at 31 March,914,412,502,184,318,48,c,45,0,10,14,24,98,76,34,116,22,c,45.1,54.9,20.1,34.8,9.6,c,9,0,2,2.8,4.8,19.5,15.1,6.8,23.1,4.4,c
201617,Academic year,Local authority,E92000001,England,E12000006,East of England,926,Norfolk,E10000020,CINO at 31 March,1796,972,824,412,412,95,9,110,9,17,22,40,29,216,87,107,45,7,54.1,45.9,22.9,22.9,11.5,1.1,13.3,1.1,2.1,2.7,4.9,3.5,26.2,10.6,13,5.5,0.8
201617,Academic year,Local authority,E92000001,England,E12000006,East of England,874,Peterborough,E06000031,CINO at 31 March,441,222,219,114,105,30,c,36,c,17,c,7,21,54,7,20,10,c,50.3,49.7,25.9,23.8,13.7,c,16.4,c,7.8,c,3.2,9.6,24.7,3.2,9.1,4.6,c
201617,Academic year,Local authority,E92000001,England,E12000006,East of England,882,Southend-on-Sea,E06000033,CINO at 31 March,531,315,216,107,109,28,c,52,0,c,0,c,13,50,15,37,9,c,59.3,40.7,20.2,20.5,13,c,24.1,0,c,0,c,6,23.1,6.9,17.1,4.2,c
201617,Academic year,Local authority,E92000001,England,E12000006,East of England,935,Suffolk,E10000029,CINO at 31 March,1313,748,565,295,270,40,9,74,9,19,25,58,40,100,65,64,32,12,57,43,22.5,20.6,7.1,1.6,13.1,1.6,3.4,4.4,10.3,7.1,17.7,11.5,11.3,5.7,2.1
201617,Academic year,Local authority,E92000001,England,E12000006,East of England,883,Thurrock,E06000034,CINO at 31 March,570,291,279,123,156,64,c,71,c,0,c,9,15,46,34,11,7,c,51.1,48.9,21.6,27.4,22.9,c,25.4,c,0,c,3.2,5.4,16.5,12.2,3.9,2.5,c
