Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table LA2: Eligibility and performance of children who have been looked after continuously for at least twelve months1 at key stage 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2011 - 20152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2011,,,,,,2012,,,,,,,,2013,,,,,,,,,2014,,,,,,,,,2015,,,,,,,
,,,Percentage with UPN3,Number eligible to sit key stage 2 tasks and tests4,,Percentage who achieved at least level 45 in the following:,,,Percentage with UPN3,Number eligible to sit key stage 2 tasks and tests4,,Percentage who achieved at least level 45 in the following:,,,,,Percentage with UPN3,Number eligible to sit key stage 2 tasks and tests4,,Percentage who achieved at least level 45 in the following:,,,,,,Percentage with UPN3,Number eligible to sit key stage 2 tasks and tests4,,Percentage who achieved at least level 45 in the following:,,,,,,Percentage with UPN3,Number eligible to sit key stage 2 tasks and tests4,,Percentage who achieved at least level 45 in the following:,,,,
,,,,,,Mathematics,Reading,,,,,Mathematics,Reading,Writing6,"Reading, writing and mathematics",,,,,Mathematics,Reading,Writing6,"Grammar, punctuation and spelling7","Reading, writing and mathematics",,,,,Mathematics,Reading,Writing6,"Grammar, punctuation and spelling7","Reading, writing and mathematics",,,,,Mathematics,Reading,Writing6,"Grammar, punctuation and spelling7","Reading, writing and mathematics"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000006,909,Cumbria,100,20,,60,70,,100,20,,61,72,61,50,,100,15,,56,63,63,44,50,,100,20,,81,67,67,67,62,,100,20,,48,71,43,43,43
E06000006,876,Halton,100,x,,x,x,,100,x,,x,x,x,x,,100,5,,x,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x
E08000011,340,Knowsley,100,x,,x,x,,100,15,,56,88,50,44,,100,10,,x,x,x,x,x,,100,15,,86,71,64,43,57,,100,10,,x,55,x,x,x
E10000017,888,Lancashire,100,55,,42,51,,100,50,,55,59,46,44,,100,45,,51,58,47,47,40,,100,50,,63,67,58,48,44,,100,70,,65,74,65,63,53
E08000012,341,Liverpool,100,40,,76,73,,100,45,,60,65,53,47,,100,50,,57,65,57,47,51,,100,45,,67,77,58,53,47,,100,45,,61,68,61,55,50
E08000003,352,Manchester,100,50,,65,59,,100,45,,67,65,56,49,,100,55,,66,75,68,59,52,,100,65,,63,69,64,61,53,,100,50,,75,85,73,65,62
E08000004,353,Oldham,100,10,,55,64,,100,15,,50,56,44,38,,100,15,,54,77,46,x,x,,100,15,,79,79,71,64,71,,100,10,,x,x,x,x,x
E08000005,354,Rochdale,100,20,,72,83,,100,15,,53,76,47,35,,100,20,,75,75,75,55,70,,100,15,,63,63,44,56,44,,100,30,,72,78,78,59,63
E08000006,355,Salford,100,20,,52,62,,100,20,,68,64,55,50,,100,20,,79,68,68,47,63,,100,20,,61,72,67,56,50,,100,20,,89,84,89,74,79
E08000014,343,Sefton,100,20,,39,44,,100,20,,50,50,x,x,,100,10,,x,x,x,x,x,,100,15,,71,79,64,43,64,,100,15,,x,64,57,50,x
E08000013,342,St. Helens,100,15,,54,69,,100,15,,75,88,50,50,,100,15,,57,64,43,43,43,,100,20,,61,78,50,39,44,,100,20,,83,83,78,78,72
E08000007,356,Stockport,100,5,,x,x,,100,10,,x,x,x,x,,100,10,,x,x,x,x,x,,100,10,,91,91,73,64,73,,100,10,,x,x,x,x,x
E08000008,357,Tameside,100,15,,63,69,,100,15,,76,94,65,65,,100,10,,64,64,64,x,x,,100,20,,75,75,60,60,60,,100,15,,65,71,65,53,59
E08000009,358,Trafford,100,x,,x,x,,100,15,,53,73,60,47,,100,10,,x,x,x,x,x,,100,10,,64,91,55,55,x,,100,20,,83,67,67,78,56
E06000007,877,Warrington,100,5,,x,x,,100,10,,x,x,x,x,,100,10,,x,x,x,x,x,,100,10,,x,x,x,x,x,,100,10,,x,x,x,x,x
E08000010,359,Wigan,100,15,,67,67,,100,25,,52,70,65,48,,100,20,,55,60,55,45,45,,100,15,,67,60,60,53,60,,100,20,,82,86,86,68,73
E08000015,344,Wirral,100,25,,60,68,,90-99,25,,56,78,52,44,,100,30,,71,64,50,57,43,,90-99,35,,59,68,56,38,44,,90-99,35,,65,76,62,54,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,YORKSHIRE AND THE HUMBER,.,250,,44,57,,.,260,,56,62,47,39,,.,270,,59,60,53,42,44,,.,290,,56,65,56,44,46,,.,290,,61,65,59,50,51
E08000016,370,Barnsley,100,x,,x,x,,100,10,,x,x,x,x,,100,10,,x,x,x,x,x,,100,5,,x,x,x,x,x,,100,10,,x,x,x,x,x
E08000032,380,Bradford,100,25,,59,67,,100,30,,72,81,72,59,,100,40,,62,67,62,41,46,,100,30,,70,67,57,43,53,,100,30,,57,67,57,40,47
E08000033,381,Calderdale,100,15,,71,79,,100,10,,x,x,x,x,,100,20,,70,75,50,40,45,,100,25,,74,78,65,48,61,,100,15,,65,76,53,47,47
E08000017,371,Doncaster,100,10,,x,x,,100,20,,50,45,35,x,,100,15,,69,75,69,69,63,,100,20,,58,68,58,42,47,,100,25,,70,83,74,57,70
E06000011,811,East Riding of Yorkshire,100,10,,x,x,,100,10,,x,x,x,x,,100,10,,x,x,x,x,x,,100,10,,x,x,x,x,x,,100,15,,93,80,73,73,67
E06000010,810,"Kingston Upon Hull, City of",100,20,,50,50,,100,15,,44,63,38,x,,100,25,,65,54,54,46,50,,100,20,,50,61,61,39,50,,100,30,,69,69,76,66,62
E08000034,382,Kirklees,100,20,,50,67,,100,25,,43,57,43,39,,100,25,,80,72,72,52,56,,100,30,,55,58,61,48,55,,100,25,,71,71,71,71,54
E08000035,383,Leeds,100,55,,40,65,,90-99,55,,53,62,42,36,,100,45,,51,49,47,34,34,,100,60,,56,60,52,42,43,,100,55,,62,62,64,51,53
E06000012,812,North East Lincolnshire,100,x,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,0,x,0,,100,10,,x,x,x,x,x,,100,5,,x,x,x,x,x
E06000013,813,North Lincolnshire,100,x,,x,x,,100,10,,x,x,x,x,,100,5,,x,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x
E10000023,815,North Yorkshire,100,20,,32,58,,100,10,,x,x,x,x,,100,25,,37,41,37,37,33,,100,20,,39,72,61,44,39,,100,20,,52,62,43,38,43
E08000018,372,Rotherham,100,20,,42,42,,100,15,,77,92,69,62,,100,15,,64,64,43,x,43,,100,10,,x,x,x,x,x,,100,15,,50,50,43,x,x
E08000019,373,Sheffield,100,20,,36,45,,100,20,,50,50,45,32,,100,15,,38,x,x,x,x,,100,20,,40,65,40,40,30,,100,15,,40,47,40,40,x
E08000036,384,Wakefield,90-99,10,,x,x,,100,15,,53,47,x,x,,100,10,,73,82,64,55,x,,100,20,,61,78,50,50,44,,100,15,,54,69,62,x,54
E06000014,816,York,100,10,,x,x,,100,10,,67,75,58,50,,100,10,,x,x,x,x,x,,100,10,,x,64,73,x,x,,100,10,,x,x,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EAST MIDLANDS,.,130,,54,54,,.,150,,54,61,54,45,,.,150,,57,58,52,37,41,,.,160,,58,65,57,49,43,,.,190,,56,65,52,46,43
E06000015,831,Derby,100,15,,47,40,,100,15,,43,50,50,43,,100,25,,61,57,52,39,43,,100,15,,54,77,62,54,54,,100,20,,57,67,57,48,52
E10000007,830,Derbyshire,100,20,,56,56,,100,20,,65,75,60,60,,100,25,,50,63,58,42,33,,100,20,,52,62,43,48,43,,100,25,,50,69,46,46,42
E06000016,856,Leicester,100,15,,67,60,,100,10,,73,82,64,55,,100,15,,69,69,77,x,69,,100,20,,56,56,61,33,x,,100,25,,42,58,42,46,27
E10000018,855,Leicestershire,100,10,,x,x,,100,10,,75,58,58,50,,100,10,,67,58,67,67,50,,100,10,,82,82,82,64,64,,100,20,,67,67,56,44,56
E10000019,925,Lincolnshire,100,25,,35,46,,100,30,,54,61,50,39,,100,20,,62,62,38,38,38,,100,15,,x,50,x,x,x,,100,25,,52,65,48,52,35
E10000021,928,Northamptonshire,100,30,,46,54,,100,20,,43,52,43,38,,100,15,,47,59,47,x,x,,100,25,,52,74,70,56,48,,100,25,,60,68,60,32,48
E06000018,892,Nottingham,100,15,,54,46,,100,20,,43,52,55,40,,100,20,,58,58,53,32,42,,100,20,,65,55,65,55,55,,100,15,,62,62,46,54,x
E10000024,891,Nottinghamshire,100,10,,82,55,,100,20,,50,64,57,43,,100,25,,52,48,39,35,35,,100,35,,69,72,55,50,44,,100,35,,58,66,58,50,43
E06000017,857,Rutland,.,0,,.,.,,100,x,,x,x,x,x,,100,x,,0,0,x,0,0,,100,x,,x,0,x,x,0,,100,x,,x,x,x,0,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WEST MIDLANDS,.,280,,49,57,,.,340,,56,65,53,42,,.,330,,58,62,53,42,44,,.,320,,61,70,61,53,50,,.,350,,63,69,58,54,51
E08000025,330,Birmingham,100,80,,56,60,,90-99,95,,52,65,52,41,,100,70,,61,64,58,50,44,,100,65,,58,72,63,54,49,,100,70,,57,74,63,59,55
E08000026,331,Coventry,100,25,,48,44,,100,15,,44,63,44,x,,100,15,,53,67,60,47,47,,100,25,,70,78,74,57,61,,100,15,,59,71,53,47,41
E08000027,332,Dudley,100,25,,48,48,,100,40,,70,65,60,50,,100,30,,72,76,66,59,62,,100,25,,56,67,59,56,48,,100,35,,65,62,59,62,46
E06000019,884,Herefordshire,100,x,,x,x,,100,x,,x,x,x,x,,100,10,,x,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x
E08000028,333,Sandwell,100,20,,48,62,,100,35,,39,52,45,33,,100,30,,50,60,40,40,37,,100,30,,66,75,59,53,50,,100,25,,65,57,48,52,48
E06000051,893,Shropshire,100,x,,x,x,,100,5,,x,x,x,x,,100,15,,x,43,x,x,x,,100,5,,x,x,x,x,x,,100,10,,x,x,x,x,x
E08000029,334,Solihull,100,5,,x,x,,100,10,,x,64,x,x,,100,15,,73,87,67,60,60,,100,5,,x,x,x,x,x,,100,10,,92,75,67,50,58
E10000028,860,Staffordshire,100,20,,36,45,,100,30,,53,60,47,37,,100,35,,65,68,56,44,47,,100,30,,69,72,72,63,53,,100,45,,53,62,55,45,49
E06000021,861,Stoke-on-Trent,100,15,,57,71,,100,15,,53,73,53,40,,100,10,,x,x,x,x,x,,100,15,,56,56,38,38,38,,100,15,,79,79,57,43,50
E06000020,894,Telford and Wrekin,100,x,,x,x,,100,10,,x,x,x,x,,100,15,,46,54,x,x,x,,100,20,,59,77,59,50,50,,100,5,,x,x,x,x,x
E08000030,335,Walsall,100,20,,47,68,,100,20,,63,63,53,47,,100,30,,43,54,36,29,29,,100,20,,55,55,50,36,50,,100,30,,68,77,71,65,61
E10000031,937,Warwickshire,90-99,25,,36,44,,100,25,,68,80,72,60,,100,25,,71,71,79,54,67,,100,15,,53,65,47,47,x,,100,25,,56,67,58,52,46
E08000031,336,Wolverhampton,100,15,,73,67,,100,20,,56,50,39,x,,100,20,,67,44,50,44,39,,100,25,,74,78,81,63,70,,100,30,,60,67,53,47,50
E10000034,885,Worcestershire,100,20,,43,67,,100,20,,57,67,52,43,,100,20,,38,48,43,x,33,,100,20,,39,56,47,33,35,,100,20,,65,80,55,50,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EAST OF ENGLAND,.,200,,48,61,,.,210,,59,64,51,43,,.,200,,52,59,46,42,38,,.,220,,57,65,56,47,44,,.,260,,60,72,63,54,49
E06000055,822,Bedford Borough,100,5,,x,x,,100,10,,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x,,100,10,,55,55,64,x,x
E06000056,823,Central Bedfordshire,100,x,,x,x,,100,x,,x,x,x,x,,100,5,,x,x,x,x,x,,100,5,,x,x,x,x,x,,100,15,,65,76,65,47,59
E10000003,873,Cambridgeshire,100,15,,x,53,,100,15,,53,53,35,35,,100,20,,52,71,48,38,43,,100,25,,44,60,48,48,28,,100,20,,52,67,52,38,29
E10000012,881,Essex,100,50,,55,73,,100,50,,69,78,57,49,,100,50,,58,58,50,44,46,,100,50,,54,60,56,46,40,,100,50,,65,73,63,53,49
E10000015,919,Hertfordshire,100,25,,52,52,,100,25,,54,69,52,44,,100,15,,71,71,79,64,64,,100,30,,82,79,75,64,71,,100,30,,73,80,67,70,57
E06000032,821,Luton,100,15,,47,53,,100,15,,71,71,47,41,,100,10,,x,x,x,x,x,,100,10,,58,50,x,x,x,,100,15,,60,60,73,67,47
E10000020,926,Norfolk,100,30,,48,58,,100,30,,56,56,56,47,,100,30,,41,53,41,31,19,,100,20,,38,57,52,48,38,,100,60,,62,74,72,59,55
E06000031,874,Peterborough,100,10,,x,58,,100,10,,x,x,x,x,,100,10,,50,50,x,x,x,,100,10,,55,100,64,x,x,,100,15,,60,80,53,60,53
E06000033,882,Southend-on-Sea,100,10,,x,x,,100,10,,x,x,x,x,,100,10,,58,67,58,58,x,,100,10,,x,x,x,x,x,,100,5,,x,x,x,x,x
E10000029,935,Suffolk,100,20,,50,65,,100,30,,45,55,41,34,,100,30,,45,48,35,32,32,,100,30,,52,55,52,48,38,,100,35,,48,76,55,48,39
E06000034,883,Thurrock,100,x,,x,x,,100,10,,x,x,x,x,,100,5,,x,x,x,x,x,,100,15,,71,71,64,x,57,,100,5,,x,x,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LONDON,.,320,,54,58,,.,300,,60,68,57,47,,.,290,,69,72,70,56,59,,.,310,,66,74,64,55,54,,.,310,,70,75,65,61,58
,,INNER LONDON,.,140,,53,60,,.,140,,61,72,57,48,,.,130,,70,75,69,56,60,,.,140,,67,75,64,57,56,,.,140,,72,75,68,64,63
E09000007,202,Camden,100,5,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x,,100,5,,x,x,x,x,x
E09000001,201,City of London,100,x,,x,x,,100,x,,x,x,x,x,,.,0,,.,.,.,.,.,,.,0,,.,.,.,.,.,,.,0,,.,.,.,.,.
E09000012,204,Hackney,100,10,,73,64,,100,5,,x,x,x,x,,100,10,,x,x,x,x,x,,100,10,,75,75,58,67,58,,100,10,,x,x,x,x,x
E09000013,205,Hammersmith and Fulham,100,5,,x,x,,100,5,,x,x,x,x,,100,5,,x,x,x,x,x,,100,x,,x,x,x,x,x,,100,5,,x,x,x,x,x
E09000014,309,Haringey,100,20,,52,48,,100,20,,53,68,42,42,,100,25,,70,83,70,39,61,,100,20,,78,78,72,67,61,,100,25,,73,81,69,65,65
E09000019,206,Islington,100,5,,x,x,,100,5,,x,x,x,x,,100,x,,x,x,x,x,x,,100,5,,x,x,x,x,x,,100,10,,x,x,x,x,x
E09000020,207,Kensington and Chelsea,100,x,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x
E09000022,208,Lambeth,100,20,,53,74,,100,15,,75,81,63,56,,100,15,,67,80,67,73,53,,100,10,,x,x,x,x,x,,100,20,,68,75,68,55,67
E09000023,209,Lewisham,100,25,,52,72,,100,15,,79,71,71,64,,100,20,,61,61,56,39,44,,100,20,,60,75,70,55,50,,100,10,,55,64,55,64,x
E09000025,316,Newham,100,15,,x,x,,100,15,,53,53,x,x,,100,10,,58,58,75,x,50,,100,10,,50,67,58,x,50,,100,10,,67,67,58,58,50
E09000028,210,Southwark,100,10,,x,x,,100,15,,57,71,71,50,,100,15,,54,69,54,46,46,,100,25,,63,71,54,50,46,,100,20,,60,67,57,52,55
E09000030,211,Tower Hamlets,100,10,,x,x,,100,10,,x,73,64,x,,100,5,,x,x,x,x,x,,100,10,,67,67,67,58,67,,100,x,,x,x,x,x,x
E09000032,212,Wandsworth,100,x,,x,x,,100,10,,58,75,50,x,,100,5,,x,x,x,x,x,,100,x,,x,x,x,x,x,,100,5,,x,x,x,x,x
E09000033,213,Westminster,100,x,,x,x,,100,10,,x,x,x,x,,100,10,,x,x,x,x,x,,100,5,,x,x,x,x,x,,100,5,,x,x,x,x,x
,,OUTER LONDON,.,180,,55,57,,.,160,,58,65,57,46,,.,160,,69,70,70,55,58,,.,170,,65,72,64,54,52,,.,170,,69,75,63,58,54
E09000002,301,Barking and Dagenham,100,15,,35,41,,100,15,,53,60,67,47,,100,20,,79,63,68,53,58,,100,10,,73,55,64,x,x,,100,10,,67,75,58,67,58
E09000003,302,Barnet,100,10,,64,73,,100,10,,x,x,x,x,,100,5,,x,x,x,x,x,,100,5,,x,x,x,x,x,,100,10,,x,x,x,x,x
E09000004,303,Bexley,100,x,,x,x,,100,5,,x,x,x,x,,100,10,,50,50,67,x,x,,100,10,,x,64,55,x,x,,100,10,,x,x,x,x,x
E09000005,304,Brent,100,x,,x,x,,100,15,,59,76,69,56,,100,5,,x,x,x,x,x,,100,10,,x,x,x,x,x,,100,x,,x,x,x,x,x
E09000006,305,Bromley,100,10,,x,x,,100,5,,x,x,x,x,,100,5,,x,x,x,x,x,,100,5,,x,x,x,x,x,,100,10,,75,67,58,50,50
E09000008,306,Croydon,100,25,,64,64,,100,10,,x,x,x,x,,100,15,,53,60,53,47,47,,100,15,,63,81,63,63,56,,100,15,,47,80,47,60,x
E09000009,307,Ealing,100,10,,x,x,,100,10,,x,x,x,x,,100,15,,60,73,60,x,53,,100,10,,75,67,67,58,58,,100,15,,88,75,56,63,56
E09000010,308,Enfield,100,10,,x,x,,100,10,,x,x,x,x,,100,10,,x,x,x,x,x,,100,5,,x,x,x,x,x,,100,10,,55,64,x,x,x
E09000011,203,Greenwich,100,25,,56,56,,100,20,,60,60,50,40,,100,20,,80,70,75,70,65,,100,25,,54,67,67,46,46,,100,15,,73,80,73,53,60
E09000015,310,Harrow,100,x,,x,0,,100,x,,0,0,0,0,,100,x,,x,x,x,x,x,,100,x,,x,x,0,0,0,,100,5,,x,x,x,x,x
E09000016,311,Havering,100,10,,55,55,,100,x,,x,x,x,x,,100,5,,x,x,x,x,x,,100,x,,x,x,x,x,x,,100,5,,x,x,x,x,x
E09000017,312,Hillingdon,100,10,,x,x,,100,5,,x,x,x,x,,100,5,,x,x,x,x,x,,100,5,,x,x,x,x,x,,100,10,,x,x,x,x,x
E09000018,313,Hounslow,100,15,,x,57,,100,10,,64,73,55,x,,100,10,,x,x,x,x,x,,100,10,,x,x,x,x,x,,100,10,,x,58,x,50,x
E09000021,314,Kingston upon Thames,100,x,,0,x,,100,5,,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x,,100,x,,x,x,x,x,x
E09000024,315,Merton,100,5,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x
E09000026,317,Redbridge,100,x,,x,x,,100,x,,x,x,x,x,,100,5,,x,x,x,x,x,,100,10,,x,x,x,x,x,,100,x,,x,x,x,x,x
E09000027,318,Richmond upon Thames,100,x,,0,0,,100,x,,x,0,0,0,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x
E09000029,319,Sutton,100,x,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x,,100,10,,x,x,x,x,x
E09000031,320,Waltham Forest,100,10,,x,x,,100,15,,71,65,53,53,,100,10,,x,x,x,x,x,,100,10,,x,73,55,x,x,,100,10,,x,x,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SOUTH EAST,.,240,,48,55,,.,250,,49,60,45,34,,.,300,,53,59,48,41,39,,.,310,,59,67,56,48,45,,.,340,,62,71,59,52,51
E06000036,867,Bracknell Forest,100,x,,0,x,,100,x,,0,0,0,0,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x
E06000043,846,Brighton and Hove,100,10,,x,x,,100,10,,x,x,x,x,,100,25,,54,71,50,54,42,,100,15,,69,77,62,46,62,,100,15,,60,67,53,47,47
E10000002,825,Buckinghamshire,100,10,,x,x,,100,10,,x,x,x,x,,100,15,,50,38,38,50,x,,100,15,,50,64,50,x,43,,100,20,,42,68,53,47,37
E10000011,845,East Sussex,100,15,,47,60,,100,25,,59,59,44,41,,100,20,,67,67,39,44,33,,100,25,,52,63,59,56,44,,100,30,,69,72,71,62,64
E10000014,850,Hampshire,100,35,,45,52,,100,40,,58,58,47,29,,100,40,,61,66,55,47,50,,100,45,,71,73,60,53,49,,100,45,,72,70,60,47,57
E06000046,921,Isle of Wight,100,10,,x,x,,100,x,,0,x,x,0,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x
E10000016,886,Kent,100,50,,48,46,,100,50,,42,54,44,35,,100,55,,52,61,46,37,39,,100,65,,57,65,59,46,44,,100,75,,67,74,65,52,56
E06000035,887,Medway,100,10,,x,x,,100,10,,x,x,x,x,,100,15,,47,60,47,x,40,,100,10,,x,x,x,x,x,,100,15,,44,69,44,38,x
E06000042,826,Milton Keynes,100,10,,x,x,,100,10,,x,x,x,x,,100,10,,x,x,x,x,x,,100,15,,62,77,77,77,62,,100,15,,71,88,71,76,59
E10000025,931,Oxfordshire,100,5,,x,x,,100,10,,55,64,x,x,,100,10,,55,55,x,x,x,,100,15,,59,76,47,47,41,,100,15,,67,73,60,60,53
E06000044,851,Portsmouth,100,10,,x,x,,100,15,,46,77,x,x,,100,15,,46,54,x,x,x,,100,10,,x,73,x,x,x,,100,10,,64,64,55,x,55
E06000038,870,Reading,100,x,,x,x,,100,x,,x,x,x,x,,100,x,,x,x,x,x,x,,100,10,,x,x,x,x,x,,100,5,,x,x,x,x,x
E06000039,871,Slough,100,x,,x,x,,100,x,,x,x,x,x,,100,10,,x,x,x,x,x,,100,x,,x,x,x,x,x,,100,x,,x,x,x,x,x
