Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table LA3: Eligibility and performance of children who have been looked after continuously for at least twelve months1 at key stage 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2011 - 20152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2011,,,,,,,2012,,,,,,,2013,,,,,,,2014 - 2014 methodology3,,,,,,,2015 - 2015 methodology4,,,,,
,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,,,Percentage with UPN5,Number eligible to sit GCSEs6,,Percentage achieving:,,
,,,,,,5+ GCSEs at grades A*-C,5+ GCSEs at grades A*-C including English & mathematics,A*-C in English & mathematics,,,,,5+ GCSEs at grades A*-C,5+ GCSEs at grades A*-C including English & mathematics,A*-C in English & mathematics,,,,,5+ GCSEs at grades A*-C,5+ GCSEs at grades A*-C including English & mathematics,A*-C in English & mathematics,,,,,5+ GCSEs at grades A*-C,5+ GCSEs at grades A*-C including English & mathematics,A*-C in English & mathematics,,,,,5+ GCSEs at grades A*-C,5+ GCSEs at grades A*-C including English & mathematics,A*-C in English & mathematics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000034,382,Kirklees,100,30,,34.4,x,x,,100,35,,x,x,x,,100,35,,25.0,16.7,16.7,,100,40,,x,x,x,,100,40,,26.8,26.8,31.7
E08000035,383,Leeds,90-99,100,,36.7,10.2,10.2,,100,95,,43.0,15.1,15.1,,100,90,,49.4,18.0,18.0,,100,75,,18.4,13.2,18.4,,90-99,70,,14.5,8.7,8.7
E06000012,812,North East Lincolnshire,100,15,,53.8,x,x,,100,15,,46.7,x,x,,100,10,,54.5,x,x,,100,10,,x,x,x,,100,10,,x,x,x
E06000013,813,North Lincolnshire,100,10,,x,x,x,,100,15,,x,x,x,,100,15,,53.8,x,x,,100,10,,x,x,x,,100,15,,x,x,x
E10000023,815,North Yorkshire,100,35,,39.4,x,18.2,,100,35,,40.0,x,20.0,,100,25,,30.8,x,x,,100,45,,15.6,x,x,,100,45,,14.0,x,x
E08000018,372,Rotherham,100,25,,40.0,x,x,,100,30,,40.6,18.8,18.8,,100,25,,29.6,25.9,25.9,,100,25,,x,x,x,,100,35,,20.6,x,x
E08000019,373,Sheffield,100,50,,22.4,x,x,,90-99,40,,26.2,x,x,,100,45,,25.0,18.2,18.2,,90-99,35,,x,x,x,,100,45,,17.8,13.3,13.3
E08000036,384,Wakefield,100,30,,57.1,25.0,25.0,,100,30,,32.3,x,x,,90-99,20,,42.9,x,x,,100,20,,27.3,x,x,,100,25,,x,x,x
E06000014,816,York,100,20,,x,x,x,,100,15,,50.0,x,x,,100,25,,38.5,23.1,23.1,,100,20,,x,x,x,,100,15,,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EAST MIDLANDS,.,360,,31.3,10.1,10.6,,.,320,,35.6,13.0,13.6,,.,320,,37.0,13.0,13.4,,.,350,,13.6,11.0,13.6,,.,330,,12.0,10.2,12.6
E06000015,831,Derby,100,35,,54.3,17.1,20.0,,100,35,,45.9,29.7,29.7,,100,25,,38.5,x,x,,100,30,,x,x,x,,100,35,,x,x,x
E10000007,830,Derbyshire,100,70,,25.0,11.8,13.2,,100,55,,25.9,x,x,,100,50,,32.7,18.4,18.4,,100,45,,x,x,x,,100,50,,11.8,x,x
E06000016,856,Leicester,100,35,,25.0,x,x,,100,35,,36.4,x,x,,100,30,,44.8,x,x,,90-99,40,,x,x,14.3,,100,35,,x,x,x
E10000018,855,Leicestershire,100,35,,35.3,x,x,,100,30,,36.7,x,x,,100,35,,20.6,x,x,,100,25,,x,x,x,,100,25,,x,x,x
E10000019,925,Lincolnshire,100,40,,34.2,x,x,,90-99,35,,51.4,24.3,24.3,,100,35,,40.5,16.2,16.2,,100,40,,17.5,17.5,22.5,,90-99,40,,15.0,x,x
E10000021,928,Northamptonshire,100,65,,31.3,12.5,12.5,,100,60,,20.0,x,10.0,,100,45,,25.5,x,x,,100,55,,x,x,10.5,,90-99,55,,15.1,13.2,20.8
E06000018,892,Nottingham,100,35,,17.6,x,x,,100,30,,34.5,x,x,,100,45,,47.7,15.9,15.9,,100,40,,x,x,x,,100,30,,x,x,x
E10000024,891,Nottinghamshire,90-99,50,,32.7,14.3,14.3,,90-99,40,,46.3,x,x,,100,55,,44.6,12.5,12.5,,100,60,,19.7,13.1,14.8,,90-99,55,,14.8,14.8,16.7
E06000017,857,Rutland,.,0,,.,.,.,,100,x,,x,x,x,,100,0,,.,.,.,,100,x,,x,x,x,,100,x,,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WEST MIDLANDS,.,590,,37.1,14.2,14.3,,.,620,,38.8,17.2,18.1,,.,560,,42.0,16.7,17.4,,.,640,,18.3,14.0,15.7,,.,590,,18.2,14.3,16.3
E08000025,330,Birmingham,100,130,,39.4,14.4,14.4,,100,140,,40.8,18.3,20.4,,90-99,115,,40.5,12.1,13.8,,90-99,135,,22.1,17.6,19.1,,90-99,130,,22.0,16.7,17.4
E08000026,331,Coventry,100,40,,41.5,x,x,,100,55,,42.1,14.0,15.8,,100,40,,55.0,30.0,32.5,,100,45,,12.8,x,12.8,,100,35,,x,x,x
E08000027,332,Dudley,90-99,35,,38.9,22.2,22.2,,100,35,,55.6,27.8,27.8,,100,45,,37.8,15.6,17.8,,100,55,,16.1,10.7,10.7,,90-99,50,,11.5,x,x
E06000019,884,Herefordshire,100,15,,x,x,x,,100,15,,x,x,x,,100,10,,x,x,x,,100,15,,x,x,x,,90-99,10,,x,x,x
E08000028,333,Sandwell,100,35,,40.0,x,x,,90-99,35,,45.7,17.1,17.1,,100,40,,39.0,x,x,,100,40,,23.7,21.1,23.7,,100,40,,25.0,20.0,25.0
E06000051,893,Shropshire,100,20,,x,x,x,,100,20,,x,x,x,,100,20,,x,x,x,,100,25,,34.8,x,26.1,,100,15,,x,x,x
E08000029,334,Solihull,100,50,,46.9,14.3,14.3,,100,35,,48.5,18.2,21.2,,100,25,,53.8,x,x,,90-99,30,,20.7,x,x,,90-99,20,,x,x,x
E10000028,860,Staffordshire,90-99,65,,33.3,16.7,16.7,,90-99,75,,40.0,21.3,21.3,,90-99,55,,46.3,18.5,18.5,,90-99,75,,16.4,12.3,12.3,,100,65,,15.2,12.1,12.1
E06000021,861,Stoke-on-Trent,100,30,,31.0,x,x,,100,30,,21.9,x,x,,90-99,40,,39.5,x,x,,90-99,30,,x,x,22.6,,100,20,,x,x,x
E06000020,894,Telford and Wrekin,100,15,,50.0,x,x,,100,25,,50.0,33.3,33.3,,100,25,,48.0,x,x,,100,25,,30.4,x,26.1,,100,20,,x,x,x
E08000030,335,Walsall,100,30,,48.3,x,x,,100,30,,27.6,x,x,,100,25,,38.5,x,x,,100,25,,x,x,x,,100,35,,18.2,x,21.2
E10000031,937,Warwickshire,90-99,60,,32.8,13.1,13.1,,90-99,50,,38.8,16.3,16.3,,90-99,60,,41.7,20.0,20.0,,90-99,50,,16.3,14.3,16.3,,90-99,40,,17.9,15.4,17.9
E08000031,336,Wolverhampton,100,20,,x,x,x,,100,30,,44.8,x,x,,100,30,,48.4,25.8,25.8,,90-99,40,,15.8,x,x,,100,50,,20.0,20.0,22.0
E10000034,885,Worcestershire,90-99,45,,30.2,x,x,,90-99,45,,18.6,x,x,,90-99,35,,35.3,x,x,,100,50,,11.8,x,x,,100,50,,20.0,16.0,16.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EAST OF ENGLAND,.,540,,31.7,15.7,16.9,,.,530,,35.9,15.3,16.1,,.,510,,32.7,14.0,14.8,,.,470,,15.3,10.4,12.7,,.,480,,17.5,13.1,15.0
E06000055,822,Bedford Borough,100,15,,x,x,x,,100,20,,x,x,x,,100,15,,42.9,x,x,,100,5,,x,x,x,,90-99,15,,x,x,x
E06000056,823,Central Bedfordshire,100,15,,x,x,x,,100,20,,30.0,x,x,,100,15,,x,x,x,,100,5,,x,x,x,,100,15,,x,x,x
E10000003,873,Cambridgeshire,90-99,45,,22.7,x,x,,100,35,,35.3,x,x,,100,35,,41.2,x,x,,100,30,,19.4,x,x,,100,30,,26.7,23.3,23.3
E10000012,881,Essex,90-99,130,,30.3,12.1,12.9,,100,105,,43.8,18.1,18.1,,100,120,,32.5,15.0,16.7,,90-99,95,,13.8,8.5,12.8,,100,95,,21.5,16.1,17.2
E10000015,919,Hertfordshire,90-99,105,,34.0,18.4,19.4,,100,100,,39.8,13.3,13.3,,100,90,,40.4,16.9,16.9,,90-99,95,,14.9,10.6,13.8,,100,85,,14.0,10.5,11.6
E06000032,821,Luton,100,35,,38.9,19.4,22.2,,100,35,,31.4,x,x,,100,25,,36.0,x,x,,100,30,,18.8,x,x,,100,35,,20.6,x,17.6
E10000020,926,Norfolk,100,85,,33.3,24.1,25.3,,100,105,,31.1,18.9,19.8,,100,90,,25.8,13.5,14.6,,100,85,,9.5,8.3,10.7,,100,100,,27.6,19.4,22.4
E06000031,874,Peterborough,100,25,,30.4,x,x,,100,25,,39.1,x,x,,90-99,25,,28.0,x,x,,100,25,,x,x,x,,90-99,15,,x,x,x
E06000033,882,Southend-on-Sea,100,20,,38.9,x,x,,100,15,,52.9,x,x,,100,20,,40.9,x,x,,100,25,,34.8,x,x,,100,20,,x,x,x
E10000029,935,Suffolk,100,55,,31.6,14.0,15.8,,100,50,,25.0,11.5,11.5,,100,55,,21.8,14.5,16.4,,100,55,,17.5,x,x,,90-99,55,,11.1,x,x
E06000034,883,Thurrock,100,5,,x,x,x,,100,20,,33.3,x,x,,90-99,20,,28.6,x,x,,100,20,,x,x,x,,90-99,25,,x,x,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LONDON,.,880,,34.8,16.5,17.0,,.,770,,37.3,17.1,17.5,,.,800,,39.9,20.7,21.7,,.,760,,20.1,15.2,16.8,,.,790,,21.8,16.8,19.0
,,INNER LONDON,.,380,,33.9,19.3,20.1,,.,350,,36.5,16.7,17.0,,.,360,,45.2,24.4,26.4,,.,340,,18.6,13.9,16.3,,.,330,,24.9,19.5,22.8
E09000007,202,Camden,90-99,20,,38.9,x,x,,100,25,,37.5,x,x,,100,15,,x,x,x,,100,20,,x,x,x,,100,30,,21.9,x,x
