Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table LA5:  Exclusions from school of children who have been looked after continuously for at least twelve months1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2010 - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage: England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Code,,,2010,,,,,,,2011,,,,,,,2012,,,,,,,2013,,,,,,,2014,,,,,
,,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion,,Percentage of school-aged children with UPN3,,of these: ,,Percentage of children permanently excluded,Percentage of children with at least one fixed period exclusion
,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,,,,,Number matched to the school census4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000003,352,Manchester,90-99,,655,,x,13.89,,90-99,,635,,x,16.88,,90-99,,630,,x,13.17,,90-99,,605,,0.00,10.41,,90-99,,610,,x,10.02
E08000004,353,Oldham,90-99,,150,,x,8.05,,90-99,,150,,0.00,10.53,,90-99,,140,,0.00,5.67,,100,,155,,0.00,3.90,,100,,155,,0.00,7.14
E08000005,354,Rochdale,90-99,,195,,0.00,10.31,,100,,200,,x,8.91,,100,,210,,0.00,7.62,,100,,230,,0.00,7.36,,100,,255,,x,11.07
E08000006,355,Salford,90-99,,235,,0.00,9.44,,90-99,,235,,x,12.29,,90-99,,245,,x,8.54,,90-99,,240,,0.00,6.30,,90-99,,270,,0.00,6.69
E08000014,343,Sefton,90-99,,185,,0.00,10.16,,100,,200,,0.00,5.97,,100,,215,,0.00,9.77,,100,,210,,0.00,9.00,,100,,200,,0.00,8.59
E08000013,342,St Helens,100,,175,,0.00,6.29,,100,,185,,0.00,8.70,,100,,170,,0.00,9.36,,100,,175,,0.00,9.14,,100,,210,,0.00,9.09
E08000007,356,Stockport,100,,150,,x,14.47,,100,,125,,0.00,11.11,,90-99,,125,,0.00,16.00,,100,,110,,0.00,13.39,,100,,120,,0.00,9.17
E08000008,357,Tameside,100,,180,,0.00,15.56,,90-99,,170,,0.00,14.79,,100,,185,,x,15.22,,100,,180,,x,14.04,,100,,195,,x,12.76
E08000009,358,Trafford,90-99,,115,,0.00,7.76,,90-99,,130,,0.00,8.46,,90-99,,125,,0.00,12.00,,90-99,,130,,x,10.16,,100,,150,,0.00,9.33
E06000007,877,Warrington,100,,115,,0.00,9.48,,100,,105,,0.00,12.38,,100,,115,,0.00,12.93,,100,,110,,0.00,12.04,,100,,115,,0.00,8.85
E08000010,359,Wigan,100,,210,,0.00,7.58,,100,,215,,0.00,10.80,,100,,230,,x,9.13,,100,,245,,x,8.98,,100,,250,,0.00,8.03
E08000015,344,Wirral,90-99,,330,,0.00,11.89,,90-99,,335,,0.00,10.98,,90-99,,345,,0.00,10.12,,90-99,,350,,0.00,8.33,,90-99,,345,,0.00,8.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,YORKSHIRE AND THE HUMBER,.,,"3,160",,x,11.65,,.,,"3,270",,x,9.97,,.,,"3,270",,x,9.66,,.,,"3,410",,x,8.22,,.,,"3,490",,x,9.38
E08000016,370,Barnsley,90-99,,110,,0.00,11.71,,100,,105,,0.00,7.62,,100,,85,,0.00,7.23,,100,,70,,0.00,10.00,,100,,85,,0.00,12.79
