Back to index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table LA6:  Absence1 from school of children who have been looked after continuously for at least twelve months2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years: 2013 - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coverage: State-funded primary, state-funded secondary and specials schools, England3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA code,,,,2013,,,,,,,,,,2014,,,,,,,,,,2015,,,,,,,,,,
,,,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees7,,Percentage of school-aged children with UPN4,,Number of looked after children matched to absence data5,,Percentage of sessions missed due to6:,,,,Percentage of looked after children classed as persistent absentees7,,
,,,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,,,,,Overall absence,Authorised absence,Unauthorised absence,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000005,354,Rochdale,,100,,215,,4.6,3.3,1.3,,7.5,,100,,240,,4.2,2.9,1.3,,6.3,,100,,250,,4.8,3.0,1.8,,7.6,,
E08000006,355,Salford,,90-99,,225,,4.1,2.8,1.3,,4.9,,90-99,,245,,3.3,2.3,1.0,,3.7,,90-99,,260,,3.8,2.8,1.0,,5.4,,
E08000014,343,Sefton,,100,,200,,4.7,3.4,1.3,,7.0,,100,,185,,4.2,3.1,1.1,,5.4,,100,,190,,4.6,3.2,1.4,,4.7,,
E08000013,342,St Helens,,100,,165,,3.5,2.6,0.9,,3.7,,100,,190,,3.3,2.2,1.1,,3.7,,100,,195,,3.9,2.7,1.3,,4.1,,
E08000007,356,Stockport,,100,,110,,4.3,3.2,1.1,,7.3,,100,,110,,4.9,2.9,2.0,,7.3,,100,,115,,4.8,3.2,1.6,,6.1,,
E08000008,357,Tameside,,100,,165,,4.9,3.0,1.8,,7.8,,100,,185,,4.4,3.2,1.2,,7.0,,100,,200,,4.4,2.8,1.6,,7.0,,
E08000009,358,Trafford,,90-99,,115,,3.8,3.3,0.5,,x,,100,,140,,4.0,3.5,0.5,,4.3,,100,,155,,4.4,3.2,1.1,,6.4,,
E06000007,877,Warrington,,100,,100,,6.2,3.9,2.3,,14.0,,100,,105,,4.2,3.4,0.8,,6.7,,90-99,,105,,4.4,3.2,1.2,,5.7,,
E08000010,359,Wigan,,100,,225,,4.6,3.0,1.6,,5.8,,100,,225,,3.6,2.4,1.2,,5.8,,100,,255,,5.0,2.6,2.5,,5.8,,
E08000015,344,Wirral,,90-99,,325,,4.2,3.3,0.9,,4.0,,90-99,,320,,3.4,2.7,0.7,,2.8,,90-99,,345,,4.5,2.8,1.7,,5.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,YORKSHIRE AND THE HUMBER,,.,,"3,140",,4.0,3.0,1.0,,4.1,,.,,"3,230",,3.7,2.6,1.0,,4.3,,.,,"3,340",,3.7,2.8,1.0,,4.9,,
E08000016,370,Barnsley,,100,,65,,3.6,2.8,0.8,,x,,100,,80,,3.0,2.2,0.7,,x,,100,,80,,3.8,3.0,0.8,,x,,
E08000032,380,Bradford,,100,,395,,3.8,2.9,0.9,,3.1,,100,,385,,4.1,2.6,1.4,,5.5,,100,,410,,4.0,2.8,1.2,,4.7,,
E08000033,381,Calderdale,,100,,175,,3.4,2.7,0.7,,x,,100,,185,,2.6,2.4,0.2,,x,,90-99,,175,,2.7,2.2,0.5,,x,,
E08000017,371,Doncaster,,100,,175,,3.8,3.1,0.7,,3.5,,100,,205,,3.3,2.7,0.7,,3.9,,90-99,,230,,3.2,2.5,0.7,,4.4,,
E06000011,811,East Riding of Yorkshire,,100,,130,,4.3,3.1,1.2,,x,,100,,125,,3.1,2.8,0.3,,x,,100,,135,,4.5,3.6,0.9,,8.3,,
E06000010,810,Kingston Upon Hull,,100,,285,,3.6,2.4,1.1,,6.0,,100,,295,,2.7,2.1,0.7,,x,,100,,290,,2.8,2.0,0.8,,2.1,,
E08000034,382,Kirklees,,100,,270,,3.3,2.9,0.4,,2.6,,100,,285,,4.0,3.3,0.8,,5.6,,100,,300,,3.8,3.1,0.7,,6.4,,
E08000035,383,Leeds,,90-99,,630,,4.5,2.9,1.6,,5.2,,90-99,,600,,4.1,2.2,1.9,,5.3,,90-99,,625,,4.2,2.7,1.5,,5.4,,
E06000012,812,North East Lincolnshire,,100,,45,,2.2,1.9,0.3,,0.0,,100,,65,,2.2,1.5,0.6,,x,,100,,90,,2.1,1.8,0.3,,0.0,,
E06000013,813,North Lincolnshire,,100,,70,,2.3,2.0,0.2,,0.0,,100,,70,,3.0,2.4,0.6,,x,,100,,90,,2.7,2.3,0.4,,x,,
E10000023,815,North Yorkshire,,100,,215,,4.1,3.6,0.5,,3.7,,100,,225,,3.8,3.4,0.4,,3.5,,100,,205,,3.7,2.8,0.9,,3.4,,
E08000018,372,Rotherham,,100,,170,,4.2,2.9,1.3,,4.7,,100,,190,,3.7,2.6,1.1,,4.8,,100,,190,,5.0,3.7,1.3,,7.4,,
E08000019,373,Sheffield,,90-99,,215,,5.2,3.9,1.4,,8.4,,90-99,,225,,4.4,3.1,1.3,,5.8,,100,,230,,4.8,3.5,1.3,,8.2,,
E08000036,384,Wakefield,,90-99,,180,,4.0,2.8,1.2,,3.9,,90-99,,180,,3.2,2.5,0.7,,4.4,,90-99,,205,,3.1,2.6,0.5,,4.4,,
E06000014,816,York,,100,,120,,4.2,3.6,0.6,,x,,100,,115,,4.7,3.9,0.8,,x,,100,,90,,2.8,2.4,0.4,,x,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EAST MIDLANDS,,.,,"1,890",,4.6,3.5,1.2,,5.2,,.,,"1,980",,3.9,2.9,1.0,,5.2,,.,,"2,020",,4.0,3.0,1.0,,4.9,,
E06000015,831,Derby,,90-99,,220,,3.9,3.3,0.6,,x,,100,,220,,3.7,2.6,1.1,,4.5,,100,,200,,4.6,3.2,1.4,,7.5,,
E10000007,830,Derbyshire,,100,,260,,5.9,3.7,2.2,,8.9,,100,,265,,3.8,2.9,0.9,,6.4,,100,,265,,4.4,3.2,1.2,,6.7,,
E06000016,856,Leicester,,100,,210,,5.0,3.1,1.9,,8.5,,90-99,,230,,5.2,3.4,1.8,,9.1,,90-99,,215,,5.2,3.4,1.8,,8.8,,
E10000018,855,Leicestershire,,100,,150,,4.9,4.0,0.8,,6.1,,100,,155,,3.2,2.7,0.5,,x,,100,,175,,2.9,2.5,0.4,,x,,
E10000019,925,Lincolnshire,,100,,225,,4.6,4.0,0.6,,4.4,,100,,255,,3.9,3.3,0.6,,3.9,,90-99,,270,,3.7,3.1,0.6,,4.1,,
E10000021,928,Northamptonshire,,100,,260,,4.6,3.8,0.8,,4.6,,100,,275,,4.0,3.0,1.1,,6.1,,90-99,,310,,3.8,2.8,1.0,,4.2,,
E06000018,892,Nottingham,,100,,215,,3.9,2.7,1.2,,3.7,,90-99,,220,,3.8,2.7,1.1,,4.5,,90-99,,210,,4.7,3.3,1.4,,4.3,,
E10000024,891,Nottinghamshire,,100,,335,,4.4,3.3,1.1,,3.6,,100,,345,,3.7,2.7,1.0,,4.1,,90-99,,360,,3.2,2.6,0.6,,3.1,,
E06000017,857,Rutland,,100,,15,,3.7,2.6,1.1,,x,,100,,15,,1.9,1.8,0.1,,0.0,,100,,10,,1.4,1.3,x,,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WEST MIDLANDS,,.,,"3,630",,4.4,3.4,1.1,,4.9,,.,,"3,870",,3.7,2.9,0.9,,4.2,,.,,"4,070",,3.7,3.0,0.7,,3.6,,
