Back to index,,,,,,,,,,,,,,,,,,,
Table LA4:  Children who have been looked after continuously for at least twelve months1 by special educational needs (SEN),,,,,,,,,,,,,,,,,,,
Years: 2015,,,,,,,,,,,,,,,,,,,
"Coverage: England, primary, secondary and special schools, pupil referral units and alternative provision",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LA Code,,,Percentage of school aged children with UPN2,Number of children looked after at 31 March who had been continuously looked after for at least twelve months and matched to census data3,,Number of looked after children with the following provision for SEN4:,,,,,,,,,Total with SEN6,,,,
,,,,,,No SEN,,,"SEN without statement or education, health and care plan5",,,"SEN with a statement or education, health and care plan",,,,,,,
,,,,,,Number,Percentage7,,Number,Percentage7,,Number,Percentage7,,Number,Percentage7,,,
,,,,,,,,,,,,,,,,,,,
E08000031,336,Wolverhampton,100,435,,190,44.2,,160,36.9,,80,18.9,,240,55.8,,,
E10000034,885,Worcestershire,90-99,335,,120,36.3,,105,31.5,,110,32.1,,215,63.7,,,
,,,,,,,,,,,,,,,,,,,
,,EAST OF ENGLAND,.,"3,170",,"1,250",39.5,,940,29.7,,980,30.9,,"1,920",60.5,,,
E06000055,822,Bedford Borough,90-99,125,,55,41.7,,40,29.9,,35,28.3,,75,58.3,,,
E06000056,823,Central Bedfordshire,100,135,,55,40.6,,50,37.6,,30,21.8,,80,59.4,,,
E10000003,873,Cambridgeshire,90-99,255,,90,35.2,,70,26.6,,100,38.3,,165,64.8,,,
E10000012,881,Essex,90-99,575,,225,38.9,,145,25.1,,205,36.0,,350,61.1,,,
E10000015,919,Hertfordshire,90-99,490,,190,38.6,,185,37.6,,115,23.9,,300,61.4,,,
E06000032,821,Luton ,90-99,195,,85,43.4,,65,32.7,,45,24.0,,110,56.6,,,
E10000020,926,Norfolk,90-99,600,,240,39.7,,180,30.1,,180,30.2,,365,60.3,,,
E06000031,874,Peterborough ,90-99,155,,50,32.5,,40,26.1,,65,41.4,,105,67.5,,,
E06000033,882,Southend-on-Sea ,100,115,,45,40.7,,40,33.6,,30,25.7,,65,59.3,,,
E10000029,935,Suffolk,90-99,370,,155,42.3,,95,25.7,,120,32.0,,215,57.7,,,
E06000034,883,Thurrock ,90-99,155,,65,42.7,,40,24.2,,50,33.1,,90,57.3,,,
,,,,,,,,,,,,,,,,,,,
,,LONDON,.,"4,370",,"1,700",38.9,,"1,410",32.4,,"1,260",28.8,,"2,670",61.1,,,
,,INNER LONDON,.,"1,910",,760,39.7,,590,31.0,,560,29.3,,"1,150",60.3,,,
E09000007,202,Camden,100,110,,35,33.6,,35,30.9,,40,35.5,,75,66.4,,,
E09000001,201,City of London,100,5,,x,x,,x,x,,0,0.0,,x,x,,,
E09000012,204,Hackney,90-99,150,,55,36.9,,50,32.9,,45,30.2,,95,63.1,,,
E09000013,205,Hammersmith and Fulham,<90,70,,35,47.1,,20,27.1,,20,25.7,,35,52.9,,,
E09000014,309,Haringey,90-99,255,,115,44.9,,80,31.3,,60,23.8,,140,55.1,,,
E09000019,206,Islington,100,140,,65,48.6,,40,29.7,,30,21.7,,70,51.4,,,
E09000020,207,Kensington and Chelsea,100,30,,10,37.9,,5,20.7,,10,41.4,,20,62.1,,,
E09000022,208,Lambeth,100,230,,85,36.7,,80,34.5,,65,28.8,,145,63.3,,,
E09000023,209,Lewisham,90-99,245,,80,33.3,,90,37.4,,70,29.2,,160,66.7,,,
E09000025,316,Newham,90-99,155,,65,42.0,,45,29.9,,45,28.0,,90,58.0,,,
E09000028,210,Southwark,90-99,240,,100,41.5,,60,24.5,,80,34.0,,140,58.5,,,
E09000030,211,Tower Hamlets,90-99,135,,55,40.6,,30,22.6,,50,36.8,,80,59.4,,,
E09000032,212,Wandsworth,100,80,,20,25.6,,30,35.4,,30,39.0,,60,74.4,,,
E09000033,213,Westminster,100,70,,35,47.8,,25,37.7,,10,14.5,,35,52.2,,,
,,OUTER LONDON,.,"2,460",,940,38.2,,820,33.4,,700,28.4,,"1,520",61.8,,,
E09000002,301,Barking and Dagenham,100,210,,90,42.9,,70,34.3,,50,22.9,,120,57.1,,,
E09000003,302,Barnet,100,125,,45,37.9,,45,35.5,,35,26.6,,75,62.1,,,
E09000004,303,Bexley,100,125,,40,33.1,,45,33.9,,40,33.1,,85,66.9,,,
E09000005,304,Brent,100,140,,50,34.8,,35,25.4,,55,39.9,,90,65.2,,,
E09000006,305,Bromley,90-99,125,,50,38.7,,35,26.6,,45,34.7,,75,61.3,,,
E09000008,306,Croydon,90-99,275,,130,46.7,,90,32.5,,55,20.8,,145,53.3,,,
E09000009,307,Ealing,90-99,190,,65,34.6,,70,37.7,,55,27.7,,125,65.4,,,
E09000010,308,Enfield,90-99,130,,50,37.9,,45,32.6,,40,29.5,,80,62.1,,,
E09000011,203,Greenwich,100,275,,110,40.4,,110,39.6,,55,20.0,,165,59.6,,,
E09000015,310,Harrow,100,60,,10,19.7,,35,54.1,,15,26.2,,50,80.3,,,
E09000016,311,Havering,100,90,,45,49.5,,30,30.8,,20,19.8,,45,50.5,,,
E09000017,312,Hillingdon,90-99,120,,35,29.7,,45,38.1,,40,32.2,,85,70.3,,,
E09000018,313,Hounslow,100,135,,50,36.8,,35,25.0,,50,38.2,,85,63.2,,,
E09000021,314,Kingston upon Thames,90-99,55,,20,33.9,,10,19.6,,25,46.4,,35,66.1,,,
E09000024,315,Merton,100,65,,20,27.3,,25,34.8,,25,37.9,,50,72.7,,,
E09000026,317,Redbridge,100,95,,45,46.9,,30,30.2,,20,22.9,,50,53.1,,,
E09000027,318,Richmond upon Thames,100,30,,10,31.3,,10,25.0,,15,43.8,,20,68.8,,,
E09000029,319,Sutton,90-99,80,,35,45.7,,25,29.6,,20,24.7,,45,54.3,,,
E09000031,320,Waltham Forest,100,125,,40,29.9,,45,36.2,,45,33.9,,90,70.1,,,
