,All_CLA_2009,Boys_CLA_2009,Girls_CLA_2009,All_CLA_2010,Boys_CLA_2010,Girls_CLA_2010,All_CLA_2011,Boys_CLA_2011,Girls_CLA_2011,All_CLA_2012,Boys_CLA_2012,Girls_CLA_2012,All_CLA_2013,Boys_CLA_2013,Girls_CLA_2013,All_non_CLA_2009,Boys_non_CLA_2009,Girls_non_CLA_2009,All_non_CLA_2010,Boys_non_CLA_2010,Girls_non_CLA_2010,All_non_CLA_2011,Boys_non_CLA_2011,Girls_non_CLA_2011,All_non_CLA_2012,Boys_non_CLA_2012,Girls_non_CLA_2012,All_non_CLA_2013,Boys_non_CLA_2013,Girls_non_CLA_2013
Elig_KS1,1288,695,593,1324,746,578,1509,801,708,1676,881,795,1720,938,782,532074,272838,259236,552166,283119,269047,569026,291341,277685,581298,297462,283836,593765,303931,289834
Exp_lev_reading,797,399,398,842,435,407,967,479,488,1117,543,574,1190,611,579,449366,219793,229573,467916,229170,238746,485479,237963,247516,505683,249067,256616,526564,260493,266071
Exp_lev_writing,696,327,369,746,366,380,848,396,452,957,442,515,1048,517,531,430670,205786,224884,447216,213948,233268,462725,221266,241459,483852,232920,250932,504913,244400,260513
Exp_lev_maths,886,461,425,904,490,414,1031,531,500,1184,616,568,1213,638,575,476362,240102,236260,493165,248722,244443,510162,256879,253283,526515,265351,261164,542603,273522,269081
