,All_CLA_2009,Boys_CLA_2009,Girls_CLA_2009,All_CLA_2010,Boys_CLA_2010,Girls_CLA_2010,All_CLA_2011,Boys_CLA_2011,Girls_CLA_2011,All_CLA_2012,Boys_CLA_2012,Girls_CLA_2012,All_CLA_2013,Boys_CLA_2013,Girls_CLA_2013,All_non_CLA_2009,Boys_non_CLA_2009,Girls_non_CLA_2009,All_non_CLA_2010,Boys_non_CLA_2010,Girls_non_CLA_2010,All_non_CLA_2011,Boys_non_CLA_2011,Girls_non_CLA_2011,All_non_CLA_2012,Boys_non_CLA_2012,Girls_non_CLA_2012,All_non_CLA_2013,Boys_non_CLA_2013,Girls_non_CLA_2013
Elig_KS2,"2,279","1,276","1,003","1,730",991,740,"2,111","1,184",927,"2,303","1,248","1,055","2,289","1,220","1,070","577,321","294,649","282,682","422,101","215,498","206,603",552381,"281,946","270,435","541,766","276,532","265,234","537,146","274,610",262536
Elig_maths,2279,1276,1003,1730,990,740,2111,1184,927,2303,1248,1055,2286,1220,1066,577321,294649,282672,422101,215498,206603,552205,281862,270343,541755,276532,265223,535469,273751,261718
Exp_lev_maths,1082,616,466,813,461,352,1092,634,458,1279,672,607,1351,721,630,456048,234054,221994,335972,171504,164468,444714,227182,217532,456360,233017,223343,454878,232126,222752
Elig_read,2277,1275,1002,1728,991,737,2111,1184,927,2301,1246,1055,2284,1218,1066,577292,294610,282682,420463,214912,205551,552381,281946,270435,541766,276532,265234,535514,273780,261734
Exp_lev_read,1333,682,651,936,491,445,1238,662,576,1471,724,747,1446,738,708,494930,242758,252172,350612,172167,178445,463309,226347,236962,469701,231667,238034,460080,228514,231566
Elig_writTA,.,.,.,.,.,.,.,.,.,2289,1242,1047,2289,1219,1070,.,.,.,.,.,.,.,.,.,540918,276142,264776,537146,274610,262536
Exp_lev_writTA,.,.,.,.,.,.,.,.,.,1159,546,613,1250,594,656,.,.,.,.,.,.,.,.,.,439964,210196,229768,447844,215437,232407
Elig_GPS,.,.,.,.,.,.,.,.,.,.,.,.,2284,1218,1066,.,.,.,.,.,.,.,.,.,.,.,.,535465,273753,261712
Exp_lev_GPS,.,.,.,.,.,.,.,.,.,.,.,.,1020,496,524,.,.,.,.,.,.,.,.,.,.,.,.,395427,188612,206815
Elig_2lev_prog_maths,.,.,.,.,.,.,2043,1132,911,2215,1198,1017,2228,1187,1041,.,.,.,.,.,.,533159,272296,260863,515410,263268,252142,512875,262539,250336
2lev_prog_maths,.,.,.,.,.,.,1374,781,593,1573,838,735,1641,874,767,.,.,.,.,.,.,441714,227047,214667,448575,230574,218001,451288,231780,219508
Elig_2lev_prog_read,.,.,.,.,.,.,.,.,.,2215,1198,1017,2226,1187,1039,.,.,.,.,.,.,.,.,.,515201,263084,252117,512010,262026,249984
2lev_prog_read,.,.,.,.,.,.,.,.,.,1709,861,848,1712,886,826,.,.,.,.,.,.,.,.,.,460953,231271,229682,450569,228694,221875
Elig_2lev_prog_writ,.,.,.,.,.,.,.,.,.,2219,1201,1018,2229,1190,1039,.,.,.,.,.,.,.,.,.,516067,263450,252617,512719,262321,250398
2lev_prog_writ,.,.,.,.,.,.,.,.,.,1701,874,827,1799,938,861,.,.,.,.,.,.,.,.,.,464101,231958,232143,468610,235176,233434
