,All_CLA_2009,Boys_CLA_2009,Girls_CLA_2009,All_CLA_2010,Boys_CLA_2010,Girls_CLA_2010,All_CLA_2011,Boys_CLA_2011,Girls_CLA_2011,All_CLA_2012,Boys_CLA_2012,Girls_CLA_2012,All_CLA_2013,Boys_CLA_2013,Girls_CLA_2013,All_non_CLA_2009,Boys_non_CLA_2009,Girls_non_CLA_2009,All_non_CLA_2010,Boys_non_CLA_2010,Girls_non_CLA_2010,All_non_CLA_2011,Boys_non_CLA_2011,Girls_non_CLA_2011,All_non_CLA_2012,Boys_non_CLA_2012,Girls_non_CLA_2012,All_non_CLA_2013,Boys_non_CLA_2013,Girls_non_CLA_2013
Elig_KS4,4561,"2,550",2011,4960,"2,871",2089,5019,"2,929",2090,4853,"2,718",2135,4871,"2,722",2149,643209,329006,314203,"645,254",330672,314582,631980,323973,308007,626477,321587,304890,"640,238",327638,312600
AC_Eng_maths,525,248,277,649,311,338,713,334,379,748,330,418,786,343,443,319688,150511,169177,345078,163501,181577,373278,179665,193613,371585,176114,195471,376638,176206,200432
5plus_AC_Eng_maths,500,233,267,618,301,317,684,318,366,727,322,405,746,325,421,315855,148338,167517,341528,161487,180041,369511,177407,192104,368355,174162,194193,371534,173081,198453
5plus_AC,1094,535,559,1429,739,690,1682,837,845,1807,859,948,1783,832,951,444501,213975,230526,481693,233986,247707,498103,243408,254695,507105,249261,257844,514096,251123,262973
Elig_2lev_prog_eng,.,.,.,.,.,.,3985,2218,1767,3938,2099,1839,4083,2195,1888,.,.,.,.,.,.,556490,283435,273055,554128,283311,270817,566470,288796,277674
2lev_prog_eng,.,.,.,.,.,.,1316,570,746,1239,531,708,1331,573,758,.,.,.,.,.,.,391027,183843,207184,368191,169783,198408,387981,179767,208214
Elig_2lev_prog_maths,.,.,.,.,.,.,3961,2188,1773,3918,2083,1835,4086,2204,1882,.,.,.,.,.,.,557692,285325,272367,555195,284747,270448,568148,290471,277677
2lev_prog_maths,.,.,.,.,.,.,1059,545,514,1198,598,600,1192,559,633,.,.,.,.,.,.,353932,175194,178738,373083,184565,188518,392520,193449,199071
