New_geog_code,geog_l,geog_c,geog_n,CLA_started2014,CLA_taken2014,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E92000001,NATIONAL,999,ENGLAND,31070,10790,17020,14050,5810,5870,5530,9000,4870,17380,670,1010,2920,5390,1090,100,2520,6210,320,60,19300,3710,550,10,890,20,10
E12000001,REGION,A,NORTH EAST,1890,380,1000,900,430,460,350,500,150,1180,20,30,180,380,60,x,40,220,20,0,1480,130,10,0,40,0,0
E12000002,REGION,B,NORTH WEST,4740,2280,2520,2220,1010,1060,970,1260,440,2970,80,120,410,880,150,20,120,1550,40,0,2330,620,60,10,120,10,x
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2730,1150,1440,1280,640,610,500,690,280,1820,50,60,180,450,90,x,80,770,40,x,1480,300,50,0,100,x,x
E12000004,REGION,D,EAST MIDLANDS,2440,770,1360,1080,490,480,430,670,380,1450,60,70,220,390,60,x,190,540,20,0,1590,180,30,0,80,x,0
E12000005,REGION,E,WEST MIDLANDS,3740,1370,1930,1810,780,760,720,1030,460,2200,80,190,370,570,160,10,160,760,60,10,2280,480,60,x,80,x,x
E12000006,REGION,F,EAST OF ENGLAND,2700,900,1490,1210,500,470,460,780,490,1570,70,30,280,460,70,x,220,530,20,10,1710,270,80,0,80,x,0
E12000007,REGION,G,LONDON,5710,1830,3320,2400,700,700,890,1920,1510,2700,110,240,530,730,350,40,1020,630,30,10,3580,1080,80,x,310,0,x
E12000007,REGION,H,INNER LONDON,2280,770,1300,980,320,250,320,720,670,1020,40,130,230,370,170,20,290,300,20,x,1340,420,40,0,170,0,0
E12000007,REGION,I,OUTER LONDON,3440,1050,2020,1420,370,450,580,1200,840,1680,70,110,290,360,180,20,730,340,20,x,2240,660,40,x,140,0,x
E12000008,REGION,J,SOUTH EAST,4320,1250,2500,1820,750,730,740,1300,800,1900,100,170,450,960,120,10,620,690,50,20,2970,400,100,x,90,0,x
E12000009,REGION,K,SOUTH WEST,2800,890,1460,1350,510,600,460,860,360,1600,90,110,300,570,40,20,80,520,40,10,1880,260,70,0,20,0,0
E09000001,LA,201,City of London,x,0,x,0,0,0,0,x,x,x,0,0,0,0,0,0,x,0,0,0,x,0,0,0,0,0,0
E09000007,LA,202,Camden,85,33,50,35,11,10,8,30,26,29,x,7,x,27,7,x,6,x,0,0,47,23,0,0,x,0,0
E09000011,LA,203,Greenwich,258,125,142,116,33,45,63,67,50,153,6,14,16,32,10,6,21,27,x,0,127,84,12,x,x,0,0
E09000012,LA,204,Hackney,162,70,89,73,25,18,16,59,44,71,x,16,x,22,27,x,15,23,0,0,72,42,x,0,x,0,0
E09000013,LA,205,Hammersmith and Fulham,97,24,61,36,14,7,9,35,32,44,x,x,14,9,x,0,20,18,x,0,63,x,x,0,10,0,0
E09000019,LA,206,Islington,220,58,129,91,24,14,18,73,91,97,x,x,8,36,16,0,57,29,x,0,143,17,x,0,19,0,0
E09000020,LA,207,Kensington and Chelsea,71,18,42,29,8,7,6,21,29,17,0,x,16,8,x,0,23,10,0,0,47,x,x,0,6,0,0
E09000022,LA,208,Lambeth,272,86,144,128,44,31,45,78,74,101,x,29,52,43,20,x,18,32,x,0,172,43,x,0,14,0,0
E09000023,LA,209,Lewisham,250,88,151,99,53,33,42,62,60,116,7,x,21,49,30,x,20,47,x,x,130,31,x,0,30,0,0
E09000028,LA,210,Southwark,228,67,129,99,32,32,51,61,52,119,x,13,20,38,6,x,24,22,0,x,151,43,x,0,x,0,0
E09000030,LA,211,Tower Hamlets,164,67,88,76,19,13,18,62,52,84,x,17,x,21,12,0,17,15,0,0,92,48,x,0,x,0,0
