New_geog_code,geog_l,geog_c,geog_n,CLA_MissDuringYear,CLA_MissIncs,CLA_MissMoreOnce,CLA_Miss31Mar,CLA_AwayDuringYear,CLA_AwayIncs,CLA_AwayMoreOnce,CLA_Away31Mar
E92000001,NATIONAL,999,ENGLAND,6110,28570,3580,160,3230,13080,1730,50
E12000001,REGION,A,NORTH EAST,380,2050,260,10,190,800,110,0
E12000002,REGION,B,NORTH WEST,1020,5480,660,10,520,2400,310,x
E12000003,REGION,C,YORKSHIRE AND THE HUMBER,660,3430,410,10,360,1870,230,x
E12000004,REGION,D,EAST MIDLANDS,400,1300,220,10,210,1070,120,x
E12000005,REGION,E,WEST MIDLANDS,610,2400,320,10,90,250,30,x
E12000006,REGION,F,EAST OF ENGLAND,670,2770,370,20,400,1640,220,x
E12000007,REGION,G,LONDON,970,4710,550,50,690,2550,330,20
E12000007,REGION,H,INNER LONDON,330,1140,170,20,270,810,110,x
E12000007,REGION,I,OUTER LONDON,640,3570,380,30,420,1740,220,10
E12000008,REGION,J,SOUTH EAST,990,4920,570,50,590,2170,310,10
E12000009,REGION,K,SOUTH WEST,420,1520,230,10,160,340,70,10
E09000001,LA,201,City of London,x,22,x,0,0,0,0,0
E09000007,LA,202,Camden,26,132,17,0,44,278,30,0
E09000011,LA,203,Greenwich,76,560,55,x,83,636,56,x
E09000012,LA,204,Hackney,32,113,19,x,48,48,0,0
E09000013,LA,205,Hammersmith and Fulham,29,110,18,x,14,30,x,0
E09000019,LA,206,Islington,33,103,15,x,22,59,10,0
E09000020,LA,207,Kensington and Chelsea,14,67,6,x,x,x,x,0
E09000022,LA,208,Lambeth,19,35,9,0,7,11,x,0
E09000023,LA,209,Lewisham,20,28,6,0,26,39,10,0
E09000028,LA,210,Southwark,48,154,21,x,28,90,13,x
E09000030,LA,211,Tower Hamlets,22,63,10,0,20,75,9,0
E09000032,LA,212,Wandsworth,24,134,13,x,22,75,7,x
E09000033,LA,213,Westminster,29,125,21,x,20,60,10,x
E09000002,LA,301,Barking and Dagenham,19,31,7,x,x,x,0,0
E09000003,LA,302,Barnet,18,70,9,x,13,32,6,0
E09000004,LA,303,Bexley,47,333,34,x,45,288,34,x
E09000005,LA,304,Brent,71,698,53,x,32,99,20,x
E09000006,LA,305,Bromley,13,39,8,x,13,17,x,x
E09000008,LA,306,Croydon,34,63,16,x,13,17,x,0
E09000009,LA,307,Ealing,35,73,11,x,22,53,8,x
E09000010,LA,308,Enfield,49,273,31,x,9,18,x,0
E09000014,LA,309,Haringey,30,49,9,x,17,39,8,0
E09000015,LA,310,Harrow,28,282,22,x,21,73,12,0
E09000016,LA,311,Havering,26,71,8,x,16,53,7,0
E09000017,LA,312,Hillingdon,27,52,11,x,23,39,10,0
E09000018,LA,313,Hounslow,56,524,37,x,51,237,27,x
E09000021,LA,314,Kingston upon Thames,16,59,8,x,9,17,x,0
E09000024,LA,315,Merton,33,95,15,x,9,23,x,0
E09000025,LA,316,Newham,x,x,0,x,x,x,0,0
E09000026,LA,317,Redbridge,31,131,21,x,7,7,0,0
E09000027,LA,318,Richmond upon Thames,23,141,16,0,17,69,12,0
E09000029,LA,319,Sutton,8,14,x,0,6,9,x,0
E09000031,LA,320,Waltham Forest,29,63,16,0,29,48,11,x
E08000025,LA,330,Birmingham,65,228,31,x,21,67,x,x
E08000026,LA,331,Coventry,67,182,33,x,6,17,x,0
E08000027,LA,332,Dudley,64,698,56,0,22,98,16,0
E08000028,LA,333,Sandwell,25,48,10,x,8,12,x,0
E08000029,LA,334,Solihull,21,65,8,0,x,x,0,0
E08000030,LA,335,Walsall,36,107,16,0,12,22,x,0
E08000031,LA,336,Wolverhampton,19,46,8,0,9,15,x,0
E08000011,LA,340,Knowsley,31,201,24,x,12,26,7,x
E08000012,LA,341,Liverpool,53,141,27,0,112,972,87,0
E08000013,LA,342,St. Helens,35,174,21,0,23,50,10,0
E08000014,LA,343,Sefton,21,44,9,0,33,72,15,0
E08000015,LA,344,Wirral,34,102,18,0,22,36,8,0
E08000001,LA,350,Bolton,25,184,13,0,51,336,30,0
E08000002,LA,351,Bury,27,104,17,0,17,34,8,0
E08000003,LA,352,Manchester,105,774,76,0,67,317,44,0
E08000004,LA,353,Oldham,31,299,25,0,12,52,6,0
E08000005,LA,354,Rochdale,17,47,8,0,x,x,x,0
E08000006,LA,355,Salford,58,363,36,x,0,0,0,0
E08000007,LA,356,Stockport,35,142,22,0,8,9,x,0
E08000008,LA,357,Tameside,64,268,40,0,11,18,x,0
E08000009,LA,358,Trafford,48,242,29,0,6,6,0,0
E08000010,LA,359,Wigan,33,126,18,0,33,94,17,0
E08000016,LA,370,Barnsley,29,120,16,x,11,39,7,0
E08000017,LA,371,Doncaster,58,180,28,0,42,159,29,0
E08000018,LA,372,Rotherham,11,59,7,0,0,0,0,0
E08000019,LA,373,Sheffield,103,705,68,x,48,376,36,x
E08000032,LA,380,Bradford,50,232,29,0,70,411,46,0
E08000033,LA,381,Calderdale,40,161,24,0,27,119,16,0
E08000034,LA,382,Kirklees,56,238,41,x,47,267,30,x
E08000035,LA,383,Leeds,78,409,50,x,70,347,46,0
E08000036,LA,384,Wakefield,54,195,30,x,x,12,x,0
E08000020,LA,390,Gateshead,54,372,40,x,42,198,30,0
E08000021,LA,391,Newcastle upon Tyne,21,78,16,x,0,0,0,0
E08000022,LA,392,North Tyneside,57,366,43,0,23,47,10,0
E08000023,LA,393,South Tyneside,22,70,14,x,0,0,0,0
E08000024,LA,394,Sunderland,58,380,46,0,0,0,0,0
E06000022,LA,800,Bath and North East Somerset,10,19,x,0,8,21,x,x
E06000023,LA,801,"Bristol, City of",86,320,56,0,32,61,8,x
E06000024,LA,802,North Somerset,31,70,11,0,16,20,x,0
E06000025,LA,803,South Gloucestershire,25,102,14,0,0,0,0,0
E06000001,LA,805,Hartlepool,35,226,22,0,13,30,9,0
E06000002,LA,806,Middlesbrough,11,17,x,0,70,412,42,0
E06000003,LA,807,Redcar and Cleveland,21,67,11,0,11,18,x,0
E06000004,LA,808,Stockton-on-Tees,50,313,36,x,24,81,17,0
E06000010,LA,810,"Kingston Upon Hull, City of",11,28,x,0,x,x,x,0
E06000011,LA,811,East Riding of Yorkshire,32,114,16,0,x,x,0,0
E06000012,LA,812,North East Lincolnshire,27,107,19,0,11,20,x,0
E06000013,LA,813,North Lincolnshire,36,156,21,0,14,61,7,x
E10000023,LA,815,North Yorkshire,49,528,34,0,0,0,0,0
E06000014,LA,816,York,24,202,21,0,11,48,7,0
E06000032,LA,821,Luton,23,73,11,x,19,82,11,x
E06000055,LA,822,Bedford,31,213,15,x,0,0,0,0
E06000056,LA,823,Central Bedfordshire,11,19,x,x,15,21,x,0
E10000002,LA,825,Buckinghamshire,11,18,x,x,x,7,x,0
E06000042,LA,826,Milton Keynes,27,46,9,x,27,53,10,x
