New_geog_code,geog_l,geog_c,geog_n,CLA_12mths,CLA_10over,CLA_convicted,CLA_submisuse,CLA_subint,CLA_suboffint,CLA_immunisation,CLA_teethcheck,CLA_healthassmt,CLA_5under,CLA_devassmt,CLA_5to16,CLA_SDQ,CLA_SDQnormal,CLA_SDQborderline,CLA_SDQconcern
E08000003,LA,352,Manchester,1051,643,37,67,38,21,945,1011,924,195,189,788,689,382,79,228
E08000004,LA,353,Oldham,281,152,9,11,9,x,281,265,274,58,47,214,195,101,31,63
E08000005,LA,354,Rochdale,407,232,x,x,0,0,403,375,378,86,68,291,217,147,29,41
E08000006,LA,355,Salford,426,249,22,15,15,0,417,389,393,98,95,319,294,173,33,88
E08000007,LA,356,Stockport,194,119,6,18,11,7,169,168,176,43,38,138,126,54,23,49
E08000008,LA,357,Tameside,318,206,11,x,0,0,313,238,288,54,31,247,235,133,32,70
E08000009,LA,358,Trafford,259,152,x,23,22,x,244,223,256,50,41,188,178,126,16,36
E08000010,LA,359,Wigan,388,204,13,13,13,0,387,373,383,85,85,292,233,140,13,80
E08000016,LA,370,Barnsley,137,85,x,x,0,0,136,137,136,28,28,98,79,41,10,28
E08000017,LA,371,Doncaster,372,225,x,x,0,0,371,307,358,78,78,278,233,105,31,97
E08000018,LA,372,Rotherham,289,202,16,23,x,20,281,207,251,38,38,227,160,67,20,73
E08000019,LA,373,Sheffield,377,244,18,x,0,x,316,256,329,63,42,270,228,105,18,105
E08000032,LA,380,Bradford,668,411,27,x,0,x,551,620,618,125,120,493,347,181,46,120
E08000033,LA,381,Calderdale,248,142,7,8,x,7,222,241,241,43,39,198,135,65,18,52
E08000034,LA,382,Kirklees,457,282,16,36,x,x,456,457,456,76,76,362,320,167,47,106
E08000035,LA,383,Leeds,978,569,37,28,22,x,953,871,965,194,194,745,318,138,45,135
E08000036,LA,384,Wakefield,349,187,6,x,x,0,349,337,318,90,90,249,189,78,22,89
E08000020,LA,390,Gateshead,234,164,9,8,8,0,223,221,226,30,30,186,146,82,16,48
E08000021,LA,391,Newcastle upon Tyne,379,270,11,10,8,x,330,271,335,52,52,275,182,91,30,61
E08000022,LA,392,North Tyneside,211,148,6,9,7,x,205,203,207,15,15,170,164,82,20,62
E08000023,LA,393,South Tyneside,199,132,x,14,6,8,189,194,199,29,28,153,83,41,11,31
E08000024,LA,394,Sunderland,331,215,29,18,7,x,284,181,308,57,53,258,0,0,0,0
E06000022,LA,800,Bath and North East Somerset,104,82,x,x,0,0,100,98,94,6,x,89,70,26,15,29
E06000023,LA,801,"Bristol, City of",486,360,35,33,33,0,407,400,443,60,0,360,289,134,35,120
E06000024,LA,802,North Somerset,150,108,6,x,x,0,130,116,137,18,18,116,69,28,13,28
E06000025,LA,803,South Gloucestershire,110,75,9,7,6,x,99,93,95,12,12,76,36,16,x,x
E06000001,LA,805,Hartlepool,133,94,x,10,0,7,126,124,125,18,12,102,101,54,10,37
E06000002,LA,806,Middlesbrough,248,176,11,13,9,x,241,233,232,33,33,197,194,100,23,71
E06000003,LA,807,Redcar and Cleveland,127,88,6,x,x,0,124,116,125,17,17,103,100,49,10,41
E06000004,LA,808,Stockton-on-Tees,282,156,10,9,0,9,264,266,275,51,40,213,184,90,30,64
E06000010,LA,810,"Kingston Upon Hull, City of",487,273,19,30,11,19,431,323,431,98,92,361,44,26,x,x
E06000011,LA,811,East Riding of Yorkshire,222,148,x,10,x,8,204,202,215,34,34,172,144,68,21,55
E06000012,LA,812,North East Lincolnshire,155,81,7,x,x,x,149,146,150,35,35,116,104,62,11,31
E06000013,LA,813,North Lincolnshire,130,87,x,7,7,0,124,123,129,11,11,107,107,42,14,51
E10000023,LA,815,North Yorkshire,330,240,19,0,0,0,316,291,280,41,40,252,227,115,38,74
E06000014,LA,816,York,147,109,7,6,0,x,136,110,99,14,13,120,109,43,19,47
E06000032,LA,821,Luton,266,181,9,13,11,x,229,221,221,38,35,207,104,52,13,39
E06000055,LA,822,Bedford,165,93,6,x,x,0,153,138,154,30,30,131,122,57,16,49
E06000056,LA,823,Central Bedfordshire,177,101,13,23,18,x,170,173,175,33,27,136,136,71,15,50
E10000002,LA,825,Buckinghamshire,318,210,8,x,0,0,299,289,292,51,46,226,165,83,23,59
E06000042,LA,826,Milton Keynes,221,142,x,x,0,0,206,206,211,35,35,163,154,82,21,51
E10000007,LA,830,Derbyshire,427,277,15,x,x,x,388,392,372,69,56,325,108,37,19,52
E06000015,LA,831,Derby,322,205,6,0,0,0,315,298,238,53,41,248,168,66,22,80
E10000009,LA,835,Dorset,238,185,19,x,0,x,205,179,193,28,25,180,90,44,15,31
E06000029,LA,836,Poole,110,81,x,x,0,x,95,94,106,12,12,91,68,32,15,21
E06000028,LA,837,Bournemouth,164,126,x,x,x,x,147,145,153,19,18,125,108,49,20,39
E06000047,LA,840,Durham,429,264,10,7,7,0,410,420,401,67,65,338,241,97,28,116
E06000005,LA,841,Darlington,134,90,7,9,9,0,122,125,127,28,25,96,96,43,12,41
E10000011,LA,845,East Sussex,437,286,11,20,12,8,388,413,396,67,65,336,184,71,28,85
E06000043,LA,846,Brighton and Hove,322,238,9,8,6,x,295,277,300,38,38,241,182,77,24,81
E10000014,LA,850,Hampshire,904,590,36,x,0,0,669,688,727,151,137,673,449,234,68,147
E06000044,LA,851,Portsmouth,203,126,9,13,x,8,194,185,188,32,28,162,111,54,19,38
E06000045,LA,852,Southampton,377,181,8,19,0,19,255,229,305,109,109,264,0,0,0,0
E10000018,LA,855,Leicestershire,307,193,15,20,9,8,270,240,264,58,54,211,43,19,x,x
E06000016,LA,856,Leicester,396,229,27,x,x,0,331,310,355,92,86,273,56,21,9,26
