New_geog_code,geog_l,geog_c,geog_n,All_aged1920&21,Act_HE,Act_OE,Act_TE,Act_NEET_ill,Act_NEET_oth,Act_NEET_preg,LA_NoActinf,Acc_SUIT,Acc_P,Acc_CH,Acc_SITA,Acc_SL,Acc_GA,Acc_Dep,Acc_OL,Acc_ResNk,Acc_NFA,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_Cust,Acc_FFC,Acc_OTH,LA_NoAccinf
E09000017,LA,312,Hillingdon,244,29,94,36,7,35,11,32,204,14,x,36,11,0,0,12,0,0,x,113,0,0,8,x,6,32
E09000018,LA,313,Hounslow,190,10,31,31,9,59,19,31,132,11,0,77,x,x,x,x,29,x,x,26,0,10,x,8,x,7
E09000021,LA,314,Kingston upon Thames,80,7,20,12,x,18,x,14,60,6,x,16,10,0,0,0,0,0,x,21,0,0,6,x,x,14
E09000024,LA,315,Merton,91,7,13,21,x,23,x,17,67,11,0,26,x,0,x,6,x,x,x,17,x,0,x,x,0,12
E09000025,LA,316,Newham,231,30,34,35,10,66,20,36,186,11,9,78,26,0,0,x,0,0,x,38,x,x,7,x,16,36
E09000026,LA,317,Redbridge,109,13,24,27,x,24,x,14,88,7,0,66,x,0,0,x,0,0,x,x,0,0,x,x,x,14
E09000027,LA,318,Richmond upon Thames,44,x,10,11,x,10,6,x,42,x,x,18,0,0,0,0,0,0,0,14,0,0,x,x,0,x
E09000029,LA,319,Sutton,85,x,26,x,x,30,0,14,67,x,x,17,x,0,0,0,0,0,x,36,0,x,x,6,x,14
E09000031,LA,320,Waltham Forest,168,7,40,21,x,94,0,x,140,x,11,67,x,0,0,0,x,x,x,37,0,0,13,19,x,x
E08000025,LA,330,Birmingham,635,36,102,107,65,181,52,92,504,74,41,17,16,0,0,x,0,x,18,264,x,0,37,21,47,92
E08000026,LA,331,Coventry,201,11,38,34,13,69,21,15,150,22,x,21,7,x,0,16,9,x,x,66,x,x,12,14,x,14
E08000027,LA,332,Dudley,128,x,12,40,x,36,10,18,105,13,x,x,7,0,0,0,x,x,0,54,0,0,x,19,10,18
E08000028,LA,333,Sandwell,148,17,32,27,36,12,0,24,105,17,0,29,0,0,0,0,9,0,x,46,0,0,x,x,12,24
E08000029,LA,334,Solihull,261,18,51,59,8,89,17,19,204,17,x,24,13,0,6,x,0,11,6,142,x,0,x,0,13,19
E08000030,LA,335,Walsall,129,7,24,24,8,35,16,15,106,14,x,15,x,0,0,0,0,x,0,54,x,0,x,12,x,15
E08000031,LA,336,Wolverhampton,112,x,19,23,13,25,x,16,91,16,0,11,x,0,0,x,0,0,6,41,0,0,x,9,x,16
E08000011,LA,340,Knowsley,76,7,6,26,x,18,9,x,65,16,x,x,x,0,0,x,0,0,0,23,0,0,x,13,x,6
E08000012,LA,341,Liverpool,263,22,62,30,27,84,19,19,215,57,x,11,11,x,x,0,12,x,x,104,x,0,13,23,x,16
E08000013,LA,342,St. Helens,56,x,8,13,10,12,7,x,48,10,x,x,x,0,0,x,x,x,0,20,0,0,x,x,x,x
E08000014,LA,343,Sefton,113,8,14,26,x,36,20,x,101,27,x,x,7,0,0,x,x,0,0,50,0,0,x,x,x,x
E08000015,LA,344,Wirral,213,x,29,50,32,51,x,40,160,35,x,26,x,0,0,x,x,x,x,74,x,0,8,6,6,40
E08000001,LA,350,Bolton,117,13,10,26,14,28,12,14,93,17,x,x,x,0,0,x,x,x,x,52,x,0,6,9,x,14
E08000002,LA,351,Bury,98,10,14,20,9,32,x,x,86,30,x,x,x,0,0,x,x,0,0,33,0,0,x,6,8,8
E08000003,LA,352,Manchester,511,57,80,82,32,132,42,86,365,83,15,41,21,0,0,17,x,11,x,151,x,x,27,41,8,86
E08000004,LA,353,Oldham,87,x,14,27,x,31,0,0,82,15,x,x,6,0,0,x,0,0,7,43,x,0,x,x,x,0
E08000005,LA,354,Rochdale,92,6,16,20,7,25,7,11,72,23,x,6,6,0,0,0,0,x,0,31,x,x,x,x,x,11
E08000006,LA,355,Salford,175,8,53,76,7,24,7,0,167,23,12,x,x,0,0,0,0,0,x,106,x,0,7,18,0,0
E08000007,LA,356,Stockport,121,x,19,36,19,34,x,x,114,19,11,x,15,0,0,0,0,x,x,54,x,0,x,0,12,x
E08000008,LA,357,Tameside,104,x,x,26,10,24,8,25,72,16,x,x,x,0,0,x,x,x,0,39,0,0,x,7,x,25
E08000009,LA,358,Trafford,113,12,18,35,17,19,6,6,102,15,10,10,15,0,0,0,0,0,0,48,x,0,x,x,x,6
E08000010,LA,359,Wigan,127,11,18,35,x,31,17,x,117,23,x,x,9,0,0,x,0,0,x,64,0,x,x,7,x,x
E08000016,LA,370,Barnsley,87,x,19,21,x,25,6,7,75,x,x,x,0,0,0,0,0,0,x,52,0,0,x,13,x,7
E08000017,LA,371,Doncaster,176,8,20,46,20,46,14,22,146,30,8,9,14,0,0,21,x,x,x,56,0,x,x,x,x,22
E08000018,LA,372,Rotherham,95,x,23,29,6,12,14,x,89,x,6,15,x,0,0,x,0,0,0,55,0,0,x,x,0,x
E08000019,LA,373,Sheffield,227,9,37,54,22,77,0,28,180,32,11,11,18,x,0,12,x,0,9,65,x,0,16,13,x,28
E08000032,LA,380,Bradford,249,9,35,83,33,40,29,20,217,37,11,11,7,0,0,x,0,x,x,110,x,0,9,21,15,19
E08000033,LA,381,Calderdale,82,x,22,28,x,16,9,0,75,8,x,x,x,x,0,x,0,0,x,48,0,x,x,x,x,0
E08000034,LA,382,Kirklees,161,9,26,39,15,46,18,8,144,17,x,x,6,0,0,0,0,0,9,95,x,0,8,x,7,8
E08000035,LA,383,Leeds,386,33,68,115,17,77,25,51,317,53,15,x,8,0,0,x,0,x,10,180,x,0,12,35,12,51
E08000036,LA,384,Wakefield,114,9,24,26,14,18,10,13,92,11,x,16,x,0,0,x,0,0,0,41,0,0,6,12,x,13
E08000020,LA,390,Gateshead,116,x,13,38,x,35,13,10,105,18,x,x,21,0,0,0,0,0,0,51,0,0,x,7,x,10
E08000021,LA,391,Newcastle upon Tyne,203,12,35,40,32,51,9,24,171,24,x,10,14,0,0,0,0,x,10,86,x,0,x,12,12,24
E08000022,LA,392,North Tyneside,78,x,10,22,9,20,7,x,72,10,0,6,0,0,0,x,0,0,0,47,x,x,x,x,x,x
E08000023,LA,393,South Tyneside,77,x,11,23,x,25,7,x,74,14,x,x,x,0,0,x,0,0,x,36,0,0,x,8,x,x
E08000024,LA,394,Sunderland,142,x,11,21,x,14,9,78,64,x,0,23,x,0,0,0,0,0,x,27,x,0,0,x,x,78
E06000022,LA,800,Bath and North East Somerset,88,x,10,36,9,22,x,0,81,11,x,x,6,0,0,x,x,0,x,37,0,0,0,11,7,0
E06000023,LA,801,"Bristol, City of",298,8,65,48,37,77,23,40,229,22,17,45,14,0,0,10,0,7,x,91,x,0,17,24,x,40
E06000024,LA,802,North Somerset,104,x,17,30,15,25,x,8,85,20,x,6,0,0,0,0,0,x,x,53,0,0,x,x,x,8
E06000025,LA,803,South Gloucestershire,115,8,10,38,12,30,8,9,100,17,x,x,x,0,0,9,0,x,7,52,0,x,x,x,x,9
E06000001,LA,805,Hartlepool,58,x,9,17,x,12,11,0,54,11,x,x,x,0,0,x,0,0,x,21,0,0,x,10,x,0
E06000002,LA,806,Middlesbrough,96,7,19,23,x,17,x,15,77,16,x,x,8,0,0,x,0,0,0,42,0,x,x,x,x,15
E06000003,LA,807,Redcar and Cleveland,45,x,15,16,x,x,x,0,44,6,x,0,x,0,0,0,0,0,0,23,0,0,x,9,x,0
E06000004,LA,808,Stockton-on-Tees,82,x,11,23,10,19,12,x,76,8,0,x,10,0,0,0,x,x,x,47,0,0,x,0,x,x
E06000010,LA,810,"Kingston Upon Hull, City of",138,x,28,26,15,45,x,12,116,10,7,7,29,0,0,0,0,x,x,52,0,0,6,x,7,12
E06000011,LA,811,East Riding of Yorkshire,101,11,14,43,11,x,10,x,96,19,6,13,8,0,0,0,0,x,0,41,0,0,x,8,x,x
E06000012,LA,812,North East Lincolnshire,54,x,x,18,x,16,x,x,48,7,x,0,x,0,0,x,0,0,0,20,0,0,x,x,x,x
E06000013,LA,813,North Lincolnshire,63,x,11,23,x,10,x,9,49,6,x,10,x,0,0,0,0,0,x,23,0,0,x,x,0,9
E10000023,LA,815,North Yorkshire,179,x,22,74,24,27,18,x,168,26,14,16,x,0,0,x,0,x,x,96,x,0,6,x,7,x
E06000014,LA,816,York,79,x,11,31,x,21,7,x,75,21,0,8,11,0,0,0,0,x,x,28,0,0,x,x,x,0
E06000032,LA,821,Luton,153,20,43,41,8,32,0,9,138,31,x,21,16,0,0,x,0,0,x,61,0,0,x,0,6,9
E06000055,LA,822,Bedford,87,7,8,10,x,24,x,30,54,8,x,x,x,0,0,x,0,0,x,26,x,0,x,x,x,30
E06000056,LA,823,Central Bedfordshire,95,x,20,16,12,24,x,13,69,7,x,x,0,0,x,x,8,x,x,46,0,0,x,x,x,11
E10000002,LA,825,Buckinghamshire,125,11,14,33,16,27,14,10,100,13,9,x,x,0,x,x,6,x,x,64,0,x,x,6,x,7
E06000042,LA,826,Milton Keynes,116,x,26,32,12,15,x,25,85,11,6,10,7,0,0,x,0,x,x,41,0,0,x,x,x,25
E10000007,LA,830,Derbyshire,285,11,19,106,27,86,15,21,241,14,12,21,12,x,0,x,0,x,x,158,x,x,17,6,13,21
E06000015,LA,831,Derby,157,x,49,54,x,36,x,9,141,23,x,0,11,0,0,x,0,0,0,77,x,0,x,x,25,9
E10000009,LA,835,Dorset,140,x,20,35,24,28,x,16,113,19,9,7,x,x,0,x,0,x,7,57,0,0,x,x,x,16
E06000029,LA,836,Poole,53,6,7,18,x,13,x,x,48,x,x,x,16,0,0,0,0,0,x,17,0,x,x,x,6,x
E06000028,LA,837,Bournemouth,90,x,24,18,10,29,x,x,79,15,8,x,7,0,0,0,x,0,0,43,0,x,0,x,x,x
E06000047,LA,840,Durham,179,9,39,46,16,27,20,22,148,14,x,28,16,0,0,0,0,x,x,84,x,0,7,x,x,22
E06000005,LA,841,Darlington,54,9,x,8,9,7,x,15,38,x,x,x,x,0,0,x,0,0,x,12,0,0,x,x,x,15
E10000011,LA,845,East Sussex,167,22,38,32,x,37,x,26,130,20,14,x,16,0,0,x,0,x,9,51,0,x,x,12,x,26
E06000043,LA,846,Brighton and Hove,176,x,61,39,15,52,0,x,166,35,x,0,38,0,0,x,0,0,46,37,0,x,x,0,x,x
E10000014,LA,850,Hampshire,447,24,66,106,32,114,25,80,329,56,15,21,36,0,0,37,0,0,x,163,x,x,12,0,15,80
E06000044,LA,851,Portsmouth,101,x,18,26,x,18,6,24,72,7,0,10,12,0,0,x,0,0,9,21,0,x,x,7,x,24
E06000045,LA,852,Southampton,121,x,17,28,14,32,x,15,90,19,7,19,x,0,0,x,x,x,0,30,x,x,x,7,x,15
E10000018,LA,855,Leicestershire,194,7,37,49,20,48,17,16,159,30,11,x,11,0,x,x,0,x,6,87,0,x,8,10,10,10
E06000016,LA,856,Leicester,170,7,29,35,33,35,18,13,146,23,7,27,6,0,0,0,x,x,0,72,x,0,8,x,7,11
E06000017,LA,857,Rutland,15,x,0,7,x,x,0,0,15,x,x,0,0,0,0,0,0,0,x,x,0,0,0,0,0,0
E10000028,LA,860,Staffordshire,332,18,63,65,30,95,19,42,264,37,13,12,x,0,0,6,x,7,7,135,x,0,16,21,31,41
E06000021,LA,861,Stoke-on-Trent,158,8,20,23,20,45,18,24,122,17,x,0,x,0,0,0,0,0,x,69,x,0,7,12,17,24
E06000054,LA,865,Wiltshire,147,10,29,33,13,23,14,25,111,17,11,x,17,0,x,x,0,x,0,56,0,0,x,x,x,24
E06000030,LA,866,Swindon,139,x,16,28,x,60,0,23,105,23,x,16,9,0,0,x,0,0,x,39,x,x,x,x,12,23
E06000036,LA,867,Bracknell Forest,39,x,12,13,x,7,0,x,37,8,x,x,x,0,0,0,x,0,x,18,0,0,0,x,x,x
E06000040,LA,868,Windsor and Maidenhead,49,x,13,6,x,8,x,10,34,x,6,x,x,0,0,x,0,x,x,15,0,0,x,x,x,10
