New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2015,CLA_2015,CLA_stp2015,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E09000033,LA,213,Westminster,179,271,x,102,77,8,11,31,66,63,42,37,x,48,43,x,139,x,x,x,18,11,x,0,20,86,0,x,64,0,x,29,93,x,x,71,8,x,0,38,141,54,-87
E09000002,LA,301,Barking and Dagenham,457,715,0,235,222,19,68,98,177,95,257,48,35,87,x,x,341,x,21,35,x,40,x,0,72,166,0,55,157,0,7,27,270,0,8,158,0,21,0,189,268,119,-149
E09000003,LA,302,Barnet,302,478,0,182,120,8,33,41,122,98,146,52,12,53,23,16,206,10,x,0,72,x,7,0,34,134,0,x,112,0,x,7,137,13,x,144,x,x,0,121,181,105,-76
E09000004,LA,303,Bexley,275,424,33,159,116,17,34,56,111,57,187,25,x,51,x,x,201,24,x,17,19,x,8,0,37,101,0,x,101,0,x,16,190,8,x,71,x,x,0,134,141,204,63
E09000005,LA,304,Brent,326,578,x,189,137,13,22,54,126,111,93,53,51,116,x,x,245,x,10,0,59,x,6,0,35,142,0,x,133,0,x,48,165,x,x,133,11,10,0,139,187,193,6
E09000006,LA,305,Bromley,264,412,68,153,111,8,32,52,106,66,180,40,x,37,x,x,192,14,x,20,19,x,11,0,30,106,0,31,97,0,0,15,161,0,0,96,x,x,0,120,144,150,6
E09000008,LA,306,Croydon,803,1179,x,589,214,20,49,68,278,388,348,x,90,184,111,x,692,7,x,71,12,13,x,0,64,148,0,16,569,0,6,410,387,x,x,404,x,x,0,527,276,550,274
E09000009,LA,307,Ealing,355,559,10,198,157,8,24,69,149,105,106,60,66,115,8,0,261,10,x,11,56,x,6,0,23,190,0,x,118,x,x,24,130,x,7,183,29,x,0,132,223,142,-81
E09000010,LA,308,Enfield,358,532,0,203,155,15,40,52,122,129,159,36,x,112,32,x,254,11,7,52,25,x,x,0,36,127,0,28,158,x,x,52,136,x,0,180,30,x,0,178,180,209,29
E09000014,LA,309,Haringey,451,693,15,252,199,14,36,93,187,121,174,45,x,199,18,x,342,18,14,0,64,x,x,0,x,260,0,57,108,0,x,35,170,x,x,238,20,14,0,121,330,113,-217
E09000015,LA,310,Harrow,165,283,x,97,68,12,24,21,55,53,48,22,27,40,28,0,115,7,0,x,32,x,x,0,16,55,0,x,81,0,x,26,76,0,x,76,x,0,0,65,100,101,x
E09000016,LA,311,Havering,240,419,8,132,108,12,23,58,83,64,168,23,6,43,0,0,175,7,x,x,48,x,x,0,25,80,0,x,117,x,0,17,x,x,0,129,0,x,0,126,114,219,105
E09000017,LA,312,Hillingdon,334,580,6,203,131,10,29,45,111,139,147,28,68,69,x,x,213,10,x,60,43,x,x,0,x,91,0,23,196,0,x,91,147,8,0,172,x,x,0,182,152,148,x
E09000018,LA,313,Hounslow,297,467,x,165,132,10,24,34,114,115,164,38,32,43,x,x,212,6,x,x,70,x,x,0,22,136,0,x,125,x,x,31,155,x,x,122,10,x,0,134,163,168,x
E09000021,LA,314,Kingston upon Thames,117,173,x,75,42,7,9,21,47,33,73,16,x,18,x,x,85,x,0,18,x,x,x,0,12,41,0,x,52,0,x,18,54,x,x,48,x,0,0,38,79,25,-54
E09000024,LA,315,Merton,157,255,22,97,60,6,15,17,60,59,76,23,x,31,13,x,108,7,x,0,33,x,x,0,x,55,0,14,76,0,x,17,73,x,x,62,13,x,0,55,102,140,38
E09000025,LA,316,Newham,431,688,0,236,195,23,35,58,162,153,131,74,88,124,x,x,325,9,10,39,37,x,x,0,41,162,0,20,196,0,12,24,159,x,x,244,10,10,0,154,277,168,-109
E09000026,LA,317,Redbridge,217,328,0,129,88,8,21,40,71,77,81,51,26,53,6,0,168,8,x,6,24,x,x,0,x,65,0,26,111,0,x,24,92,x,x,104,9,x,0,78,139,299,160
E09000027,LA,318,Richmond upon Thames,96,149,7,51,45,x,x,9,41,38,59,20,x,7,x,0,57,x,x,x,30,0,x,0,x,32,0,x,51,0,0,19,41,x,0,35,x,x,0,23,73,31,-42
E09000029,LA,319,Sutton,228,332,x,118,110,8,31,41,78,70,155,33,10,19,11,0,174,x,x,20,9,17,x,0,43,67,0,x,94,0,x,12,x,x,0,131,x,x,0,108,120,96,-24
E09000031,LA,320,Waltham Forest,268,417,47,153,115,13,25,33,108,89,110,54,21,71,x,x,200,8,x,x,44,9,x,0,25,106,0,x,114,0,x,24,77,x,x,178,0,x,0,83,185,249,64
E08000025,LA,330,Birmingham,1989,2717,x,1022,967,121,303,434,720,411,1047,389,217,243,49,44,1424,96,119,6,297,22,6,19,282,903,x,263,529,x,x,9,839,41,18,852,101,119,19,1211,778,368,-410
E08000026,LA,331,Coventry,588,938,43,306,282,43,82,113,231,119,442,63,30,41,x,x,435,36,14,12,73,10,8,0,100,250,0,x,143,0,x,11,190,x,0,365,16,x,0,252,336,125,-211
E08000027,LA,332,Dudley,739,924,18,391,348,22,140,177,287,113,630,75,17,x,x,0,552,34,62,12,72,7,0,0,x,479,x,85,98,0,x,x,359,x,x,272,35,62,0,361,378,196,-182
E08000028,LA,333,Sandwell,540,709,x,304,236,30,78,122,221,89,360,90,45,x,x,x,415,25,37,20,24,x,x,0,x,344,0,51,97,0,x,x,301,x,x,153,38,37,0,258,282,309,27
E08000029,LA,334,Solihull,335,464,0,200,135,13,51,65,128,78,237,39,29,24,x,x,255,x,26,0,44,0,x,0,26,159,0,25,125,0,0,46,184,x,0,108,x,26,0,140,195,147,-48
E08000030,LA,335,Walsall,607,816,42,325,282,33,140,161,202,71,444,86,43,25,9,0,499,24,36,x,36,x,x,0,69,406,x,43,82,0,x,x,346,x,x,187,x,36,0,348,259,251,-8
E08000031,LA,336,Wolverhampton,778,1002,16,429,349,37,166,206,260,109,501,123,x,91,30,x,566,52,88,15,47,x,x,0,x,492,0,119,82,0,x,x,253,32,6,391,8,88,0,322,456,162,-294
E08000011,LA,340,Knowsley,305,432,7,162,143,17,52,70,111,55,286,x,0,x,0,x,208,6,38,x,24,18,x,x,73,164,0,20,42,x,x,x,148,9,x,99,x,38,x,141,164,132,-32
E08000012,LA,341,Liverpool,997,1370,52,504,493,50,170,238,390,149,809,79,14,51,6,38,734,30,126,x,90,x,0,0,245,475,0,48,229,0,0,10,434,x,x,393,x,126,0,588,409,224,-185
E08000013,LA,342,St. Helens,412,542,16,221,191,24,91,110,143,44,391,x,x,x,x,0,314,26,41,x,x,0,x,0,55,262,0,65,x,0,x,x,234,9,0,117,11,41,0,231,181,137,-44
E08000014,LA,343,Sefton,452,613,0,237,215,27,75,101,174,75,430,11,x,0,x,0,311,x,78,8,45,x,0,x,92,277,0,x,65,0,x,x,224,x,0,105,36,78,x,294,158,240,82
E08000015,LA,344,Wirral,676,871,31,375,301,24,115,165,263,109,635,29,x,x,x,x,514,23,79,13,39,x,x,0,91,469,0,x,73,0,x,0,496,x,x,90,x,79,0,560,116,173,57
E08000001,LA,350,Bolton,571,739,15,310,261,35,122,165,185,64,495,42,x,15,8,x,395,x,91,0,45,x,x,0,105,326,0,x,79,0,x,0,398,28,x,37,x,91,0,427,144,192,48
E08000002,LA,351,Bury,294,435,18,165,129,14,47,77,103,53,247,23,15,x,0,x,201,17,36,8,18,7,x,x,33,200,0,x,32,0,x,x,165,8,x,72,x,36,x,181,113,154,41
E08000003,LA,352,Manchester,1291,1846,9,719,572,44,208,298,493,248,799,219,86,153,14,20,977,55,109,39,8,93,10,0,158,860,0,115,150,x,x,18,464,0,6,675,37,109,0,510,781,225,-556
E08000004,LA,353,Oldham,390,559,x,204,186,31,78,102,132,47,284,41,42,x,x,0,271,25,53,x,33,x,x,0,91,220,0,x,39,x,0,x,254,x,x,60,12,53,0,240,150,168,18
E08000005,LA,354,Rochdale,527,696,48,290,237,35,115,117,182,78,429,39,27,12,20,0,383,39,52,12,34,x,x,x,73,336,0,80,x,0,x,x,294,x,x,135,27,52,x,318,209,206,x
E08000006,LA,355,Salford,587,794,34,336,251,26,126,134,205,96,490,36,x,24,31,x,412,20,78,x,65,x,x,0,71,405,0,36,75,0,0,x,382,13,x,105,x,78,0,365,222,110,-112
E08000007,LA,356,Stockport,291,434,x,164,127,15,60,59,102,55,236,29,12,x,x,x,200,x,34,x,39,x,0,0,59,139,0,32,61,0,0,0,191,x,x,51,x,34,0,213,78,245,167
E08000008,LA,357,Tameside,417,556,6,231,186,18,58,88,184,69,374,13,20,x,x,x,287,14,46,x,61,x,0,0,53,286,0,x,55,0,x,0,255,x,x,106,x,46,0,276,141,230,89
E08000009,LA,358,Trafford,334,427,25,181,153,6,56,82,135,55,268,33,x,25,0,x,241,6,44,9,10,16,8,0,28,211,0,x,83,0,x,0,224,7,x,53,x,44,0,227,107,164,57
E08000010,LA,359,Wigan,506,643,x,289,217,30,106,142,156,72,464,20,x,x,15,0,374,29,48,0,46,x,x,x,71,320,0,67,x,0,x,0,345,19,x,83,x,48,x,366,140,211,71
E08000016,LA,370,Barnsley,241,354,0,123,118,17,48,56,81,39,229,x,x,x,x,x,177,27,6,x,21,x,x,0,60,83,0,52,x,0,x,x,121,15,x,79,19,x,0,153,88,138,50
E08000017,LA,371,Doncaster,480,656,14,254,226,24,81,117,184,74,454,17,x,x,x,x,375,20,16,x,59,x,x,0,x,266,0,73,83,0,x,0,x,14,0,437,x,16,0,288,192,158,-34
E08000018,LA,372,Rotherham,409,561,36,233,176,18,62,80,163,86,350,36,x,x,15,0,293,26,13,x,50,13,x,0,63,230,0,54,62,0,0,x,229,x,x,152,x,13,0,225,184,119,-65
E08000019,LA,373,Sheffield,532,793,x,304,228,33,73,116,192,118,406,66,25,23,12,0,381,48,15,26,55,x,x,0,x,256,0,97,116,0,x,11,316,x,x,149,35,15,0,362,170,112,-58
E08000032,LA,380,Bradford,878,1168,9,460,418,45,151,199,340,143,611,144,88,15,x,x,593,58,76,32,105,x,x,0,124,529,x,92,127,0,x,6,662,27,x,90,x,76,0,668,210,192,-18
E08000033,LA,381,Calderdale,321,413,0,153,168,11,54,89,125,42,276,28,x,x,0,10,258,x,29,x,16,0,0,0,45,203,0,44,29,0,0,0,206,x,0,76,x,29,0,211,110,118,8
E08000034,LA,382,Kirklees,622,853,27,331,291,40,81,156,232,113,466,91,50,x,x,0,427,27,69,x,81,9,x,0,76,400,0,x,95,0,x,x,349,x,x,160,25,69,0,355,267,134,-133
E08000035,LA,383,Leeds,1245,1721,67,690,555,77,213,301,468,186,990,155,30,51,11,8,991,61,84,26,70,x,x,0,x,817,x,147,161,0,x,13,819,x,x,326,x,84,0,911,334,226,-108
E08000036,LA,384,Wakefield,497,695,113,267,230,35,113,122,154,73,459,16,11,x,x,x,316,48,64,13,47,x,x,0,61,270,0,84,82,0,0,13,289,7,0,116,21,64,0,313,184,130,-54
E08000020,LA,390,Gateshead,340,550,29,177,163,20,46,72,130,72,305,10,x,14,x,0,296,12,x,x,19,0,x,x,x,188,0,23,113,x,0,0,293,x,0,39,x,x,x,208,132,125,-7
E08000021,LA,391,Newcastle upon Tyne,505,750,11,275,230,27,65,88,207,118,424,x,22,17,26,x,383,37,8,12,51,6,8,0,x,239,0,59,163,0,x,x,363,0,0,134,0,8,0,194,311,121,-190
E08000022,LA,392,North Tyneside,304,440,81,186,118,17,36,67,118,66,289,x,0,x,x,x,265,x,9,x,19,x,x,0,x,155,0,26,106,0,x,0,256,x,0,26,12,x,0,205,99,139,40
E08000023,LA,393,South Tyneside,300,431,x,150,150,15,47,66,119,53,258,8,x,14,x,13,247,8,x,x,27,8,x,x,31,142,0,x,98,0,x,0,186,10,x,91,6,x,x,180,120,69,-51
E08000024,LA,394,Sunderland,570,774,8,313,257,49,101,125,196,99,549,8,7,x,x,0,452,27,x,12,65,x,0,0,x,151,0,84,294,0,x,0,403,13,14,46,83,11,0,361,209,165,-44
E06000022,LA,800,Bath and North East Somerset,131,200,23,76,55,x,x,22,60,37,110,12,0,x,x,x,111,x,x,x,x,x,6,0,x,67,0,x,54,0,0,0,65,x,0,60,x,x,0,50,81,65,-16
E06000023,LA,801,"Bristol, City of",699,991,0,352,347,34,84,112,286,183,505,96,x,63,16,x,562,37,x,0,76,10,x,0,x,362,0,60,216,0,x,17,458,x,x,190,33,9,0,420,279,92,-187
E06000024,LA,802,North Somerset,232,334,0,110,122,8,30,47,89,58,206,12,x,7,x,x,187,13,6,x,19,x,x,0,44,94,0,24,70,0,0,7,143,12,x,64,x,6,0,148,84,69,-15
