New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2015,CLA_2015,CLA_stp2015,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E06000017,LA,857,Rutland,33,47,0,17,16,x,8,8,9,x,x,x,0,0,0,0,25,x,0,0,0,x,0,0,x,15,0,8,x,0,0,0,x,0,0,x,0,0,0,13,20,11,-9
E10000028,LA,860,Staffordshire,931,1287,23,509,422,42,117,221,370,181,832,58,35,x,x,x,709,35,44,35,99,0,9,0,105,538,0,x,206,x,0,20,475,19,x,387,x,44,0,697,234,812,578
E06000021,LA,861,Stoke-on-Trent,610,815,28,323,287,51,153,151,169,86,518,51,8,16,7,10,419,41,68,27,39,x,6,x,111,309,0,89,101,0,0,x,342,6,x,188,0,68,x,331,279,113,-166
E06000054,LA,865,Wiltshire,404,585,31,213,191,28,43,83,172,78,358,17,x,8,13,x,318,16,x,11,36,x,11,0,33,196,0,30,145,0,0,6,214,x,x,158,19,x,0,284,120,162,42
E06000030,LA,866,Swindon,252,373,x,130,122,9,32,47,90,74,223,11,9,x,x,x,205,x,6,13,21,x,x,0,34,68,0,x,132,x,x,x,174,x,0,71,0,x,0,191,61,60,x
E06000036,LA,867,Bracknell Forest,104,157,x,54,50,x,x,16,47,24,88,x,x,x,x,0,80,6,x,x,12,0,x,0,9,35,0,19,41,0,0,x,61,x,0,33,x,x,0,59,45,66,21
E06000040,LA,868,Windsor and Maidenhead,99,145,0,57,42,x,x,19,41,26,74,10,7,8,0,0,67,10,x,0,13,x,x,0,7,44,0,15,33,0,0,9,42,x,0,41,8,x,0,29,70,53,-17
E06000037,LA,869,West Berkshire,168,236,x,94,74,7,20,30,69,42,144,12,x,x,x,0,146,x,x,x,8,x,x,0,9,62,0,20,77,0,0,10,115,x,0,x,x,x,0,97,71,77,6
E06000038,LA,870,Reading,206,287,x,104,102,15,25,50,71,45,148,39,x,x,x,0,150,18,x,11,11,10,x,0,x,88,0,43,45,0,x,x,82,12,x,101,x,x,0,67,139,36,-103
E06000039,LA,871,Slough,197,305,x,99,98,15,29,42,69,42,108,37,31,13,8,0,155,x,0,0,25,8,x,0,34,61,0,x,73,0,x,10,116,x,x,74,x,0,0,53,144,44,-100
E06000041,LA,872,Wokingham,74,112,0,45,29,x,x,8,43,16,61,x,6,0,x,0,56,x,x,x,x,x,6,0,x,41,0,x,23,x,0,x,x,0,x,36,0,x,0,23,51,76,25
E10000003,LA,873,Cambridgeshire,532,780,20,289,243,29,48,111,235,109,453,37,15,12,x,x,417,24,x,10,71,x,0,0,80,216,0,65,171,0,0,15,190,0,x,260,75,x,0,310,222,228,6
E06000031,LA,874,Peterborough,343,508,13,188,155,24,41,66,143,69,282,26,x,24,x,0,277,10,11,22,13,x,x,0,x,152,x,68,95,0,x,12,186,x,0,142,x,x,0,153,190,97,-93
E06000006,LA,876,Halton,229,328,10,118,111,12,47,53,82,35,222,x,x,0,x,0,145,12,22,10,29,x,0,x,46,127,0,18,38,0,0,x,137,x,0,56,x,22,7,153,76,130,54
E06000007,LA,877,Warrington,300,398,0,168,132,15,50,73,116,46,283,10,x,0,x,x,201,10,32,9,30,7,11,0,59,160,0,x,61,0,x,x,162,11,0,88,7,32,0,182,118,138,20
E10000008,LA,878,Devon,702,1029,42,408,294,37,84,103,285,193,679,15,x,x,x,0,514,34,13,12,96,18,15,0,108,240,0,54,300,0,0,0,475,x,x,190,14,13,0,576,126,292,166
E06000026,LA,879,Plymouth,395,592,20,211,184,18,64,71,138,104,373,11,x,x,x,x,280,30,14,26,31,x,x,0,62,177,0,60,96,0,0,x,237,21,28,86,9,14,0,266,129,72,-57
E06000027,LA,880,Torbay,305,425,28,153,152,18,41,71,116,59,287,x,0,x,0,x,231,19,12,x,36,x,x,0,22,175,0,38,70,0,0,0,148,12,0,128,x,x,0,159,146,55,-91
E10000012,LA,881,Essex,1027,1528,36,602,425,37,74,163,431,322,851,64,21,49,34,8,758,55,19,84,88,15,8,0,71,533,0,94,320,0,9,88,628,x,10,361,x,19,0,765,262,561,299
E06000033,LA,882,Southend-on-Sea,228,330,0,121,107,18,30,30,90,60,203,8,x,x,7,x,179,18,x,0,25,x,0,0,x,122,0,27,57,0,x,x,142,x,x,60,15,x,0,110,118,101,-17
E06000034,LA,883,Thurrock,279,406,0,175,104,11,24,47,117,80,196,21,18,29,x,x,192,9,x,26,39,x,x,0,21,146,0,x,92,0,x,34,97,x,x,147,24,x,0,81,198,88,-110
E06000019,LA,884,Herefordshire,271,358,x,132,139,15,48,62,97,49,256,x,0,x,x,x,225,7,x,9,15,x,6,0,23,124,0,26,98,0,0,x,220,x,x,45,0,x,0,203,68,102,34
E10000034,LA,885,Worcestershire,687,949,x,387,300,41,90,139,263,154,616,48,6,11,6,0,496,27,37,x,101,x,0,0,62,331,0,x,234,0,x,12,282,x,x,301,49,37,0,537,150,399,249
E10000016,LA,886,Kent,1870,2718,x,1166,704,74,130,322,705,639,1403,85,16,105,261,0,1380,72,31,197,162,x,x,0,115,798,0,157,794,0,6,367,1292,13,7,500,27,31,0,1639,231,1131,900
E06000035,LA,887,Medway,425,614,69,236,189,32,74,98,152,69,375,22,x,15,x,0,342,21,x,x,55,0,x,0,45,122,0,52,199,7,0,x,257,x,0,138,16,x,0,233,192,392,200
E10000017,LA,888,Lancashire,1609,2179,104,862,747,97,320,364,585,243,1398,86,68,9,18,30,1109,81,221,x,130,36,x,0,268,947,0,173,213,0,8,x,736,45,x,576,x,221,0,1276,333,728,395
E06000008,LA,889,Blackburn with Darwen,316,434,0,191,125,18,60,81,121,36,265,10,29,x,x,0,217,28,30,x,23,x,x,x,53,186,0,42,x,0,x,x,181,36,x,51,10,30,x,171,145,100,-45
E06000009,LA,890,Blackpool,454,631,34,250,204,35,89,105,143,82,421,20,x,x,x,x,325,42,31,x,36,x,0,0,72,229,0,82,x,0,x,0,265,22,0,123,13,31,0,250,204,90,-114
E10000024,LA,891,Nottinghamshire,841,1214,23,444,397,41,112,170,310,208,731,70,x,x,27,0,632,58,x,56,76,8,x,0,64,370,0,113,288,0,6,32,466,x,11,356,x,x,0,531,310,470,160
E06000018,LA,892,Nottingham,578,853,81,307,271,29,79,132,208,130,395,108,x,39,21,x,413,37,x,8,99,11,0,x,x,239,0,113,149,0,x,7,222,20,x,297,23,7,x,214,364,139,-225
E06000051,LA,893,Shropshire,309,398,x,169,140,15,50,71,109,64,291,9,x,x,x,0,216,15,15,20,30,x,x,0,27,146,0,23,113,0,0,x,202,x,x,82,x,15,0,227,82,279,197
E06000020,LA,894,Telford and Wrekin,293,415,x,163,130,26,45,65,115,42,259,24,x,x,x,x,220,17,16,7,27,x,x,0,30,167,0,21,75,0,0,0,169,x,0,106,x,x,0,188,105,110,x
E06000049,LA,895,Cheshire East,357,475,38,179,178,17,32,85,164,59,335,10,x,x,x,x,272,8,26,x,39,x,6,0,52,226,0,12,67,0,0,x,219,x,0,106,x,26,0,222,135,156,21
E06000050,LA,896,Cheshire West and Chester,498,636,x,276,222,20,79,117,193,89,476,13,x,x,0,x,329,27,81,21,25,0,15,0,92,298,0,44,64,0,0,x,236,7,0,174,0,81,0,282,216,114,-102
E06000052,LA,908,Cornwall,438,676,144,242,196,29,43,65,196,105,416,14,x,x,x,0,356,12,22,x,26,x,10,x,43,247,0,46,102,0,0,0,356,x,6,45,x,22,x,372,66,95,29
E10000006,LA,909,Cumbria,681,882,18,388,293,43,146,180,195,117,662,x,x,0,0,0,541,50,27,x,51,x,x,0,x,348,0,145,94,x,x,0,380,x,x,210,49,27,0,489,192,109,-83
E10000013,LA,916,Gloucestershire,522,761,58,293,229,26,76,121,179,120,475,32,x,9,x,0,430,21,18,11,31,x,x,x,60,189,0,x,222,0,x,x,317,15,x,153,13,18,x,465,57,195,138
E10000015,LA,919,Hertfordshire,1004,1487,x,553,451,51,131,195,343,284,770,113,46,55,20,0,782,42,10,56,88,8,18,0,x,434,0,117,332,x,x,46,651,12,x,323,x,10,0,673,331,222,-109
E06000046,LA,921,Isle of Wight,204,271,14,110,94,9,33,32,80,50,195,x,0,x,0,x,141,9,23,x,23,x,x,0,17,104,0,13,70,0,0,0,115,0,0,63,x,x,0,179,25,54,29
E10000019,LA,925,Lincolnshire,631,947,104,357,274,51,94,134,228,124,587,21,x,x,13,0,484,x,37,33,49,x,x,0,73,287,0,x,229,0,x,23,526,0,x,65,x,x,0,550,81,366,285
E10000020,LA,926,Norfolk,1070,1558,27,575,495,56,125,205,449,235,978,37,15,27,x,x,821,57,27,x,138,x,16,0,x,583,0,141,285,0,x,8,465,x,x,478,86,27,0,864,206,175,-31
E10000021,LA,928,Northamptonshire,936,1344,95,561,375,58,138,178,333,229,733,54,53,66,24,6,660,50,24,68,112,x,14,x,151,273,x,x,393,0,x,100,424,0,x,482,0,24,x,724,212,269,57
E06000048,LA,929,Northumberland,372,469,10,207,165,23,85,76,121,67,364,x,x,0,x,0,300,29,8,x,21,x,6,x,x,139,0,47,154,0,x,0,236,26,x,82,14,8,x,271,101,178,77
E10000025,LA,931,Oxfordshire,514,748,44,291,223,28,67,76,205,138,394,57,15,28,13,7,344,30,8,41,83,x,x,0,x,188,0,66,197,x,0,42,283,8,x,194,20,x,0,367,147,87,-60
E10000027,LA,933,Somerset,490,765,12,268,222,31,73,84,200,102,461,16,x,x,x,x,374,25,11,8,37,15,20,0,47,203,0,54,186,0,0,x,277,13,x,167,21,x,0,368,122,175,53
E10000029,LA,935,Suffolk,730,1039,8,453,277,41,92,127,323,147,631,48,7,20,18,6,551,40,25,28,68,12,6,0,x,387,0,63,216,0,x,25,465,11,x,216,x,25,0,589,141,211,70
E10000030,LA,936,Surrey,779,1133,x,420,359,31,93,115,319,221,587,54,35,72,x,x,599,42,x,x,76,20,22,0,x,304,0,74,350,0,x,102,456,x,x,277,31,x,0,395,384,292,-92
E10000031,LA,937,Warwickshire,690,994,x,370,320,39,86,130,271,164,581,41,18,23,27,0,526,47,32,43,x,19,10,x,x,314,0,93,221,x,0,42,468,10,x,167,x,32,x,410,280,314,34
E10000032,LA,938,West Sussex,639,942,21,365,274,40,72,92,250,185,505,68,19,25,x,x,466,30,8,22,107,x,x,0,71,229,0,x,270,x,x,43,428,0,x,182,20,x,0,542,97,414,317
