New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA_ceaDied,CLA_ceataken,CLA_ceaParPlan,CLA_ceaParNPlan,CLA_ceaNoPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_ceaRemEnd,CLA_ceaAgeAssmt,CLA_ceaAbroad,CLA_cea_OthRea
E09000015,LA,310,Harrow,122,72,50,11,24,18,22,47,x,x,x,0,37,17,x,0,x,8,23,x,x,x,0,x,x,9
E09000016,LA,311,Havering,193,99,94,15,36,36,48,58,10,0,0,0,114,x,0,x,6,12,33,x,x,x,x,0,0,x
E09000017,LA,312,Hillingdon,256,148,108,x,x,33,43,145,11,0,0,x,64,15,15,x,x,17,60,26,x,x,x,x,x,22
E09000018,LA,313,Hounslow,177,95,82,12,40,15,31,79,14,8,0,0,66,6,0,x,8,6,51,0,x,9,0,0,0,x
E09000021,LA,314,Kingston upon Thames,58,36,22,x,12,8,x,31,6,6,0,x,7,x,0,0,x,x,7,0,x,0,0,0,0,22
E09000024,LA,315,Merton,105,65,40,x,19,x,21,52,6,x,x,0,32,7,x,x,x,x,37,0,x,x,x,x,0,7
E09000025,LA,316,Newham,271,142,129,22,57,25,55,112,15,8,0,x,97,7,0,x,9,18,0,0,0,7,x,80,x,24
E09000026,LA,317,Redbridge,118,67,51,x,26,x,21,49,7,x,0,x,43,x,0,0,10,x,10,x,0,x,x,x,0,29
E09000027,LA,318,Richmond upon Thames,57,28,29,x,12,x,12,22,7,x,0,0,16,x,x,x,x,x,x,x,x,x,0,0,0,12
E09000029,LA,319,Sutton,109,60,49,6,20,21,30,32,x,x,x,x,35,0,11,x,x,17,9,8,x,0,0,x,0,11
E09000031,LA,320,Waltham Forest,159,83,76,10,28,21,31,69,16,x,0,0,50,8,7,x,x,14,x,0,0,x,x,x,0,55
E08000025,LA,330,Birmingham,764,383,381,61,208,102,128,265,18,91,0,x,315,29,x,13,17,42,30,21,24,13,x,12,0,132
E08000026,LA,331,Coventry,359,179,180,36,109,72,57,85,34,36,0,x,85,19,x,43,9,23,18,x,x,x,0,0,0,79
E08000027,LA,332,Dudley,196,103,93,10,60,32,30,64,11,26,0,0,43,14,x,x,19,x,x,x,x,x,x,0,0,58
E08000028,LA,333,Sandwell,183,107,76,6,61,33,24,59,28,8,0,x,53,0,x,7,21,x,23,12,x,x,0,0,0,11
E08000029,LA,334,Solihull,135,72,63,10,24,21,24,56,0,17,0,0,42,x,13,x,x,x,37,0,0,0,x,0,0,12
E08000030,LA,335,Walsall,216,116,100,14,74,36,39,53,17,21,x,x,55,x,15,13,26,x,21,11,x,6,x,0,0,15
E08000031,LA,336,Wolverhampton,234,132,102,17,76,31,38,72,27,25,0,0,114,0,0,0,6,7,39,x,x,x,0,0,0,x
E08000011,LA,340,Knowsley,130,68,62,11,35,25,25,34,9,x,0,0,24,x,x,8,10,18,0,x,x,x,0,0,0,46
E08000012,LA,341,Liverpool,381,204,177,29,116,65,56,115,54,0,x,x,74,9,x,8,51,43,0,0,0,15,x,0,0,118
E08000013,LA,342,St. Helens,135,69,66,12,50,28,21,24,0,30,0,0,45,x,x,6,22,8,14,x,x,0,0,0,0,0
E08000014,LA,343,Sefton,167,90,77,12,34,35,32,54,18,x,0,x,39,6,0,13,12,6,7,x,x,x,0,0,0,54
E08000015,LA,344,Wirral,204,102,102,13,39,35,39,78,12,10,0,6,62,x,0,0,26,8,18,14,x,x,0,0,0,42
E08000001,LA,350,Bolton,175,88,87,17,68,23,18,49,41,13,x,6,35,x,0,x,6,13,9,10,x,x,0,x,0,31
E08000002,LA,351,Bury,145,75,70,13,38,23,29,42,14,15,x,x,35,17,x,x,x,6,9,x,x,x,0,0,0,31
E08000003,LA,352,Manchester,566,320,246,34,130,90,101,211,x,65,x,x,107,134,11,17,18,16,44,22,x,12,x,0,x,104
E08000004,LA,353,Oldham,180,85,95,12,59,28,36,45,21,12,0,0,62,15,0,7,8,9,10,x,x,x,0,0,0,28
E08000005,LA,354,Rochdale,177,104,73,8,52,26,38,53,19,32,0,x,37,12,0,x,x,12,14,0,x,x,0,0,0,34
E08000006,LA,355,Salford,210,115,95,6,66,38,36,64,30,13,0,x,62,x,7,8,26,0,12,12,x,7,7,0,0,13
E08000007,LA,356,Stockport,154,80,74,9,36,17,26,66,13,19,x,0,40,x,0,x,12,x,7,6,x,0,0,0,0,45
E08000008,LA,357,Tameside,152,81,71,6,45,15,28,58,6,20,x,0,23,16,0,x,x,6,16,7,x,x,0,0,0,44
