geog_l,geog_c,geog_n,StartTotal_2010,StartPlace_Q1_2010,StartPlace_Q2_2010,StartPlace_A3_2010,StartPlace_A4_2010,StartPlace_A5_2010,StartPlace_A6_2010,StartPlace_P1_2010,StartPlace_P2_2010,StartPlace_P3_2010,StartPlace_K1_2010,StartPlace_K2_2010,StartPlace_H5_2010,StartPlace_R1_2010,StartPlace_R2_2010,StartPlace_R3_2010,StartPlace_R5_2010,StartPlace_S1_2010,StartPlace_M1_2010,StartPlace_M2_2010,StartPlace_M3_2010,StartPlace_Z1_2010
LA,342,St Helens,110,22,62,0,x,0,x,9,0,0,x,13,0,0,0,0,0,0,0,0,0,0
LA,343,Sefton,140,22,69,0,0,0,0,10,0,0,0,36,x,0,0,0,0,x,0,0,x,0
LA,344,Wirral,162,19,114,0,0,0,0,16,x,0,x,8,0,0,0,0,0,x,0,0,0,0
LA,350,Bolton,186,22,116,0,0,0,0,26,x,0,x,16,x,0,0,0,0,x,0,0,0,0
LA,351,Bury,125,21,79,0,0,0,0,x,7,0,0,6,0,x,0,0,0,x,0,0,0,x
LA,352,Manchester,519,113,294,0,x,0,x,17,8,0,x,13,0,57,x,0,0,x,0,0,0,8
LA,353,Oldham,135,14,95,0,0,0,x,x,0,0,16,x,0,0,0,0,0,x,0,0,0,0
LA,354,Rochdale,152,23,106,0,0,0,0,9,0,0,x,8,0,x,0,x,x,0,0,0,0,0
LA,355,Salford,171,x,107,0,0,0,0,23,x,0,0,26,x,0,x,0,0,0,0,0,0,x
LA,356,Stockport,91,10,55,0,0,0,x,x,x,0,0,15,x,0,x,0,0,x,0,x,x,0
LA,357,Tameside,127,20,77,0,0,0,0,11,x,0,x,14,0,0,0,0,0,0,0,0,0,0
LA,358,Trafford,94,14,36,0,0,0,0,7,11,0,0,18,x,x,0,x,0,x,0,0,0,x
LA,359,Wigan,195,37,106,0,0,0,0,18,0,0,0,32,x,0,x,0,0,0,0,0,0,0
LA,370,Barnsley,84,x,60,0,0,0,x,x,8,0,x,x,0,0,0,0,0,x,0,0,0,0
