geog_l,geog_c,geog_n,MarTotal_2010,Mid2009Pop0-17,MarPlace_Q1_2010,MarPlace_Q2_2010,MarPlace_A3_2010,MarPlace_A4_2010,MarPlace_A5_2010,MarPlace_A6_2010,MarPlace_P1_2010,MarPlace_P2_2010,MarPlace_P3_2010,MarPlace_K1_2010,MarPlace_K2_2010,MarPlace_H5_2010,MarPlace_R1_2010,MarPlace_R2_2010,MarPlace_R3_2010,MarPlace_R5_2010,MarPlace_S1_2010,MarPlace_M1_2010,MarPlace_M2_2010,MarPlace_M3_2010,MarPlace_Z1_2010
LA,336,Wolverhampton,402,52600,0,x,x,16,x,0,36,0,0,0,26,8,0,22,286,0,x,0,x,0,x
LA,340,Knowsley,296,34200,0,x,0,8,0,0,13,0,0,0,46,x,0,39,165,7,x,0,x,x,6
LA,341,Liverpool,911,85500,0,x,x,17,25,x,37,0,0,x,122,13,0,154,519,6,x,x,6,x,0
LA,342,St Helens,355,38300,0,x,x,x,0,x,41,0,0,0,55,x,0,84,162,0,0,0,0,x,0
LA,343,Sefton,375,55700,0,0,x,9,x,0,56,0,0,0,54,x,0,63,178,0,0,0,x,x,0
LA,344,Wirral,629,67200,x,9,x,x,x,6,39,0,0,0,98,13,0,108,336,x,0,0,x,8,0
LA,350,Bolton,481,62400,0,0,0,18,x,0,29,0,0,x,80,8,0,67,262,0,0,0,x,11,0
LA,351,Bury,290,42100,0,x,x,9,x,0,9,0,0,0,40,11,0,55,150,x,0,0,0,7,x
LA,352,Manchester,1426,95800,x,11,x,17,x,x,88,0,0,0,120,38,x,273,728,119,x,0,x,9,12
LA,353,Oldham,349,54800,0,x,x,13,x,21,24,0,0,0,24,x,0,47,207,0,0,0,x,x,0
LA,354,Rochdale,436,49300,0,x,x,17,x,x,18,0,0,0,37,10,0,96,241,x,0,x,x,x,0
LA,355,Salford,497,46700,0,0,x,16,14,x,66,0,0,0,63,17,0,71,233,0,0,0,x,6,x
