Geog_lev,Geog_code,Geog_name,Overall_1,Infogath_1,needsanalysis_1,procedure_1,protocol_1,needassess_1,Overall_2,Infogath_2,needsanalysis_2,procedure_2,protocol_2,needassess_2,Overall_3,Infogath_3,needsanalysis_3,procedure_3,protocol_3,needassess_3,Overall_4,Infogath_4,needsanalysis_4,procedure_4,protocol_4,needassess_4,Overall_5,Infogath_5,needsanalysis_5,procedure_5,protocol_5,needassess_5,Overall_6,Infogath_6,needsanalysis_6,procedure_6,protocol_6,needassess_6,Overall_7,Infogath_7,needsanalysis_7,procedure_7,protocol_7,needassess_7
LA,882,Southend-on-Sea,8,1,1,1,3,2,10,1,2,2,3,2,10,1,2,2,3,2,10,1,2,2,3,2,8,1,2,2,2,1,12,2,2,3,2,3,14,2,3,3,3,3
LA,883,Thurrock,-,-,-,-,-,-,5,0,0,2,3,0,8,1,1,2,3,1,8,1,1,2,3,1,9,1,3,2,2,1,11,1,3,2,2,3,8,1,1,2,3,1
LA,919,Hertfordshire,-,-,-,-,-,-,5,1,1,1,1,1,5,1,1,1,1,1,6,1,2,1,1,1,6,1,2,1,1,1,9,2,2,1,3,1,10,2,2,2,3,1
LA,926,Norfolk,6,1,1,1,2,1,11,2,3,2,3,1,11,2,3,2,3,1,8,1,1,2,3,1,6,1,0,2,2,1,8,1,1,2,3,1,-,-,-,-,-,-
LA,935,Suffolk,10,2,3,2,2,1,10,2,3,2,2,1,10,2,3,2,2,1,10,2,3,2,2,1,10,2,3,2,2,1,10,2,3,2,2,1,10,2,3,2,2,1
LA,201,City of London,-,-,-,-,-,-,-,-,-,-,-,-,15,3,3,3,3,3,15,3,3,3,3,3,-,-,-,-,-,-,15,3,3,3,3,3,15,3,3,3,3,3
LA,202,Camden,14,3,2,3,3,3,14,3,2,3,3,3,14,3,2,3,3,3,14,3,2,3,3,3,14,3,2,3,3,3,14,3,2,3,3,3,14,3,2,3,3,3
LA,203,Greenwich,-,-,-,-,-,-,7,1,1,2,2,1,7,1,1,2,2,1,7,1,1,2,2,1,7,1,1,2,2,1,9,2,2,1,2,2,10,2,2,1,3,2
LA,204,Hackney,-,-,-,-,-,-,-,-,-,-,-,-,9,0,1,3,2,3,9,0,1,3,2,3,9,0,1,3,2,3,13,2,3,3,2,3,13,2,3,3,2,3
LA,205,Hammersmith and Fulham,6,1,2,1,1,1,6,1,2,1,1,1,9,2,1,3,1,2,10,2,2,3,1,2,11,2,2,3,2,2,11,2,3,2,2,2,11,2,3,2,2,2
LA,206,Islington,9,1,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,11,2,2,2,3,2,13,2,3,2,3,3,13,2,3,2,3,3,13,2,3,2,3,3
LA,207,Kensington and Chelsea,8,1,2,2,2,1,8,1,2,2,2,1,11,2,2,3,2,2,11,2,2,3,2,2,8,1,1,2,2,2,8,1,1,2,2,2,10,2,1,3,2,2
LA,208,Lambeth,11,2,2,2,3,2,11,2,2,2,3,2,11,2,2,2,3,2,11,2,2,2,3,2,11,2,2,2,3,2,11,2,2,2,3,2,11,2,2,2,3,2
LA,209,Lewisham,5,1,1,1,1,1,8,2,2,1,1,2,9,2,2,1,2,2,10,2,2,1,3,2,11,2,2,2,3,2,12,2,2,2,3,3,13,3,2,2,3,3
LA,210,Southwark,4,1,1,1,0,1,7,1,2,2,1,1,7,1,2,2,1,1,8,2,2,2,1,1,10,2,3,2,2,1,10,2,3,2,2,1,-,-,-,-,-,-
LA,211,Tower Hamlets,6,1,1,1,2,1,6,1,1,1,2,1,7,1,1,1,3,1,8,1,1,2,3,1,9,2,1,2,3,1,9,2,1,2,3,1,9,2,1,2,3,1
LA,212,Wandsworth,-,-,-,-,-,-,5,1,1,0,2,1,6,2,1,0,2,1,8,2,2,1,2,1,10,2,2,2,2,2,11,2,2,3,2,2,11,2,2,3,2,2
LA,213,Westminster,9,2,2,2,1,2,9,2,2,2,1,2,11,2,2,3,2,2,11,2,2,3,2,2,11,2,2,3,2,2,11,2,2,3,2,2,11,2,2,3,2,2
LA,301,Barking and Dagenham,2,1,0,0,1,0,4,1,1,0,1,1,7,1,1,2,2,1,9,2,2,2,2,1,-,-,-,-,-,-,11,2,1,3,3,2,12,2,2,3,3,2
LA,302,Barnet,8,2,2,2,1,1,8,2,2,2,1,1,8,2,2,2,1,1,9,2,3,2,1,1,10,2,3,2,2,1,10,2,3,2,2,1,10,2,3,2,2,1
LA,303,Bexley,-,-,-,-,-,-,6,1,1,1,2,1,7,1,1,1,3,1,10,2,2,2,3,1,11,2,3,2,3,1,13,3,3,2,3,2,13,3,3,2,3,2
LA,304,Brent,-,-,-,-,-,-,6,1,1,1,2,1,6,1,1,1,2,1,7,1,2,1,2,1,7,1,2,1,2,1,12,2,3,2,3,2,12,2,3,2,3,2
LA,305,Bromley,7,1,0,2,2,2,13,3,3,3,2,2,8,1,1,2,2,2,8,1,1,2,2,2,8,1,1,2,2,2,10,2,2,3,2,1,12,3,3,3,2,1
LA,306,Croydon,11,1,1,3,3,3,11,1,1,3,3,3,11,1,1,3,3,3,11,1,1,3,3,3,12,1,2,3,3,3,9,1,2,2,2,2,9,1,2,2,2,2
LA,307,Ealing,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,12,3,2,3,2,2,12,3,2,3,2,2,12,3,2,3,2,2
LA,308,Enfield,5,1,1,1,1,1,5,1,1,1,1,1,8,2,2,1,1,2,12,2,3,2,2,3,15,3,3,3,3,3,15,3,3,3,3,3,15,3,3,3,3,3
LA,309,Haringey,-,-,-,-,-,-,5,1,1,1,1,1,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,11,2,3,2,2,2,11,2,3,2,2,2
LA,310,Harrow,-,-,-,-,-,-,8,2,2,2,1,1,8,2,2,2,1,1,8,2,2,2,1,1,8,2,2,2,1,1,11,3,3,2,2,1,-,-,-,-,-,-
LA,311,Havering,9,3,2,1,2,1,9,3,2,1,2,1,12,3,3,2,2,2,12,3,3,2,2,2,12,3,3,2,2,2,12,3,3,2,2,2,-,-,-,-,-,-
LA,312,Hillingdon,10,1,3,2,2,2,10,1,3,2,2,2,11,2,3,2,2,2,11,2,3,2,2,2,13,2,3,3,3,2,13,2,3,3,3,2,-,-,-,-,-,-
LA,313,Hounslow,-,-,-,-,-,-,5,1,1,1,1,1,5,1,1,1,1,1,7,1,1,2,2,1,8,2,1,2,2,1,9,2,2,2,2,1,9,2,2,2,2,1
LA,314,Kingston upon Thames,9,2,1,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,12,2,2,3,3,2,12,2,2,3,3,2,12,2,2,3,3,2,-,-,-,-,-,-
LA,315,Merton,-,-,-,-,-,-,12,2,3,3,1,3,12,2,3,3,1,3,12,2,3,3,1,3,12,2,3,3,1,3,12,2,3,3,1,3,13,2,3,3,2,3
LA,316,Newham,-,-,-,-,-,-,5,1,1,1,1,1,7,1,1,2,2,1,8,1,2,2,2,1,8,1,2,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-
LA,317,Redbridge,5,1,1,1,1,1,5,1,1,1,1,1,8,1,1,2,2,2,9,2,1,2,2,2,9,2,1,2,2,2,12,2,2,2,3,3,14,3,3,2,3,3
LA,318,Richmond upon Thames,9,2,1,2,2,2,9,2,1,2,2,2,11,2,2,2,3,2,11,2,2,2,3,2,11,2,2,2,3,2,13,3,3,2,3,2,13,3,3,2,3,2
LA,319,Sutton,-,-,-,-,-,-,8,2,1,1,2,2,8,2,1,1,2,2,8,2,1,1,2,2,9,2,1,1,3,2,10,2,1,1,3,3,-,-,-,-,-,-
LA,320,Waltham Forest,-,-,-,-,-,-,-,-,-,-,-,-,5,1,1,1,1,1,5,1,1,1,1,1,8,2,1,1,2,2,8,2,1,1,2,2,-,-,-,-,-,-
LA,390,Gateshead,8,2,2,1,2,1,9,2,3,1,2,1,10,2,3,1,2,2,10,2,3,1,2,2,12,2,3,2,3,2,12,2,3,2,3,2,12,2,3,2,3,2
LA,391,Newcastle upon Tyne,8,2,2,1,2,1,8,2,2,1,2,1,10,3,3,1,2,1,12,3,3,2,3,1,14,3,3,2,3,3,14,3,3,2,3,3,13,3,3,1,3,3
LA,392,North Tyneside,11,2,3,3,2,1,11,2,3,3,2,1,12,3,3,3,2,1,12,3,3,3,2,1,12,3,3,3,2,1,12,3,3,3,2,1,12,3,3,3,2,1
LA,393,South Tyneside,5,1,1,1,1,1,8,2,2,1,2,1,9,2,2,2,2,1,11,3,2,2,3,1,11,3,2,2,3,1,11,3,2,2,3,1,11,3,2,2,3,1
LA,394,Sunderland,5,1,1,1,1,1,7,2,2,1,1,1,8,2,2,2,1,1,9,2,2,2,2,1,12,3,3,2,2,2,12,3,3,2,2,2,12,3,3,2,2,2
LA,805,Hartlepool,3,1,1,1,0,0,5,1,1,1,1,1,5,1,1,1,1,1,10,2,3,1,3,1,13,3,3,3,3,1,13,3,3,3,3,1,-,-,-,-,-,-
LA,806,Middlesbrough,11,2,2,3,3,1,11,2,2,3,3,1,13,2,3,3,3,2,13,2,3,3,3,2,13,2,3,3,3,2,13,2,3,3,3,2,13,2,3,3,3,2
LA,807,Redcar and Cleveland,-,-,-,-,-,-,11,3,2,2,3,1,11,3,2,2,3,1,11,3,2,2,3,1,11,3,2,2,3,1,11,3,2,2,3,1,-,-,-,-,-,-
LA,808,Stockton-on-Tees,-,-,-,-,-,-,4,0,0,0,3,1,4,0,0,0,3,1,4,0,0,0,3,1,9,1,2,2,3,1,11,2,2,3,3,1,-,-,-,-,-,-
LA,840,Durham,7,1,1,1,2,2,7,1,1,1,2,2,8,2,1,1,2,2,9,2,2,1,2,2,9,2,2,1,2,2,10,2,2,1,2,3,10,2,2,1,2,3
LA,841,Darlington,7,1,2,1,2,1,7,1,2,1,2,1,7,1,2,1,2,1,7,1,2,1,2,1,7,1,2,1,2,1,7,1,2,1,2,1,-,-,-,-,-,-
LA,929,Northumberland,5,1,1,1,1,1,6,1,1,1,2,1,6,1,1,1,2,1,9,3,2,1,2,1,11,3,3,1,2,2,12,3,3,2,2,2,12,3,3,2,2,2
LA,340,Knowsley,6,1,1,2,1,1,8,2,1,2,2,1,8,2,1,2,2,1,9,2,2,2,2,1,10,2,2,3,2,1,10,2,2,3,2,1,12,3,3,3,2,1
LA,341,Liverpool,10,2,2,2,2,2,8,1,1,2,2,2,8,1,1,2,2,2,10,1,1,2,3,3,13,2,3,2,3,3,13,2,3,2,3,3,13,2,3,2,3,3
LA,342,St. Helens,8,2,2,1,1,2,8,2,2,1,1,2,12,2,3,3,2,2,12,2,3,3,2,2,12,2,3,2,3,2,12,2,3,3,2,2,-,-,-,-,-,-
LA,343,Sefton,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,-,-,-,-,-,-,8,2,2,1,2,1,8,2,2,1,2,1,-,-,-,-,-,-
LA,344,Wirral,12,3,3,2,2,2,12,3,3,2,2,2,14,3,3,3,3,2,14,3,3,3,3,2,14,3,3,3,3,2,14,3,3,3,3,2,15,3,3,3,3,3
LA,350,Bolton,5,1,1,1,0,2,5,1,1,1,0,2,7,2,2,1,1,1,10,2,3,2,2,1,10,2,3,2,2,1,-,-,-,-,-,-,13,3,3,3,2,2
LA,351,Bury,5,1,1,1,1,1,7,1,2,1,2,1,9,2,2,2,2,1,12,2,3,3,2,2,12,2,3,3,2,2,12,2,3,3,2,2,12,2,3,3,2,2
LA,352,Manchester,10,1,1,3,2,3,10,1,1,3,2,3,10,1,1,3,2,3,9,1,1,3,2,2,9,1,1,3,2,2,9,1,1,3,2,2,9,1,1,3,2,2
LA,353,Oldham,8,1,1,3,2,1,8,1,1,3,2,1,8,1,1,3,2,1,10,2,2,3,2,1,12,2,2,3,3,2,12,2,2,3,3,2,12,2,2,3,3,2
LA,354,Rochdale,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,11,2,3,2,2,2,11,2,3,2,2,2,11,2,3,2,2,2
LA,355,Salford,8,2,2,1,2,1,8,2,2,1,2,1,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,11,3,2,2,2,2,-,-,-,-,-,-
LA,356,Stockport,9,2,2,2,2,1,9,2,2,2,2,1,9,2,2,2,2,1,11,2,2,2,3,2,11,2,2,2,3,2,-,-,-,-,-,-,-,-,-,-,-,-
LA,357,Tameside,5,1,1,1,1,1,7,2,2,1,1,1,8,2,2,1,2,1,9,2,2,2,2,1,10,2,2,2,3,1,-,-,-,-,-,-,-,-,-,-,-,-
LA,358,Trafford,-,-,-,-,-,-,6,1,2,1,1,1,8,2,2,1,2,1,9,2,2,1,2,2,9,2,2,2,1,2,9,2,2,2,1,2,9,2,2,2,1,2
LA,359,Wigan,6,1,1,1,2,1,6,1,1,1,2,1,9,2,3,1,2,1,12,3,3,3,2,1,12,3,3,3,2,1,12,3,3,3,2,1,14,3,3,3,3,2
LA,876,Halton,13,3,2,3,3,2,13,3,2,3,3,2,14,3,3,3,3,2,14,3,3,3,3,2,9,2,2,2,2,1,10,2,3,2,2,1,14,3,3,3,3,2
LA,877,Warrington,7,2,1,1,1,2,8,2,1,2,1,2,13,3,3,2,2,3,10,2,2,2,2,2,9,2,2,2,2,1,-,-,-,-,-,-,11,2,3,2,2,2
LA,888,Lancashire,7,1,2,2,1,1,8,2,2,2,1,1,9,2,2,2,2,1,11,2,3,3,2,1,9,2,2,1,3,1,12,3,2,3,3,1,-,-,-,-,-,-
LA,889,Blackburn with Darwen,7,1,1,1,2,2,7,1,1,1,2,2,8,1,2,1,2,2,11,2,2,2,3,2,8,2,2,1,2,1,8,2,2,1,2,1,12,2,2,2,3,3
LA,890,Blackpool,10,1,2,1,3,3,11,2,2,1,3,3,11,2,2,1,3,3,12,2,2,2,3,3,12,2,3,3,3,1,12,2,3,3,3,1,-,-,-,-,-,-
LA,895,Cheshire East,-,-,-,-,-,-,-,-,-,-,-,-,8,2,2,2,1,1,9,2,2,2,2,1,11,2,3,2,2,2,12,3,3,2,2,2,-,-,-,-,-,-
LA,896,Cheshire West and Chester,8,2,2,2,1,1,8,2,2,2,1,1,8,2,2,2,1,1,9,2,2,2,2,1,8,2,2,1,2,1,9,2,2,2,2,1,10,2,3,2,2,1
LA,909,Cumbria,7,2,1,2,1,1,7,2,1,2,1,1,8,2,1,2,2,1,9,2,2,2,2,1,10,2,2,3,2,1,10,2,2,2,3,1,10,2,2,2,3,1
LA,825,Buckinghamshire,9,1,2,2,2,2,10,1,2,2,2,3,10,1,2,2,2,3,8,1,1,1,2,3,8,1,1,1,2,3,8,1,1,1,2,3,8,1,1,1,2,3
LA,826,Milton Keynes,4,0,1,1,0,2,6,1,1,1,1,2,9,2,2,1,2,2,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2
LA,845,East Sussex,7,1,1,2,2,1,9,1,2,2,3,1,9,1,2,2,3,1,12,3,3,2,3,1,14,3,3,3,3,2,14,3,3,3,3,2,15,3,3,3,3,3
LA,846,Brighton and Hove,6,1,1,1,2,1,8,1,2,1,3,1,8,1,2,1,3,1,8,1,2,1,3,1,8,1,2,1,3,1,10,2,2,2,3,1,10,2,2,2,3,1
LA,850,Hampshire,5,1,1,1,1,1,5,1,1,1,1,1,6,1,1,1,1,2,8,1,2,1,2,2,9,1,2,2,2,2,9,1,2,2,2,2,-,-,-,-,-,-
LA,851,Portsmouth,-,-,-,-,-,-,5,2,1,1,0,1,5,2,1,1,0,1,7,2,2,1,1,1,7,2,2,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
LA,852,Southampton,6,2,2,1,0,1,8,2,2,2,1,1,8,2,2,2,1,1,8,2,2,2,1,1,8,2,2,2,1,1,8,2,2,2,1,1,-,-,-,-,-,-
LA,867,Bracknell Forest,5,1,1,1,1,1,6,1,1,2,1,1,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,13,2,2,3,3,3
LA,868,Windsor and Maidenhead,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,12,2,3,2,3,2
LA,869,West Berkshire,10,2,2,2,3,1,10,2,2,2,3,1,10,2,2,2,3,1,10,2,2,2,3,1,9,2,1,2,3,1,9,2,1,2,3,1,10,2,2,2,3,1
LA,870,Reading,5,1,1,1,1,1,5,1,1,1,2,0,7,2,1,2,2,0,5,1,1,1,1,1,8,2,1,2,2,1,9,2,2,2,2,1,9,2,2,2,2,1
LA,871,Slough,5,1,1,1,1,1,8,2,3,1,1,1,12,3,3,2,3,1,12,3,3,2,3,1,12,3,3,2,3,1,12,3,3,2,3,1,13,3,3,2,3,2
LA,872,Wokingham,-,-,-,-,-,-,5,1,1,1,1,1,6,1,2,1,1,1,10,2,1,1,3,3,8,2,1,2,2,1,8,2,1,2,2,1,12,2,2,3,3,2
LA,886,Kent,3,0,1,1,1,0,5,1,1,1,2,0,5,1,1,1,2,0,9,2,2,1,3,1,8,1,2,2,2,1,9,1,3,2,2,1,12,3,2,3,3,1
LA,887,Medway,7,1,2,1,2,1,9,2,2,1,2,2,9,2,2,1,2,2,10,2,2,2,2,2,10,2,2,2,2,2,10,2,2,2,2,2,9,2,2,2,2,1
LA,921,Isle of Wight,-,-,-,-,-,-,13,3,3,2,3,2,13,3,3,2,3,2,13,3,3,2,3,2,14,3,3,2,3,3,14,3,3,2,3,3,14,3,3,2,3,3
LA,931,Oxfordshire,12,2,3,2,3,2,12,2,3,2,3,2,14,3,3,3,3,2,14,3,3,3,3,2,14,2,3,3,3,3,13,3,3,1,3,3,-,-,-,-,-,-
LA,936,Surrey,6,1,2,1,1,1,6,1,2,1,1,1,6,1,2,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,10,2,2,2,2,2
LA,938,West Sussex,7,1,1,2,2,1,6,1,1,1,2,1,7,1,1,2,2,1,8,2,1,2,2,1,8,2,1,2,2,1,8,2,2,2,1,1,9,2,2,2,2,1
LA,420,Isles of Scilly,-,-,-,-,-,-,5,1,0,1,1,2,5,1,0,1,1,2,5,1,0,1,1,2,5,1,0,1,1,2,8,1,2,2,2,1,8,1,2,2,2,1
LA,800,Bath and North East Somerset,5,1,1,1,1,1,8,2,2,1,2,1,9,2,2,2,2,1,10,2,2,2,3,1,9,2,2,2,2,1,10,2,2,2,2,2,10,2,2,2,2,2
LA,801,"Bristol, City of",7,1,1,1,2,2,7,1,1,1,2,2,7,1,1,1,2,2,7,1,1,1,2,2,8,1,2,1,2,2,8,1,2,1,2,2,9,2,2,1,2,2
LA,802,North Somerset,9,2,2,2,2,1,11,2,3,3,2,1,12,2,3,3,3,1,12,2,3,3,3,1,13,2,3,3,3,2,12,2,3,3,3,1,13,3,3,3,3,1
LA,803,South Gloucestershire,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,9,2,2,1,3,1,10,2,3,1,3,1,10,2,3,1,3,1,11,2,3,1,3,2
LA,835,Dorset,6,1,1,1,1,2,6,1,1,1,1,2,6,1,1,1,1,2,6,1,1,1,1,2,9,2,2,1,2,2,9,2,2,1,2,2,9,2,2,1,2,2
LA,836,Poole,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,7,1,2,1,2,1,7,1,2,1,2,1,7,1,2,1,2,1,7,1,2,1,2,1
LA,837,Bournemouth,-,-,-,-,-,-,6,1,2,1,1,1,7,1,2,1,2,1,7,1,2,1,2,1,7,1,2,1,2,1,9,2,2,1,2,2,10,2,2,2,2,2
LA,865,Wiltshire,5,1,1,1,1,1,10,2,2,3,2,1,10,2,2,3,2,1,10,2,2,3,2,1,10,2,2,3,2,1,10,2,2,3,2,1,10,2,2,3,2,1
LA,866,Swindon,7,1,1,2,1,2,6,1,1,1,1,2,5,1,1,1,1,1,6,1,1,1,2,1,6,1,1,1,2,1,7,2,2,1,1,1,-,-,-,-,-,-
LA,878,Devon,-,-,-,-,-,-,7,1,0,3,2,1,9,2,1,3,2,1,-,-,-,-,-,-,14,3,3,3,3,2,14,3,3,3,3,2,-,-,-,-,-,-
LA,879,Plymouth,-,-,-,-,-,-,9,2,2,2,1,2,9,2,2,2,1,2,11,2,3,2,2,2,10,2,2,2,2,2,11,2,3,2,2,2,-,-,-,-,-,-
