LA Number,,Number of looked after children attending primary schools,Number of possible sessions - primary schools,Number of sessions of authorised absence - primary schools,Number of sessions of unauthorised absence - primary schools,Number of sessions of overall absence - primary schools,Number of persistent absentees - primary schools,Number of looked after children attending secondary schools,Number of possible sessions - secondary schools,Number of sessions of authorised absence - secondary schools,Number of sessions of unauthorised absence - secondary schools,Number of sessions of overall absence - secondary schools,Number of persistent absentees - secondary schools,Number of looked after children attending special schools,Number of possible sessions - special schools,Number of sessions of authorised absence - special schools,Number of sessions of unauthorised absence - special schools,Number of sessions of overall absence - special schools,Number of persistent absentees - special schools
342,St Helens,81,24448,661,63,724,0,52,15620,691,705,1396,7,12,3171,138,54,192,0
343,Sefton,65,18676,458,44,502,0,73,21623,889,368,1257,x,17,4842,145,69,214,x
344,Wirral,115,34824,1329,93,1422,0,138,41666,1964,610,2574,8,53,15365,667,240,907,x
350,Bolton,75,22815,740,71,811,0,95,25637,983,710,1693,x,13,3668,117,190,307,x
351,Bury,47,14083,505,50,555,x,62,18425,782,188,970,x,6,1512,28,x,30,0
352,Manchester,208,61571,1992,308,2300,x,325,94915,5395,4147,9542,47,71,19010,1245,805,2050,10
353,Oldham,61,17184,541,41,582,0,80,22512,1084,745,1829,8,11,3274,129,x,133,0
354,Rochdale,75,22560,574,61,635,0,71,20332,1139,793,1932,8,12,3572,242,259,501,x
355,Salford,83,24715,679,89,768,0,133,38112,1516,606,2122,8,36,10400,449,249,698,x
356,Stockport,44,13478,682,12,694,x,82,24603,1197,282,1479,x,16,4620,144,x,145,0
357,Tameside,52,15292,377,112,489,x,77,22634,1014,907,1921,9,23,6798,480,32,512,x
358,Trafford,52,16087,533,13,546,0,43,13192,571,94,665,x,15,4344,473,144,617,x
359,Wigan,72,21808,713,51,764,0,95,27810,1129,609,1738,7,21,6008,397,108,505,x
370,Barnsley,34,9882,390,27,417,x,66,19255,729,472,1201,x,7,2124,50,105,155,x
371,Doncaster,47,13997,671,47,718,x,84,22404,1479,878,2357,11,13,3470,132,x,134,0
372,Rotherham,56,16535,349,40,389,x,85,25176,1189,1509,2698,12,21,5631,145,44,189,x
373,Sheffield,79,22910,1104,92,1196,x,133,38901,1583,1805,3388,13,40,11260,676,447,1123,x
380,Bradford,175,51536,2326,321,2647,x,211,60009,3431,3095,6526,27,28,8297,446,19,465,x
381,Calderdale,50,14918,361,26,387,0,44,12083,503,326,829,x,9,2284,70,0,70,0
382,Kirklees,94,27575,761,39,800,0,75,21232,1067,475,1542,8,23,5766,244,10,254,0
383,Leeds,249,73667,2715,385,3100,x,345,100703,5342,4777,10119,46,59,17269,1600,844,2444,11
384,Wakefield,41,11794,316,55,371,0,70,20554,942,258,1200,x,23,6623,977,85,1062,x
390,Gateshead,34,10167,282,8,290,x,73,21947,720,287,1007,x,23,6990,180,33,213,0
391,Newcastle upon Tyne,58,17295,521,27,548,x,141,40895,1724,886,2610,11,27,8031,667,121,788,x
392,North Tyneside,24,7242,232,18,250,0,33,9666,361,46,407,0,16,4502,197,96,293,x
393,South Tyneside,29,8700,344,x,346,0,50,15171,634,404,1038,x,22,5003,444,133,577,x
394,Sunderland,65,19396,551,6,557,0,105,31625,1168,530,1698,x,28,8013,603,41,644,x
800,Bath & NE Somerset,14,4204,98,6,104,0,30,8663,345,338,683,x,9,2384,165,x,167,x
801,City of Bristol,116,33117,1020,115,1135,0,150,42274,2001,1358,3359,12,45,11633,1003,494,1497,8
802,North Somerset,33,9622,223,43,266,0,45,12030,421,482,903,x,6,1482,26,0,26,0
803,South Gloucestershire,16,4452,100,x,104,0,27,7436,708,201,909,x,10,2382,143,x,148,0
805,Hartlepool,21,6474,177,6,183,0,31,9025,466,478,944,x,14,4076,194,x,197,x
806,Middlesbrough,34,10284,314,11,325,0,69,20430,940,664,1604,8,18,4729,361,152,513,x
807,Redcar and Cleveland,18,5373,158,7,165,0,33,10008,439,124,563,x,11,3348,101,x,102,0
808,Stockton on Tees,36,11064,253,x,256,0,48,14595,392,187,579,x,15,3838,101,306,407,x
810,City of Kingston-Upon-Hull,89,26823,822,179,1001,x,123,36546,1642,2174,3816,13,28,6588,518,439,957,x
811,East Riding of Yorkshire,46,13309,555,87,642,x,69,20160,1357,378,1735,x,9,2046,151,18,169,x
