,,Number of children looked after continuously for 12 months at 31 March 2010 ,Number of children looked after continuously for 12 months at 31 March 2010 who are aged 5 to 15 ,"Number of children looked after continuously for 12 months at 31 March 2010 who are aged 5 to 15  attending primary, secondary or special schools",Number of possible sessions,Number of sessions of authorised absence,Number of sessions of unauthorised absence,Number of sessions of overall absence,"Number of children looked after continuously for 12 months at 31 March 2010 who are aged 5 to 15  attending primary, secondary or special schools classed as persistent absentees"
830,Derbyshire,369,254,216,63672,2856,998,3854,10
831,Derby,334,226,201,59649,2052,688,2740,x
835,Dorset,176,121,100,30540,1263,161,1424,x
836,Poole,85,65,62,17964,786,66,852,x
837,Bournemouth,133,81,61,17702,574,215,789,x
840,Durham,331,223,208,60994,2432,408,2840,x
841,Darlington,85,69,62,18684,600,322,922,x
845,East Sussex,370,249,219,63371,2710,988,3698,12
846,Brighton and Hove,269,159,135,39416,2004,662,2666,10
850,Hampshire,773,539,473,137955,7197,1281,8478,23
851,Portsmouth,211,134,123,36412,1266,795,2061,x
852,Southampton,207,125,110,32146,1748,723,2471,9
855,Leicestershire,212,132,120,36447,1473,314,1787,x
856,Leicester,339,229,202,62321,2633,1091,3724,10
857,Rutland,12,9,x,x,x,x,x,0
860,Staffordshire,527,345,298,86112,3201,527,3728,6
861,Stoke-on-Trent,269,192,159,46078,1753,1384,3137,11
865,Wiltshire,244,166,141,40673,1897,508,2405,9
866,Swindon,181,122,107,31063,1417,147,1564,x
867,Bracknell Forest,59,34,26,6884,373,71,444,x
868,Windsor and Maidenhead,64,39,26,6744,271,52,323,0
869,West Berkshire,76,49,41,12116,529,43,572,x
870,Reading,127,89,78,22246,796,142,938,x
871,Slough,96,62,37,11086,733,300,1033,x
872,Wokingham,50,32,23,5888,260,126,386,x
873,Cambridgeshire,335,218,181,53310,2700,470,3170,11
874,Peterborough,238,172,142,41939,1248,828,2076,x
876,Halton,122,78,69,20504,709,202,911,x
877,Warrington,175,121,111,34127,1194,778,1972,6
878,Devon,390,270,230,64459,2849,956,3805,9
879,Plymouth,272,181,158,46624,2337,239,2576,x
880,Torbay,123,95,82,24318,835,135,970,x
881,Essex,"1,014",711,609,179318,7756,2134,9890,24
882,Southend-on-Sea,210,137,125,37723,1655,830,2485,7
883,Thurrock,150,91,80,23690,952,140,1092,x
884,Herefordshire,122,83,68,20006,1011,359,1370,x
885,Worcestershire,406,263,234,68868,3148,595,3743,9
