New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2012,CLA_2012,CLA_stp2012,CLA_male,CLA_female,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_Miss,CLA_OthPl,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_UASC,CLA_Moth,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_1Pla,CLA_2PLa,CLA_3Pla,CLA_P2yrs,CLAA_InBound,CLA_Outbound,CLA_ExtPl,CLA_NetGain 
E12000008,REGION,J,SOUTH EAST,8720,12330,880,4900,3820,530,1630,1590,3080,1880,7310,600,250,240,280,40,6720,360,370,350,660,80,130,40,0,1820,2990,10,940,2920,0,20,430,40,5500,130,30,2470,180,370,40,5640,1970,1100,1570,5850,2470,3540,1070
E12000009,REGION,K,SOUTH WEST,5450,7750,1040,2990,2460,330,890,880,2060,1280,4940,270,50,100,50,40,4090,210,240,230,440,100,120,10,10,1030,1820,0,490,2090,10,10,60,30,3440,110,20,1460,150,240,20,3510,1230,700,990,3890,1330,1630,290
E09000001,LA,201,City of London,6,10,0,x,x,0,0,0,x,x,x,0,x,x,x,0,6,0,0,0,0,0,0,0,0,0,x,0,0,x,0,0,x,0,x,0,0,x,0,0,0,6,0,0,x,0,6,x,x
E09000007,LA,202,Camden,265,422,9,156,108,30,35,28,106,65,97,64,33,68,x,0,172,6,14,0,53,7,12,0,0,69,111,0,13,70,0,x,9,0,99,x,x,148,0,14,0,158,66,40,50,85,173,44,x
E09000011,LA,203,Greenwich,563,854,x,303,260,26,84,114,222,117,301,97,23,127,15,0,451,18,7,39,39,x,0,x,0,61,265,0,14,215,x,x,13,0,189,0,x,352,10,7,x,387,109,66,137,155,386,153,x
E09000012,LA,204,Hackney,305,411,8,160,145,17,42,54,121,71,96,43,6,151,6,x,245,x,8,20,x,16,0,0,7,73,122,0,x,104,0,x,x,x,203,12,x,62,12,8,7,218,57,29,70,95,198,83,x
E09000013,LA,205,Hammersmith and Fulham,225,335,12,123,101,14,25,42,83,60,76,59,6,63,19,x,163,11,x,x,24,17,x,x,0,49,91,0,18,66,0,0,21,0,107,x,0,89,20,x,x,155,50,18,50,55,156,24,x
E09000019,LA,206,Islington,329,460,0,175,154,15,40,40,132,102,141,75,9,95,9,0,253,7,11,12,31,6,x,8,0,63,142,0,21,101,0,x,33,0,147,x,x,118,36,11,8,214,87,28,63,93,221,64,x
E09000020,LA,207,Kensington and Chelsea,139,198,20,78,61,6,13,14,53,53,38,41,9,44,x,x,79,x,8,x,27,x,14,x,0,13,57,0,x,63,x,0,22,0,82,x,x,30,14,8,x,99,25,15,21,46,88,16,x
E09000022,LA,208,Lambeth,509,739,0,279,230,30,78,78,186,137,124,111,20,237,17,0,390,12,x,37,51,x,8,x,0,98,169,x,49,189,0,x,22,0,27,102,x,367,x,x,x,340,104,65,111,121,375,202,x
