New_geog_code,geog_l,geog_c,geog_n,All_aged19,LA_nit,Act_HE,Act_OE,Act_TE,Act_Neet_ill,Act_NEET_oth,Acc_P,Acc_FFC,Acc_CH,Acc_SITA,Acc_SL,Acc_OL,Acc_F,Acc_IL,Acc_EA,Acc_BB,Acc_C,Acc_OTH,Acc_SUIT
E08000025,LA,330,Birmingham,192,12,9,49,34,8,80,16,x,x,8,11,0,7,88,0,x,x,36,177
E08000026,LA,331,Coventry,53,x,x,15,13,x,20,8,x,x,6,0,0,x,20,x,0,x,x,45
E08000027,LA,332,Dudley,58,x,6,6,19,0,24,13,9,0,0,0,0,x,24,0,0,x,x,55
E08000028,LA,333,Sandwell,32,x,6,x,x,0,16,7,0,x,x,x,0,0,11,0,0,x,x,27
E08000029,LA,334,Solihull,68,6,x,33,9,x,17,x,x,x,13,x,x,x,30,0,x,x,x,57
E08000030,LA,335,Walsall,34,x,0,9,15,x,6,x,6,x,8,0,x,x,9,0,0,x,0,31
E08000031,LA,336,Wolverhampton,27,0,x,x,12,x,7,x,x,x,0,x,0,x,13,0,0,x,x,26
E08000011,LA,340,Knowsley,21,0,x,x,11,0,6,10,x,0,0,x,0,0,7,0,0,0,x,21
E08000012,LA,341,Liverpool,85,x,x,33,17,x,31,20,8,0,12,x,x,x,29,0,0,7,0,77
E08000013,LA,342,St. Helens,17,0,0,6,x,x,x,6,x,x,x,0,x,0,x,0,0,x,x,16
E08000014,LA,343,Sefton,31,0,8,x,12,x,7,7,0,x,0,7,0,0,13,x,0,x,0,27
E08000015,LA,344,Wirral,50,x,x,7,16,x,21,9,0,0,x,x,x,0,27,0,0,x,x,47
E08000001,LA,350,Bolton,35,0,x,6,13,x,9,6,x,0,x,0,x,x,14,x,0,0,6,30
E08000002,LA,351,Bury,25,0,x,7,10,x,6,x,x,x,x,x,0,0,7,x,0,x,0,24
E08000003,LA,352,Manchester,151,19,8,24,42,11,47,32,0,x,11,8,9,x,47,x,0,x,10,119
E08000004,LA,353,Oldham,33,0,x,8,10,x,11,6,0,x,11,x,0,0,11,0,0,0,x,31
E08000005,LA,354,Rochdale,37,x,x,6,x,x,21,11,x,x,x,x,0,0,11,0,0,x,x,33
E08000006,LA,355,Salford,42,0,0,22,12,x,x,10,8,x,x,0,0,0,20,0,0,0,x,42
E08000007,LA,356,Stockport,32,0,x,6,13,0,10,x,0,x,0,x,x,0,9,0,0,x,10,28
E08000008,LA,357,Tameside,23,0,x,9,x,x,x,x,x,0,x,x,0,0,7,0,0,x,x,22
E08000009,LA,358,Trafford,20,0,x,6,x,x,8,x,x,x,x,x,0,0,x,0,0,x,x,18
E08000010,LA,359,Wigan,45,0,x,11,19,x,11,6,x,0,x,7,0,0,20,0,0,x,6,44
E08000016,LA,370,Barnsley,31,6,0,x,9,x,10,7,x,0,x,x,0,0,11,0,0,0,0,25
E08000017,LA,371,Doncaster,42,x,8,6,x,x,18,6,6,x,x,x,0,0,11,0,0,x,x,38
E08000018,LA,372,Rotherham,31,0,x,6,14,x,8,7,0,x,x,x,0,0,15,0,0,x,x,29
E08000019,LA,373,Sheffield,60,x,7,15,17,x,11,x,x,x,12,6,x,0,21,x,0,x,x,52
