New_geog_code,geog_l,geog_c,geog_n,CLA_cease,CLA_cease16,CLA_ceamal,CLA_ceafe,CLA_cea1,CLA_cea14,CLA_cea59,CLA_cea1015,CLA_cea16,CLA_ceaAdop,CLA_ceaAdop2,CLA-ceaDied,CLA_ceataken,CLA_ceaPar,CLA_ceaROG,CLA_ceaSpecG,CLA_ceaSpecG2,CLA_ceaIndLiv,CLA_ceaIndLiv2,CLA_cea_tran_res,CLA_cea_sen_cust,CLA_cea_OthRea
E09000025,LA,316,Newham,225,96,111,114,7,45,28,49,96,18,8,0,x,81,6,8,8,x,0,0,x,89
E09000026,LA,317,Redbridge,109,42,58,51,10,18,8,31,42,x,x,x,0,57,x,x,x,10,6,x,x,20
E09000027,LA,318,Richmond upon Thames,56,14,26,30,x,14,7,19,14,x,x,0,x,24,x,x,x,0,x,0,0,15
E09000029,LA,319,Sutton,87,33,53,34,x,15,13,24,33,x,x,0,0,43,x,0,x,12,0,x,x,15
E09000031,LA,320,Waltham Forest,153,62,76,77,11,32,21,27,62,7,7,0,x,43,8,7,x,0,0,0,8,64
E08000025,LA,330,Birmingham,664,218,343,321,45,167,101,133,218,x,67,0,x,261,64,35,10,20,14,13,8,167
E08000026,LA,331,Coventry,259,75,126,133,19,70,47,48,75,15,10,x,0,111,20,11,x,34,10,9,x,34
E08000027,LA,332,Dudley,129,43,56,73,x,38,14,29,43,11,8,x,0,59,6,x,x,x,0,x,x,34
E08000028,LA,333,Sandwell,189,51,103,86,10,51,30,47,51,16,x,0,x,106,x,6,10,11,6,0,x,21
E08000029,LA,334,Solihull,169,123,116,53,x,10,16,17,123,x,6,0,0,40,0,x,x,96,x,x,x,17
E08000030,LA,335,Walsall,169,52,91,78,6,50,29,32,52,30,x,0,7,66,9,7,x,17,16,x,6,x
E08000031,LA,336,Wolverhampton,160,35,88,72,9,53,27,36,35,9,11,x,x,89,8,6,x,13,8,x,0,x
E08000011,LA,340,Knowsley,68,23,40,28,x,19,9,15,23,12,8,0,0,11,x,6,x,7,0,0,x,16
E08000012,LA,341,Liverpool,289,98,149,140,13,87,38,53,98,51,x,0,x,85,x,22,7,x,x,0,7,104
E08000013,LA,342,St. Helens,94,16,59,35,x,28,34,14,16,0,10,0,0,30,10,22,x,x,0,0,x,16
E08000014,LA,343,Sefton,117,31,59,58,x,34,25,23,31,x,7,0,0,40,x,17,7,x,x,x,x,32
E08000015,LA,344,Wirral,202,76,104,98,12,46,43,25,76,x,21,0,0,65,11,20,0,20,x,x,x,54
E08000001,LA,350,Bolton,171,40,91,80,x,58,33,36,40,41,7,x,x,49,14,x,9,x,13,x,x,24
E08000002,LA,351,Bury,122,49,72,50,x,31,17,22,49,9,8,0,x,20,x,14,x,12,0,0,x,51
E08000003,LA,352,Manchester,501,204,274,227,9,124,85,79,204,32,22,0,x,181,19,24,13,47,18,8,11,124
E08000004,LA,353,Oldham,139,30,62,77,x,42,25,38,30,23,x,0,x,51,13,10,x,6,x,x,0,21
E08000005,LA,354,Rochdale,143,25,75,68,7,47,35,29,25,x,16,0,x,48,20,24,7,x,11,x,0,x
E08000006,LA,355,Salford,203,65,113,90,x,60,37,36,65,15,6,0,0,62,12,21,0,x,0,0,x,84
E08000007,LA,356,Stockport,123,43,60,63,7,30,20,23,43,22,x,0,0,48,x,x,x,x,x,x,x,32
E08000008,LA,357,Tameside,143,40,79,64,9,49,16,29,40,10,12,0,0,54,9,6,7,10,7,x,x,24
E08000009,LA,358,Trafford,94,39,46,48,x,21,14,18,39,7,0,0,x,42,x,x,0,18,0,x,x,14
E08000010,LA,359,Wigan,141,49,77,64,7,50,16,19,49,14,12,0,0,63,x,9,x,17,7,x,x,10
E08000016,LA,370,Barnsley,130,37,69,62,13,41,24,14,37,20,x,x,7,31,9,x,x,9,8,6,x,27
E08000017,LA,371,Doncaster,210,64,116,94,17,57,34,38,64,29,8,0,x,76,18,8,10,8,0,x,0,48
E08000018,LA,372,Rotherham,150,40,73,77,12,41,26,31,40,21,x,0,x,53,14,11,x,14,x,x,x,19
E08000019,LA,373,Sheffield,288,101,147,141,28,82,36,41,101,32,14,x,x,103,29,8,11,43,11,x,6,23
E08000032,LA,380,Bradford,305,99,165,140,11,101,49,45,99,31,24,x,x,91,6,27,x,19,0,0,7,95
E08000033,LA,381,Calderdale,103,31,48,55,6,31,15,20,31,9,x,0,0,48,6,x,x,17,6,x,x,6
E08000034,LA,382,Kirklees,192,62,101,91,17,61,29,23,62,11,14,0,x,85,6,9,6,38,9,x,x,7
E08000035,LA,383,Leeds,406,136,216,190,22,133,49,66,136,63,x,x,x,103,24,20,19,31,x,x,0,133
E08000036,LA,384,Wakefield,134,48,73,61,x,39,22,21,48,x,27,0,0,47,x,8,x,24,x,x,x,13
E08000020,LA,390,Gateshead,144,36,70,74,9,45,33,21,36,21,x,0,x,49,15,7,x,x,0,x,0,33
E08000021,LA,391,Newcastle upon Tyne,188,60,101,87,12,62,17,37,60,24,0,0,0,122,8,6,x,x,0,0,0,25
E08000022,LA,392,North Tyneside,118,35,58,60,x,33,25,21,35,13,x,0,x,55,x,9,x,x,x,0,x,20
E08000023,LA,393,South Tyneside,115,36,58,57,7,43,17,12,36,21,9,0,0,23,17,6,x,26,0,0,x,6
E08000024,LA,394,Sunderland,174,46,87,87,6,56,37,29,46,x,47,x,x,58,19,x,0,10,x,0,x,28
E06000022,LA,800,Bath and North East Somerset,84,39,43,41,x,17,16,7,39,11,0,0,x,26,x,x,0,22,0,x,x,12
