New_geog_code,geog_l,geog_c,geog_n,CLA_started2012,CLA_taken2012,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E09000024,LA,315,Merton,84,23,47,36,10,x,15,30,23,31,x,x,6,21,x,0,16,9,0,0,54,14,0,0,6,0,0
E09000025,LA,316,Newham,178,89,97,81,35,35,34,53,21,92,x,10,11,36,x,0,22,24,x,0,89,60,x,0,0,0,0
E09000026,LA,317,Redbridge,114,23,57,57,16,24,13,37,24,76,x,x,7,9,x,0,11,11,0,0,85,12,0,0,6,0,0
E09000027,LA,318,Richmond upon Thames,41,11,22,19,x,6,9,19,x,17,x,x,x,6,x,0,x,x,x,0,30,9,0,0,0,0,0
E09000029,LA,319,Sutton,70,32,44,26,7,x,18,25,15,9,x,x,32,10,x,0,6,15,0,0,37,17,0,0,x,0,0
E09000031,LA,320,Waltham Forest,148,39,77,71,29,27,23,36,33,73,x,7,12,20,8,0,24,20,0,0,99,19,0,0,10,0,0
E08000025,LA,330,Birmingham,656,280,331,325,184,126,97,188,61,459,13,12,75,45,24,x,26,148,x,0,360,122,8,0,16,0,0
E08000026,LA,331,Coventry,240,83,106,134,59,50,48,67,16,156,10,6,23,28,10,0,7,39,x,0,154,42,0,0,x,0,0
E08000027,LA,332,Dudley,192,61,98,94,37,56,36,58,x,121,11,8,11,23,7,0,11,33,x,0,129,12,15,0,x,0,0
E08000028,LA,333,Sandwell,209,96,108,101,48,53,39,59,10,138,x,x,16,23,x,0,17,61,x,0,112,23,11,0,x,0,0
E08000029,LA,334,Solihull,133,40,74,59,18,21,17,44,33,49,x,6,41,x,x,0,25,22,x,0,93,17,0,0,0,0,0
E08000030,LA,335,Walsall,138,63,69,69,26,38,30,33,11,58,x,0,43,27,x,0,x,24,11,0,68,17,11,0,7,0,0
E08000031,LA,336,Wolverhampton,238,107,129,109,47,62,53,65,11,165,7,9,19,25,x,0,8,66,x,0,130,29,11,0,x,0,0
E08000011,LA,340,Knowsley,39,8,30,9,10,7,8,11,x,15,x,x,8,11,x,0,0,6,0,0,29,x,0,0,x,0,0
E08000012,LA,341,Liverpool,242,88,132,110,62,53,40,67,20,145,x,13,11,39,12,0,19,67,0,0,143,9,12,0,11,0,0
E08000013,LA,342,St. Helens,80,35,43,37,24,25,12,18,x,68,x,x,x,x,x,0,0,29,x,0,45,x,x,0,0,0,0
E08000014,LA,343,Sefton,132,59,70,62,35,32,28,35,x,76,0,9,34,11,x,0,0,43,0,0,73,15,x,0,0,0,0
E08000015,LA,344,Wirral,190,81,103,87,43,48,38,48,13,82,x,7,15,69,8,x,x,73,x,0,108,7,0,0,0,0,x
E08000001,LA,350,Bolton,165,82,80,85,47,42,28,43,x,90,x,x,28,22,x,0,15,59,x,0,81,19,x,0,x,0,0
E08000002,LA,351,Bury,117,65,53,64,26,21,18,45,7,75,x,0,11,20,x,0,6,51,0,0,52,13,x,0,0,0,0
