New_geog_code,geog_l,geog_c,geog_n,CLA_MissDuringYear,CLA_MissIncs,CLA_MissMoreOnce,CLA_Miss31Mar,CLA_AwayDuringYear,CLA_AwayIncs,CLA_AwayMoreOnce,CLA_Away31Mar
E06000013,LA,813,North Lincolnshire,30,194,25,0,32,120,21,0
E10000023,LA,815,North Yorkshire,49,286,29,0,26,60,12,0
E06000014,LA,816,York,18,61,8,0,19,140,11,0
E06000032,LA,821,Luton,27,44,9,0,45,204,21,0
E06000055,LA,822,Bedford,28,152,14,0,0,0,0,0
E06000056,LA,823,Central Bedfordshire,48,209,31,8,31,175,23,x
E10000002,LA,825,Buckinghamshire,32,51,9,x,56,321,34,x
E06000042,LA,826,Milton Keynes,89,371,49,x,44,102,21,x
E10000007,LA,830,Derbyshire,45,134,17,x,x,43,x,0
E06000015,LA,831,Derby,26,53,14,0,27,112,14,0
E10000009,LA,835,Dorset,41,131,18,x,9,13,x,0
E06000029,LA,836,Poole,29,154,20,x,x,9,x,0
E06000028,LA,837,Bournemouth,44,264,31,x,x,8,x,0
E06000047,LA,840,Durham,34,151,20,x,0,0,0,0
E06000005,LA,841,Darlington,8,10,x,0,34,237,21,0
E10000011,LA,845,East Sussex,34,103,16,0,17,39,8,0
E06000043,LA,846,Brighton and Hove,54,240,33,x,61,201,39,0
E10000014,LA,850,Hampshire,122,625,82,x,173,740,97,x
E06000044,LA,851,Portsmouth,26,150,18,x,23,68,12,0
E06000045,LA,852,Southampton,36,135,18,x,15,33,9,0
E10000018,LA,855,Leicestershire,68,248,37,0,25,81,16,0
E06000016,LA,856,Leicester,6,107,6,0,31,92,13,0
E06000017,LA,857,Rutland,0,0,0,0,0,0,0,0
E10000028,LA,860,Staffordshire,99,361,51,6,22,58,12,0
E06000021,LA,861,Stoke-on-Trent,51,194,28,0,0,0,0,0
E06000054,LA,865,Wiltshire,37,189,23,x,17,40,7,0
E06000030,LA,866,Swindon,66,325,45,x,23,34,7,0
E06000036,LA,867,Bracknell Forest,21,107,13,0,21,50,8,x
E06000040,LA,868,Windsor and Maidenhead,14,83,10,0,x,15,x,0
E06000037,LA,869,West Berkshire,29,105,17,0,8,12,x,0
E06000038,LA,870,Reading,29,68,11,0,x,18,x,0
E06000039,LA,871,Slough,27,72,16,x,33,278,17,0
E06000041,LA,872,Wokingham,13,45,9,x,7,22,x,0
E10000003,LA,873,Cambridgeshire,64,301,34,0,43,123,22,0
E06000031,LA,874,Peterborough,50,145,25,0,21,47,11,0
E06000006,LA,876,Halton,38,214,27,0,13,17,x,0
E06000007,LA,877,Warrington,31,95,19,0,17,114,12,x
E10000008,LA,878,Devon,82,257,46,x,19,35,6,0
E06000026,LA,879,Plymouth,14,33,8,0,13,30,x,0
E06000027,LA,880,Torbay,22,58,8,0,0,0,0,0
E10000012,LA,881,Essex,169,783,95,x,95,553,58,0
E06000033,LA,882,Southend-on-Sea,34,185,19,0,20,38,12,0
E06000034,LA,883,Thurrock,56,173,28,x,37,81,17,x
E06000019,LA,884,Herefordshire,9,13,x,0,11,12,x,0
E10000034,LA,885,Worcestershire,89,312,50,6,x,x,x,0
E10000016,LA,886,Kent,499,1958,233,59,144,282,50,x
E06000035,LA,887,Medway,76,445,56,x,x,x,0,0
E10000017,LA,888,Lancashire,136,760,85,0,98,305,51,x
E06000008,LA,889,Blackburn with Darwen,31,164,19,0,x,x,0,0
E06000009,LA,890,Blackpool,60,350,38,x,29,77,18,0
E10000024,LA,891,Nottinghamshire,145,856,97,x,x,x,0,0
E06000018,LA,892,Nottingham,59,187,35,x,76,399,52,0
E06000051,LA,893,Shropshire,21,84,11,0,10,21,x,0
E06000020,LA,894,Telford and Wrekin,26,59,9,0,x,x,0,0
E06000049,LA,895,Cheshire East,60,409,41,0,22,61,14,0
E06000050,LA,896,Cheshire West and Chester,78,512,55,x,6,6,0,0
E06000052,LA,908,Cornwall,64,215,33,0,29,50,11,0
E10000006,LA,909,Cumbria,53,249,31,0,24,64,11,0
E10000013,LA,916,Gloucestershire,89,271,51,0,10,13,x,0
E10000015,LA,919,Hertfordshire,183,844,113,x,47,121,24,x
E06000046,LA,921,Isle of Wight,41,270,28,0,25,63,12,0
E10000019,LA,925,Lincolnshire,62,221,35,0,44,219,17,0
E10000020,LA,926,Norfolk,88,291,47,0,21,36,8,0
E10000021,LA,928,Northamptonshire,140,330,57,18,84,169,28,0
E06000048,LA,929,Northumberland,39,157,23,x,x,23,x,0
E10000025,LA,931,Oxfordshire,100,350,56,x,22,54,6,0
E10000027,LA,933,Somerset,28,67,12,x,x,10,x,0
E10000029,LA,935,Suffolk,103,556,66,x,13,17,x,0
E10000030,LA,936,Surrey,149,720,79,7,66,159,33,0
E10000031,LA,937,Warwickshire,49,179,24,x,9,14,x,0
E10000032,LA,938,West Sussex,85,491,59,x,37,68,16,0
