New_geog_code,geog_l,geog_c,geog_n,CLA_started2016,CLA_taken2016,SCLA_male,SCLA_female,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_ICO,SCLA_FCO,SCLA_POG,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR
E09000015,LA,310,Harrow,140,54,86,54,15,19,28,39,39,78,x,8,12,9,x,x,21,20,0,0,80,34,0,0,6,0,0
E09000016,LA,311,Havering,148,63,85,63,30,18,16,45,39,89,x,x,18,10,8,0,17,x,x,0,85,50,x,0,0,0,0
E09000017,LA,312,Hillingdon,257,50,162,95,29,24,38,80,86,107,x,x,18,17,14,0,95,18,x,0,197,22,x,0,10,0,0
E09000018,LA,313,Hounslow,155,x,84,71,19,24,18,47,47,101,x,x,x,13,x,x,27,x,0,0,88,47,x,0,x,0,0
E09000021,LA,314,Kingston upon Thames,75,x,45,30,7,9,17,22,20,41,x,x,x,x,x,0,17,15,0,0,52,x,x,0,x,0,0
E09000024,LA,315,Merton,122,x,66,56,11,15,17,35,44,51,x,x,20,27,x,0,x,x,0,x,76,31,x,0,x,0,0
E09000025,LA,316,Newham,219,80,120,99,22,25,30,71,71,94,x,x,38,45,x,0,31,x,x,0,124,61,x,0,15,0,0
E09000026,LA,317,Redbridge,137,43,76,61,13,22,22,44,36,83,0,x,6,12,10,x,19,x,x,0,82,25,x,0,12,0,0
E09000027,LA,318,Richmond upon Thames,69,x,43,26,x,10,x,22,26,31,6,x,x,6,x,0,18,x,0,0,54,x,0,0,x,0,0
E09000029,LA,319,Sutton,135,54,77,58,15,19,34,42,25,38,x,x,38,28,6,x,19,22,x,0,81,26,x,0,0,0,0
E09000031,LA,320,Waltham Forest,179,59,122,57,25,14,24,69,47,78,x,7,14,26,x,0,43,19,0,0,106,40,0,0,14,0,0
E08000025,LA,330,Birmingham,710,312,409,301,116,113,130,231,120,460,x,16,78,46,26,x,73,127,x,0,367,168,x,0,x,x,0
E08000026,LA,331,Coventry,268,141,147,121,52,53,46,84,33,233,x,x,x,14,x,0,x,x,x,0,119,70,x,0,8,0,0
E08000027,LA,332,Dudley,190,x,88,102,52,46,31,44,17,137,x,10,9,26,x,0,x,54,0,0,101,x,x,0,x,0,0
