LA,LA Name,LineNumber,CYPServiceDescription,OwnProvision,PrivateProvision,OtherPublic,Voluntary,TotalExpenditure,Income,NetCurrentExpenditure,GovGrantsInsideAEF,GovGrantsOutsideAEF,LEANetRevenueExpenditure
357,Tameside,1,Spend by individual Sure Start Children's Centres,2361443,0,0,0,2361443,193008,2168435,0,0,2168435
358,Trafford,1,Spend by individual Sure Start Children's Centres,3706176,30093,68719,359353,4164341,26141,4138200,0,0,4138200
359,Wigan,1,Spend by individual Sure Start Children's Centres,4243105.69,3150.18,184276,538055.05,4968586.92,10163.57,4958423.35,0,0,4958423.35
370,Barnsley,1,Spend by individual Sure Start Children's Centres,5176641,0,0,868028,6044669,0,6044669,5966972,0,77697
371,Doncaster,1,Spend by individual Sure Start Children's Centres,7691365,75000,0,0,7766365,43386,7722979,7375700,24320,322959
372,Rotherham,1,Spend by individual Sure Start Children's Centres,6622574,0,0,0,6622574,1273663,5348911,0,0,5348911
373,Sheffield,1,Spend by individual Sure Start Children's Centres,4338204.74,0,0,0,4338204.74,1385424.58,2952780.16,1978875.96,0,973904.2
380,Bradford,1,Spend by individual Sure Start Children's Centres,7459428,5365622,0,0,12825050,304690,12520360,0,0,12520360
381,Calderdale,1,Spend by individual Sure Start Children's Centres,1838817,4266937,0,0,6105754,929538,5176216,0,0,5176216
382,Kirklees,1,Spend by individual Sure Start Children's Centres,7028777,0,0,0,7028777,0,7028777,0,0,7028777
383,Leeds,1,Spend by individual Sure Start Children's Centres,15843375,70385,0,252353,16166113,5001024,11165089,9722240,88025,1354824
384,Wakefield,1,Spend by individual Sure Start Children's Centres,6624275,439440.11,39079,0,7102794.11,835059.54,6267734.57,21.25,0,6267713.32
390,Gateshead,1,Spend by individual Sure Start Children's Centres,807966,95991,38203,0,942160,109465,832695,997899,0,-165204
391,Newcastle upon Tyne,1,Spend by individual Sure Start Children's Centres,3261609,0,0,2836789,6098398,171164,5927234,5902040,0,25194
392,North Tyneside,1,Spend by individual Sure Start Children's Centres,1583952,0,59819,174012,1817783,374047,1443736,1443736,0,0
393,South Tyneside,1,Spend by individual Sure Start Children's Centres,2577227,0,0,0,2577227,969042,1608185,0,0,1608185
394,Sunderland,1,Spend by individual Sure Start Children's Centres,4191917,0,0,0,4191917,118582,4073335,0,0,4073335
420,Isles Of Scilly,1,Spend by individual Sure Start Children's Centres,74904,0,0,0,74904,2387,72517,0,0,72517
800,Bath and North East Somerset,1,Spend by individual Sure Start Children's Centres,1303681,0,0,419840,1723521,0,1723521,1453585,0,269936
801,Bristol City of,1,Spend by individual Sure Start Children's Centres,12326814,0,0,0,12326814,2944012,9382802,0,0,9382802
802,North Somerset,1,Spend by individual Sure Start Children's Centres,2325770,0,0,24510,2350280,603679,1746601,0,0,1746601
803,South Gloucestershire,1,Spend by individual Sure Start Children's Centres,1729963,0,0,3244,1733207,16961,1716246,1620160,0,96086
805,Hartlepool,1,Spend by individual Sure Start Children's Centres,2237499,0,0,0,2237499,272930,1964569,2428218,0,-463649
806,Middlesbrough,1,Spend by individual Sure Start Children's Centres,4093519,260942,80119,0,4434580,491283,3943297,225040,0,3718257
807,Redcar and Cleveland,1,Spend by individual Sure Start Children's Centres,3032132,0,0,0,3032132,121904,2910228,3166000,0,-255772
808,Stockton-on-Tees,1,Spend by individual Sure Start Children's Centres,3711995,0,0,0,3711995,45064,3666931,3560020,0,106911
810,Kingston upon Hull City of,1,Spend by individual Sure Start Children's Centres,3387649,1266837,0,0,4654486,531959,4122527,0,0,4122527
811,East Riding of Yorkshire,1,Spend by individual Sure Start Children's Centres,3599216,0,0,0,3599216,73180,3526036,3709,0,3522327
812,North East Lincolnshire,1,Spend by individual Sure Start Children's Centres,4033117,200099,95000,250556,4578772,193912,4384860,0,0,4384860
813,North Lincolnshire,1,Spend by individual Sure Start Children's Centres,407381,20407,0,50,427838,26078,401760,0,0,401760
815,North Yorkshire,1,Spend by individual Sure Start Children's Centres,7899365,0,0,0,7899365,48101,7851264,0,403,7850861
816,York,1,Spend by individual Sure Start Children's Centres,2020127,0,0,0,2020127,20488,1999639,0,0,1999639
821,Luton,1,Spend by individual Sure Start Children's Centres,3679888,0,0,0,3679888,25148,3654740,4386331,0,-731591
825,Buckinghamshire,1,Spend by individual Sure Start Children's Centres,1725891,0,0,0,1725891,23099,1702792,0,0,1702792
