LA,LA Name,LineNumber,CYPServiceDescription,OwnProvision,PrivateProvision,OtherPublic,Voluntary,TotalExpenditure,Income,NetCurrentExpenditure,GovGrantsInsideAEF,GovGrantsOutsideAEF,LEANetRevenueExpenditure
383,Leeds,9,Education of looked after children,221354,0,0,0,221354,135,221219,0,0,221219
384,Wakefield,9,Education of looked after children,0,0,52539.5,0,52539.5,0,52539.5,52539.5,0,0
390,Gateshead,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
391,Newcastle upon Tyne,9,Education of looked after children,271966,0,0,0,271966,109652,162314,0,0,162314
392,North Tyneside,9,Education of looked after children,63554,0,4550,0,68104,0,68104,0,0,68104
393,South Tyneside,9,Education of looked after children,1223,0,0,0,1223,0,1223,0,0,1223
394,Sunderland,9,Education of looked after children,44155,0,0,0,44155,16145,28010,0,0,28010
420,Isles Of Scilly,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
800,Bath and North East Somerset,9,Education of looked after children,137958,0,0,0,137958,32897,105061,0,0,105061
801,Bristol City of,9,Education of looked after children,446643,0,0,0,446643,446643,0,0,0,0
802,North Somerset,9,Education of looked after children,51250,0,0,0,51250,0,51250,0,0,51250
803,South Gloucestershire,9,Education of looked after children,10477,0,0,0,10477,0,10477,0,0,10477
805,Hartlepool,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
806,Middlesbrough,9,Education of looked after children,105626,8261,0,0,113887,137,113750,0,0,113750
807,Redcar and Cleveland,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
808,Stockton-on-Tees,9,Education of looked after children,179500,0,0,0,179500,0,179500,106,0,179394
810,Kingston upon Hull City of,9,Education of looked after children,398655,0,0,0,398655,200000,198655,0,0,198655
811,East Riding of Yorkshire,9,Education of looked after children,-277813,0,0,0,-277813,0,-277813,0,0,-277813
812,North East Lincolnshire,9,Education of looked after children,230692,189,0,7137,238018,0,238018,4134,0,233884
813,North Lincolnshire,9,Education of looked after children,191033,1800,0,0,192833,2847,189986,0,0,189986
815,North Yorkshire,9,Education of looked after children,59434,0,0,0,59434,6,59428,0,0,59428
816,York,9,Education of looked after children,549662,0,0,0,549662,0,549662,0,0,549662
821,Luton,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
825,Buckinghamshire,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
826,Milton Keynes,9,Education of looked after children,166486,0,0,0,166486,2210,164276,0,0,164276
830,Derbyshire,9,Education of looked after children,86012,0,0,0,86012,0,86012,0,0,86012
831,Derby,9,Education of looked after children,118784,3485552,0,0,3604336,5455,3598881,0,0,3598881
835,Dorset,9,Education of looked after children,286591,0,0,0,286591,13064,273527,0,0,273527
836,Poole,9,Education of looked after children,0,33254,15771,0,49025,0,49025,0,0,49025
837,Bournemouth,9,Education of looked after children,215576,400,0,0,215976,0,215976,0,0,215976
840,Durham,9,Education of looked after children,73147,0,0,0,73147,13749,59398,12800,0,46598
841,Darlington,9,Education of looked after children,115626,0,0,0,115626,3500,112126,0,0,112126
845,East Sussex,9,Education of looked after children,319861,0,0,0,319861,32278,287583,0,0,287583
846,Brighton and Hove,9,Education of looked after children,33867,0,0,0,33867,0,33867,0,0,33867
850,Hampshire,9,Education of looked after children,885148,0,0,0,885148,0,885148,0,0,885148
851,Portsmouth,9,Education of looked after children,76863,0,0,0,76863,0,76863,0,0,76863
852,Southampton,9,Education of looked after children,1935,566,0,0,2501,605,1896,0,0,1896
855,Leicestershire,9,Education of looked after children,72008,0,0,0,72008,102,71906,0,0,71906
856,Leicester,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
857,Rutland,9,Education of looked after children,10621,0,0,0,10621,0,10621,0,0,10621
860,Staffordshire,9,Education of looked after children,1506,0,0,0,1506,0,1506,0,0,1506
861,Stoke-on-Trent,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
865,Wiltshire,9,Education of looked after children,1495658.42,0,0,0,1495658.42,128984.77,1366673.65,0,0,1366673.65
866,Swindon,9,Education of looked after children,247725,488,0,0,248213,1856,246357,0,0,246357
867,Bracknell Forest,9,Education of looked after children,6184,0,0,0,6184,0,6184,0,0,6184
868,Windsor and Maidenhead,9,Education of looked after children,14210,0,0,0,14210,0,14210,0,0,14210
869,West Berkshire,9,Education of looked after children,232624,0,0,0,232624,0,232624,0,0,232624
870,Reading,9,Education of looked after children,283603,24388,40478,23,348492,13957,334535,0,0,334535
871,Slough,9,Education of looked after children,89117,0,0,0,89117,0,89117,0,0,89117
872,Wokingham,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
873,Cambridgeshire,9,Education of looked after children,695604,0,0,0,695604,26493,669111,0,0,669111
874,Peterborough,9,Education of looked after children,0,0,0,0,0,793,-793,0,0,-793
876,Halton,9,Education of looked after children,17756,0,0,0,17756,0,17756,0,0,17756
877,Warrington,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
878,Devon,9,Education of looked after children,311180,0,0,0,311180,4455,306725,0,0,306725
879,Plymouth,9,Education of looked after children,200338,153812,0,22500,376650,872252,-495602,0,0,-495602
880,Torbay,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
881,Essex,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
882,Southend-on-Sea,9,Education of looked after children,73555,0,0,0,73555,0,73555,0,0,73555
883,Thurrock,9,Education of looked after children,0,62500,0,0,62500,0,62500,0,0,62500
884,Herefordshire,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
885,Worcestershire,9,Education of looked after children,62332,0,0,0,62332,9880,52452,0,0,52452
886,Kent,9,Education of looked after children,1837478,0,0,0,1837478,4998,1832480,0,0,1832480
887,Medway,9,Education of looked after children,15000,0,0,0,15000,0,15000,0,0,15000
888,Lancashire,9,Education of looked after children,256094,0,0,0,256094,0,256094,0,0,256094
889,Blackburn with Darwen,9,Education of looked after children,150378,0,0,0,150378,0,150378,0,0,150378
890,Blackpool,9,Education of looked after children,110693,0,0,0,110693,1280,109413,0,0,109413
891,Nottinghamshire,9,Education of looked after children,189018,0,0,0,189018,0,189018,0,0,189018
892,Nottingham,9,Education of looked after children,54796,0,0,0,54796,0,54796,0,0,54796
893,Shropshire,9,Education of looked after children,290039,0,0,0,290039,225,289814,70272,0,219542
894,Telford and Wrekin,9,Education of looked after children,57022,0,0,0,57022,0,57022,0,0,57022
908,Cornwall,9,Education of looked after children,203000,0,0,0,203000,0,203000,0,0,203000
909,Cumbria,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
916,Gloucestershire,9,Education of looked after children,88518,450,0,409,89377,3000,86377,0,0,86377
919,Hertfordshire,9,Education of looked after children,1201911,742283,1068,7290,1952552,5712,1946840,0,0,1946840
921,Isle of Wight,9,Education of looked after children,170550,0,0,0,170550,0,170550,0,0,170550
925,Lincolnshire,9,Education of looked after children,374192,0,0,0,374192,6945,367247,0,0,367247
926,Norfolk,9,Education of looked after children,60950,0,0,0,60950,1142,59808,0,0,59808
928,Northamptonshire,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
929,Northumberland,9,Education of looked after children,349133,49683,0,0,398816,0,398816,76308,0,322508
931,Oxfordshire,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
933,Somerset,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
935,Suffolk,9,Education of looked after children,692404.43,0,0,33231.02,725635.45,2000,723635.45,0,0,723635.45
936,Surrey,9,Education of looked after children,647618,0,0,0,647618,0,647618,0,0,647618
937,Warwickshire,9,Education of looked after children,1358035,0,0,0,1358035,128031,1230004,0,0,1230004
938,West Sussex,9,Education of looked after children,367282,87488,0,0,454770,360,454410,0,0,454410
822,Bedford Borough,9,Education of looked after children,255447,148689,5169,708,410013,86,409927,0,0,409927
823,Central Bedfordshire,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
895,Cheshire East,9,Education of looked after children,10048,0,0,0,10048,0,10048,0,0,10048
896,Cheshire West and Chester,9,Education of looked after children,0,0,0,0,0,0,0,0,0,0
201,City of London,10,Leaving care support services,0,0,0,0,0,0,0,0,0,0
202,Camden,10,Leaving care support services,1066967,844519,0,0,1911486,0,1911486,0,0,1911486
203,Greenwich,10,Leaving care support services,1170317,0,0,0,1170317,0,1170317,0,0,1170317
204,Hackney,10,Leaving care support services,1105680,0,0,0,1105680,108340,997340,0,0,997340
205,Hammersmith and Fulham,10,Leaving care support services,0,1034431,0,0,1034431,0,1034431,0,0,1034431
206,Islington,10,Leaving care support services,1989277,74081,747,8691,2072796,1109,2071687,0,0,2071687
207,Kensington and Chelsea,10,Leaving care support services,1187409.01,876755.26,0,0,2064164.27,62689.38,2001474.89,110000,0,1891474.89
208,Lambeth,10,Leaving care support services,1294545,0,0,0,1294545,0,1294545,0,0,1294545
209,Lewisham,10,Leaving care support services,33664,1154591,193760,0,1382015,18194,1363821,0,0,1363821
210,Southwark,10,Leaving care support services,28382,584336,6076,13958,632752,0,632752,0,0,632752
211,Tower Hamlets,10,Leaving care support services,2130754,1400,0,0,2132154,23600,2108554,1140,0,2107414
212,Wandsworth,10,Leaving care support services,1505672,0,0,0,1505672,0,1505672,0,0,1505672
213,Westminster,10,Leaving care support services,568715,923434,0,0,1492149,0,1492149,0,0,1492149
301,Barking and Dagenham,10,Leaving care support services,3025567,0,0,0,3025567,0,3025567,0,0,3025567
302,Barnet,10,Leaving care support services,1089396,393791,0,0,1483187,467,1482720,0,0,1482720
303,Bexley,10,Leaving care support services,766000,0,0,0,766000,0,766000,0,0,766000
304,Brent,10,Leaving care support services,2292678.03,0,0,0,2292678.03,0,2292678.03,0,0,2292678.03
305,Bromley,10,Leaving care support services,210714,768676,0,0,979390,0,979390,0,0,979390
306,Croydon,10,Leaving care support services,2383450,3303412,0,109969,5796831,0,5796831,3543000,0,2253831
307,Ealing,10,Leaving care support services,319824,353346,24202,43563,740935,29921,711014,0,0,711014
308,Enfield,10,Leaving care support services,2127060,304670,0,0,2431730,105435,2326295,0,0,2326295
309,Haringey,10,Leaving care support services,1953576,2128387,0,0,4081963,694416,3387547,212929,0,3174618
310,Harrow,10,Leaving care support services,388606,320637,0,518,709761,105780,603981,0,0,603981
311,Havering,10,Leaving care support services,999343,9948,0,0,1009291,48470,960821,0,0,960821
312,Hillingdon,10,Leaving care support services,835620.32,102095.91,0,0,937716.23,16000,921716.23,0,0,921716.23
313,Hounslow,10,Leaving care support services,1382880,0,0,0,1382880,26568,1356312,0,0,1356312
314,Kingston upon Thames,10,Leaving care support services,147150,93161,0,0,240311,10,240301,0,0,240301
315,Merton,10,Leaving care support services,821216,721692,1244,0,1544152,99848,1444304,0,0,1444304
316,Newham,10,Leaving care support services,2365930,2034017,0,0,4399947,0,4399947,375193,0,4024754
317,Redbridge,10,Leaving care support services,0,0,1565014,0,1565014,186821,1378193,0,0,1378193
318,Richmond upon Thames,10,Leaving care support services,695756,0,0,235906,931662,89153,842509,0,0,842509
319,Sutton,10,Leaving care support services,735399,0,0,0,735399,24425,710974,0,0,710974
320,Waltham Forest,10,Leaving care support services,2816188,1089007,0,166826,4072021,225000,3847021,61986,0,3785035
330,Birmingham,10,Leaving care support services,3236157,1832772,0,0,5068929,16207,5052722,0,0,5052722
331,Coventry,10,Leaving care support services,1502425,0,0,180832,1683257,0,1683257,0,0,1683257
332,Dudley,10,Leaving care support services,727171,0,0,38485,765656,5128,760528,0,0,760528
333,Sandwell,10,Leaving care support services,682948,0,0,0,682948,21678,661270,0,0,661270
334,Solihull,10,Leaving care support services,234024,494361,0,0,728385,0,728385,0,0,728385
335,Walsall,10,Leaving care support services,627927,498895,0,0,1126822,4067,1122755,0,0,1122755
336,Wolverhampton,10,Leaving care support services,677474,0,0,0,677474,2400,675074,0,0,675074
340,Knowsley,10,Leaving care support services,622992,0,0,0,622992,0,622992,0,0,622992
341,Liverpool,10,Leaving care support services,1879003,1572507,18132,244738,3714380,106296,3608084,432393,0,3175691
342,St Helens,10,Leaving care support services,193633.53,1809499.69,0,10000,2013133.22,281603.09,1731530.13,0,0,1731530.13
343,Sefton,10,Leaving care support services,173874,1054102,0,0,1227976,0,1227976,0,0,1227976
344,Wirral,10,Leaving care support services,1102971,116697,0,0,1219668,269,1219399,0,0,1219399
350,Bolton,10,Leaving care support services,818719,406883,36465,0,1262067,0,1262067,0,0,1262067
351,Bury,10,Leaving care support services,3017,510601,0,341675,855293,2000,853293,0,0,853293
352,Manchester,10,Leaving care support services,1425658,140955,0,1277622,2844235,37438,2806797,0,0,2806797
353,Oldham,10,Leaving care support services,2360097,0,0,0,2360097,298130,2061967,0,0,2061967
354,Rochdale,10,Leaving care support services,955177,0,0,0,955177,77994,877183,0,0,877183
355,Salford,10,Leaving care support services,758609,1190064,0,0,1948673,56597,1892076,0,0,1892076
356,Stockport,10,Leaving care support services,773427,0,0,0,773427,0,773427,103714,0,669713
357,Tameside,10,Leaving care support services,1904441,3296,0,0,1907737,228124,1679613,0,0,1679613
358,Trafford,10,Leaving care support services,1215984,0,0,4107,1220091,789,1219302,87066,0,1132236
359,Wigan,10,Leaving care support services,423999.01,388660.47,6063.33,0,818722.81,29427.75,789295.06,0,0,789295.06
370,Barnsley,10,Leaving care support services,545739,0,0,50500,596239,1645,594594,0,0,594594
371,Doncaster,10,Leaving care support services,827171,925322,0,0,1752493,54991,1697502,0,0,1697502
372,Rotherham,10,Leaving care support services,852240,1091221,0,0,1943461,35598,1907863,0,0,1907863
373,Sheffield,10,Leaving care support services,478691.04,1878455.66,0,0,2357146.7,66521.01,2290625.69,0,0,2290625.69
380,Bradford,10,Leaving care support services,2720638,0,0,0,2720638,31529,2689109,0,0,2689109
381,Calderdale,10,Leaving care support services,0,189403,0,671521,860924,0,860924,0,0,860924
382,Kirklees,10,Leaving care support services,1573926,979585,0,4798,2558309,124,2558185,0,0,2558185
383,Leeds,10,Leaving care support services,3062088,0,0,141926,3204014,117741,3086273,0,0,3086273
384,Wakefield,10,Leaving care support services,928969.54,341543.99,0,0,1270513.53,200414.15,1070099.38,0,0,1070099.38
390,Gateshead,10,Leaving care support services,883647,0,0,0,883647,0,883647,0,0,883647
391,Newcastle upon Tyne,10,Leaving care support services,937081,0,0,0,937081,121372,815709,0,0,815709
392,North Tyneside,10,Leaving care support services,937182,0,0,31662,968844,5587,963257,20000,0,943257
393,South Tyneside,10,Leaving care support services,600978,2117,0,0,603095,1000,602095,0,0,602095
394,Sunderland,10,Leaving care support services,961080,73707,31592,10915,1077294,40344,1036950,0,0,1036950
420,Isles Of Scilly,10,Leaving care support services,0,0,0,0,0,0,0,0,0,0
800,Bath and North East Somerset,10,Leaving care support services,428199,0,0,0,428199,68667,359532,0,0,359532
801,Bristol City of,10,Leaving care support services,209888,0,0,0,209888,18619,191269,0,0,191269
802,North Somerset,10,Leaving care support services,615214,0,145621,0,760835,0,760835,0,0,760835
803,South Gloucestershire,10,Leaving care support services,394750,162213,0,0,556963,0,556963,0,0,556963
805,Hartlepool,10,Leaving care support services,393131,101018,146,0,494295,6152,488143,0,0,488143
806,Middlesbrough,10,Leaving care support services,692800,28847,100,0,721747,6562,715185,0,0,715185
807,Redcar and Cleveland,10,Leaving care support services,544700,0,0,0,544700,357,544343,0,0,544343
808,Stockton-on-Tees,10,Leaving care support services,1015049,0,0,0,1015049,84951,930098,4331,0,925767
810,Kingston upon Hull City of,10,Leaving care support services,2975956,64309,0,0,3040265,174734,2865531,0,0,2865531
811,East Riding of Yorkshire,10,Leaving care support services,1259550,242380,1665,0,1503595,23519,1480076,3460,0,1476616
812,North East Lincolnshire,10,Leaving care support services,645900,0,0,71015,716915,24621,692294,0,0,692294
813,North Lincolnshire,10,Leaving care support services,951661,1724,501,34506,988392,10673,977719,0,0,977719
815,North Yorkshire,10,Leaving care support services,417603,36313,0,0,453916,0,453916,0,0,453916
816,York,10,Leaving care support services,744468,0,0,0,744468,34660,709808,0,0,709808
821,Luton,10,Leaving care support services,58261,0,0,0,58261,0,58261,0,0,58261
825,Buckinghamshire,10,Leaving care support services,725254,0,0,0,725254,140,725114,0,0,725114
826,Milton Keynes,10,Leaving care support services,1402443,0,0,0,1402443,681,1401762,0,0,1401762
830,Derbyshire,10,Leaving care support services,2141138,0,0,1728134,3869272,3456,3865816,0,0,3865816
831,Derby,10,Leaving care support services,581821,0,0,0,581821,30681,551140,0,0,551140
835,Dorset,10,Leaving care support services,542165,205217,0,0,747382,96691,650691,0,0,650691
836,Poole,10,Leaving care support services,246774,0,0,0,246774,0,246774,0,0,246774
837,Bournemouth,10,Leaving care support services,184083,0,0,0,184083,0,184083,0,0,184083
840,Durham,10,Leaving care support services,2301628,13924,0,0,2315552,437155,1878397,0,0,1878397
841,Darlington,10,Leaving care support services,348576,8884,0,45546,403006,25250,377756,0,7918,369838
845,East Sussex,10,Leaving care support services,1609661,0,0,0,1609661,24068,1585593,0,0,1585593
846,Brighton and Hove,10,Leaving care support services,1812919,0,0,0,1812919,0,1812919,63700,0,1749219
850,Hampshire,10,Leaving care support services,198465,1541116,0,38187,1777768,6072,1771696,54931,0,1716765
851,Portsmouth,10,Leaving care support services,211058,66991,271,13974,292294,58938,233356,0,0,233356
852,Southampton,10,Leaving care support services,1093089,0,0,40039,1133128,2,1133126,0,0,1133126
855,Leicestershire,10,Leaving care support services,2923246,0,0,0,2923246,20053,2903193,0,0,2903193
856,Leicester,10,Leaving care support services,1671691,0,0,0,1671691,11358,1660333,0,47452,1612881
857,Rutland,10,Leaving care support services,71000,0,0,0,71000,10559,60441,0,0,60441
860,Staffordshire,10,Leaving care support services,3964190,506699,120980,116707,4708576,116861,4591715,0,20662,4571053
861,Stoke-on-Trent,10,Leaving care support services,1101009.61,0,0,0,1101009.61,2.54,1101007.07,0,0,1101007.07
865,Wiltshire,10,Leaving care support services,3780231.24,0,0,0,3780231.24,1946.31,3778284.93,0,0,3778284.93
866,Swindon,10,Leaving care support services,2085,321100,0,0,323185,13233,309952,0,0,309952
867,Bracknell Forest,10,Leaving care support services,326459,0,0,0,326459,0,326459,0,0,326459
868,Windsor and Maidenhead,10,Leaving care support services,144490,128767,116,8089,281462,200,281262,0,0,281262
869,West Berkshire,10,Leaving care support services,212050,0,0,0,212050,0,212050,0,0,212050
870,Reading,10,Leaving care support services,671641,90327,1041,2458,765467,132,765335,0,0,765335
871,Slough,10,Leaving care support services,0,128093,0,0,128093,0,128093,0,0,128093
872,Wokingham,10,Leaving care support services,398955,0,0,0,398955,80998,317957,0,0,317957
873,Cambridgeshire,10,Leaving care support services,2843023,0,0,0,2843023,225728,2617295,0,0,2617295
874,Peterborough,10,Leaving care support services,962285,180888,0,34430,1177603,793,1176810,0,0,1176810
876,Halton,10,Leaving care support services,391014,0,0,0,391014,0,391014,0,0,391014
877,Warrington,10,Leaving care support services,449829,0,0,0,449829,0,449829,0,0,449829
878,Devon,10,Leaving care support services,3728404,0,0,0,3728404,159165,3569239,17324,0,3551915
879,Plymouth,10,Leaving care support services,1202,393282,3562,0,398046,6528,391518,0,0,391518
880,Torbay,10,Leaving care support services,940803,489059,0,0,1429862,0,1429862,0,0,1429862
881,Essex,10,Leaving care support services,2483026,1383439,0,0,3866465,25882,3840583,0,0,3840583
882,Southend-on-Sea,10,Leaving care support services,1071997,0,0,0,1071997,5283,1066714,5251,2551,1058912
883,Thurrock,10,Leaving care support services,359686,0,0,0,359686,0,359686,0,0,359686
884,Herefordshire,10,Leaving care support services,116544,313435,0,0,429979,0,429979,0,0,429979
885,Worcestershire,10,Leaving care support services,1100410,0,0,0,1100410,1752,1098658,0,0,1098658
886,Kent,10,Leaving care support services,1426912,6926980,255595,2310860,10920347,0,10920347,3483591,0,7436756
887,Medway,10,Leaving care support services,910476,533323,0,52716,1496515,0,1496515,0,0,1496515
888,Lancashire,10,Leaving care support services,2441114,0,0,0,2441114,0,2441114,0,0,2441114
889,Blackburn with Darwen,10,Leaving care support services,1431169,0,0,0,1431169,10817,1420352,37116,0,1383236
890,Blackpool,10,Leaving care support services,939568,0,0,0,939568,0,939568,0,0,939568
891,Nottinghamshire,10,Leaving care support services,1645896,48,56568,0,1702512,31830,1670682,0,0,1670682
892,Nottingham,10,Leaving care support services,1034664,0,0,0,1034664,0,1034664,0,0,1034664
893,Shropshire,10,Leaving care support services,1458928,0,0,0,1458928,2248,1456680,0,0,1456680
894,Telford and Wrekin,10,Leaving care support services,1311317,0,0,0,1311317,0,1311317,0,0,1311317
908,Cornwall,10,Leaving care support services,2307167,577,0,0,2307744,250,2307494,20224,166,2287104
909,Cumbria,10,Leaving care support services,514011,0,0,0,514011,0,514011,0,0,514011
916,Gloucestershire,10,Leaving care support services,3242103,1313735,0,1012,4556850,121484,4435366,200,0,4435166
919,Hertfordshire,10,Leaving care support services,2542591,0,52588,0,2595179,35,2595144,544506,0,2050638
921,Isle of Wight,10,Leaving care support services,395646,21204,0,0,416850,45662,371188,0,0,371188
925,Lincolnshire,10,Leaving care support services,681740,86962,153,1164747,1933602,17038,1916564,50530,0,1866034
926,Norfolk,10,Leaving care support services,4785960,0,0,0,4785960,79510,4706450,0,0,4706450
928,Northamptonshire,10,Leaving care support services,718918,0,19401,0,738319,0,738319,0,0,738319
929,Northumberland,10,Leaving care support services,934963,21726,0,0,956689,0,956689,0,0,956689
931,Oxfordshire,10,Leaving care support services,1621290,0,0,0,1621290,42,1621248,0,0,1621248
933,Somerset,10,Leaving care support services,3348477,0,0,0,3348477,34263,3314214,0,0,3314214
935,Suffolk,10,Leaving care support services,1365958.99,467.37,0,479319.16,1845745.52,0,1845745.52,0,0,1845745.52
936,Surrey,10,Leaving care support services,962524,2814519,41724,27410,3846177,135595,3710582,528750,0,3181832
937,Warwickshire,10,Leaving care support services,908530,0,0,0,908530,2802,905728,0,0,905728
938,West Sussex,10,Leaving care support services,2478337,2478182,0,0,4956519,91984,4864535,0,0,4864535
822,Bedford Borough,10,Leaving care support services,446499,56645,4125,8057,515326,5884,509442,0,0,509442
823,Central Bedfordshire,10,Leaving care support services,0,0,0,0,0,0,0,0,0,0
895,Cheshire East,10,Leaving care support services,2696444,0,0,0,2696444,101256,2595188,0,9413,2585775
896,Cheshire West and Chester,10,Leaving care support services,190923,529581,2064,0,722568,44295,678273,0,0,678273
201,City of London,11,Asylum seeker services - children,0,0,513346,0,513346,44041,469305,0,0,469305
202,Camden,11,Asylum seeker services - children,539683,131297,0,0,670980,0,670980,332234,0,338746
203,Greenwich,11,Asylum seeker services - children,868630,0,0,0,868630,282956,585674,0,0,585674
204,Hackney,11,Asylum seeker services - children,78000,0,0,0,78000,0,78000,69370,0,8630
205,Hammersmith and Fulham,11,Asylum seeker services - children,0,1067147,0,0,1067147,157820,909327,0,0,909327
206,Islington,11,Asylum seeker services - children,2038343,0,0,0,2038343,19123,2019220,1844762,0,174458
207,Kensington and Chelsea,11,Asylum seeker services - children,0,0,0,0,0,0,0,0,0,0
208,Lambeth,11,Asylum seeker services - children,592243,984294,0,0,1576537,0,1576537,0,1182409,394128
209,Lewisham,11,Asylum seeker services - children,43470,309893,54173,142803,550339,21668,528671,0,0,528671
210,Southwark,11,Asylum seeker services - children,670132,398818,17065,47510,1133525,323472,810053,258437,0,551616
211,Tower Hamlets,11,Asylum seeker services - children,402037,0,0,0,402037,53604,348433,0,0,348433
212,Wandsworth,11,Asylum seeker services - children,221643,0,0,0,221643,0,221643,0,0,221643
213,Westminster,11,Asylum seeker services - children,277918,139204,0,0,417122,187965,229157,148106,0,81051
301,Barking and Dagenham,11,Asylum seeker services - children,601427,0,0,0,601427,0,601427,371058,0,230369
302,Barnet,11,Asylum seeker services - children,110506,131863,0,0,242369,13340,229029,43536,0,185493
303,Bexley,11,Asylum seeker services - children,152000,0,0,0,152000,0,152000,112000,0,40000
304,Brent,11,Asylum seeker services - children,388406,771757,0,0,1160163,803,1159360,914657,0,244703
305,Bromley,11,Asylum seeker services - children,48750,100440,0,0,149190,0,149190,99200,0,49990
306,Croydon,11,Asylum seeker services - children,0,0,0,0,0,0,0,0,0,0
307,Ealing,11,Asylum seeker services - children,808,659,0,0,1467,0,1467,0,0,1467
308,Enfield,11,Asylum seeker services - children,404613,0,0,0,404613,73191,331422,326255,0,5167
309,Haringey,11,Asylum seeker services - children,359854,532264,0,0,892118,70,892048,826319,0,65729
310,Harrow,11,Asylum seeker services - children,167873,521874,0,314179,1003926,924,1003002,484529,0,518473
311,Havering,11,Asylum seeker services - children,208457,0,0,0,208457,0,208457,145184,0,63273
312,Hillingdon,11,Asylum seeker services - children,598668.9,1988325.37,0,0,2586994.27,409131.14,2177863.13,0,1255196.94,922666.19
313,Hounslow,11,Asylum seeker services - children,1125316,0,0,0,1125316,144259,981057,377778,0,603279
314,Kingston upon Thames,11,Asylum seeker services - children,1025774,69122,0,0,1094896,18877,1076019,538605,0,537414
315,Merton,11,Asylum seeker services - children,82040,203633,0,0,285673,21040,264633,199039,0,65594
316,Newham,11,Asylum seeker services - children,199816,3258,0,0,203074,0,203074,0,0,203074
317,Redbridge,11,Asylum seeker services - children,0,0,1354391,0,1354391,0,1354391,405725,0,948666
318,Richmond upon Thames,11,Asylum seeker services - children,953072,0,0,0,953072,2425,950647,397773,0,552874
319,Sutton,11,Asylum seeker services - children,65750,0,0,0,65750,0,65750,108630,0,-42880
320,Waltham Forest,11,Asylum seeker services - children,0,0,0,0,0,0,0,0,0,0
330,Birmingham,11,Asylum seeker services - children,500392,2053597,0,0,2553989,0,2553989,1455846,0,1098143
331,Coventry,11,Asylum seeker services - children,283553,0,0,47642,331195,0,331195,197516,0,133679
332,Dudley,11,Asylum seeker services - children,14010,0,0,0,14010,0,14010,0,0,14010
333,Sandwell,11,Asylum seeker services - children,197563,17293,0,0,214856,0,214856,214856,0,0
334,Solihull,11,Asylum seeker services - children,812503,698061,0,0,1510564,0,1510564,1145138,0,365426
335,Walsall,11,Asylum seeker services - children,0,11182,0,0,11182,0,11182,13390,0,-2208
336,Wolverhampton,11,Asylum seeker services - children,225763,0,0,0,225763,0,225763,225763,0,0
340,Knowsley,11,Asylum seeker services - children,0,0,0,0,0,0,0,0,0,0
341,Liverpool,11,Asylum seeker services - children,0,0,0,0,0,0,0,0,0,0
342,St Helens,11,Asylum seeker services - children,0,34491.86,0,0,34491.86,20829,13662.86,0,0,13662.86
343,Sefton,11,Asylum seeker services - children,0,0,0,0,0,0,0,0,0,0
344,Wirral,11,Asylum seeker services - children,35156,0,0,0,35156,0,35156,0,0,35156
350,Bolton,11,Asylum seeker services - children,20300,0,0,0,20300,0,20300,0,0,20300
351,Bury,11,Asylum seeker services - children,82677,103466,0,0,186143,0,186143,219125,0,-32982
352,Manchester,11,Asylum seeker services - children,1156249,743076,0,47142,1946467,64587,1881880,612844,0,1269036
353,Oldham,11,Asylum seeker services - children,0,0,0,0,0,0,0,0,0,0
354,Rochdale,11,Asylum seeker services - children,84372,0,0,0,84372,0,84372,54918,0,29454
355,Salford,11,Asylum seeker services - children,94632,0,0,0,94632,0,94632,93272,0,1360
356,Stockport,11,Asylum seeker services - children,0,0,0,0,0,0,0,0,0,0
357,Tameside,11,Asylum seeker services - children,12825,0,0,0,12825,0,12825,0,0,12825
358,Trafford,11,Asylum seeker services - children,241713,0,0,0,241713,0,241713,163351,0,78362
359,Wigan,11,Asylum seeker services - children,124068.88,0,0,0,124068.88,10056.65,114012.23,0,0,114012.23
370,Barnsley,11,Asylum seeker services - children,214063,0,0,0,214063,256,213807,211303,0,2504
371,Doncaster,11,Asylum seeker services - children,276152,84772,0,0,360924,0,360924,0,123344,237580
372,Rotherham,11,Asylum seeker services - children,49644,0,0,0,49644,48077,1567,0,0,1567
373,Sheffield,11,Asylum seeker services - children,918136.55,506789.44,0,0,1424925.99,52342.9,1372583.09,428537.84,0,944045.25
380,Bradford,11,Asylum seeker services - children,392666,0,0,0,392666,0,392666,331844,0,60822
