LA,LA Name,LineNumber,CYPServiceDescription,ReportGroup,OwnProvision,PrivateProvision,OtherPublic,Voluntary,TotalExpenditure,Income,NetCurrentExpenditure,GovGrantsInsideAEF,GovGrantsOutsideAEF,LEANetRevenueExpenditure
893,Shropshire,11,11 Children placed with family and friends ,CHILDREN LOOKED AFTER,0,0,0,0,0,0,0,0,0,0
893,Shropshire,12,12  Education of looked after children,CHILDREN LOOKED AFTER,352229,0,0,0,352229,0,352229,78498,0,273731
893,Shropshire,13,13 Leaving care support services ,CHILDREN LOOKED AFTER,1429683,0,0,0,1429683,15744,1413939,0,0,1413939
893,Shropshire,14,14 Asylum seeker services - children,CHILDREN LOOKED AFTER,126822,0,0,0,126822,0,126822,38946,87876,0
893,Shropshire,15,15 Total Children Looked After,CHILDREN LOOKED AFTER,7503437,6102438,0,95875,13701750,717272,12984478,117444,87876,12779158
893,Shropshire,16,16 Other childrens and family services,OTHER CHILDREN'S AND FAMILIES SERVICES,0,0,0,0,0,0,0,0,0,0
893,Shropshire,17,17 Social work (includes LA functions in relation to child protection,20 Total  Safeguarding Children and Young People's Services,5657964,0,0,45565,5703529,109567,5593962,0,0,5593962
893,Shropshire,18,18 Comissioning and Children's Services Strategy,20 Total  Safeguarding Children and Young People's Services,0,0,0,0,0,0,0,0,0,0
893,Shropshire,19,"19 Local safeguarding childrens board	",20 Total  Safeguarding Children and Young People's Services,185770,0,0,0,185770,108331,77439,0,0,77439
893,Shropshire,20,20 Total  Safeguarding Children and Young Peoples Services,CHILDREN AND YOUNG PEOPLES SAFETY,5843734,0,0,45565,5889299,217898,5671401,0,0,5671401
893,Shropshire,21,21 Direct payments,"FAMILY SUPPORT SERVICES	",69640,0,0,0,69640,1934,67706,0,0,67706
893,Shropshire,22,22 Short breaks (respite) for disabled children,"FAMILY SUPPORT SERVICES	",452926,0,0,1331137,1784063,177082,1606981,501860,0,1105121
893,Shropshire,23,23 Other support for disabled children,"FAMILY SUPPORT SERVICES	",230810,0,0,39616,270426,398,270028,0,0,270028
893,Shropshire,24,24 Targeted family support,"FAMILY SUPPORT SERVICES	",260374,18636,0,0,279010,2496,276514,61290,0,215224
893,Shropshire,25,25 Universal family support,"FAMILY SUPPORT SERVICES	",815703,283167,0,101763,1200633,34352,1166281,264320,0,901961
893,Shropshire,26,26 Total Family Support Services,FAMILY SUPPORT SERVICES,1829453,301803,0,1472516,3603772,216262,3387510,827470,0,2560040
893,Shropshire,27,"27 Universal services for young people (including youth work, positive activities and information, advice and guidance)",SERVICES FOR YOUNG PEOPLE,1589860,0,0,0,1589860,366314,1223546,106930,0,1116616
893,Shropshire,28,"28 Targeted services for young people (including youth work, positive activities and information, advice and guidance)",SERVICES FOR YOUNG PEOPLE,1223903,0,0,0,1223903,308730,915173,361590,0,553583
893,Shropshire,29,"29 Total Services for Young People	",SERVICES FOR YOUNG PEOPLE,2813763,0,0,0,2813763,675044,2138719,468520,0,1670199
893,Shropshire,30,30 Youth Justice,YOUTH JUSTICE,,,,,342220,0,342220,,,
893,Shropshire,31,31 Capital Expenditure from Revenue (CERA) (Childrens and young people's services),YOUTH JUSTICE,,,,,0,0,0,,,
893,Shropshire,32,32 CHILDREN AND YOUNG PEOPLE'S SERVICES BUDGET (Including CERA),SERVICES FOR YOUNG PEOPLE,,,,,30996077,2147517,28848560,,,
893,Shropshire,33,33 CHILDREN AND YOUNG PEOPLE'S SERVICES BUDGET (excluding CERA),SERVICES FOR YOUNG PEOPLE,,,,,30996077,2147517,28848560,,,
893,Shropshire,34,"34 Substances misuse services (Drugs, alcohol and volatile substances)","SERVICES FOR YOUNG PEOPLE	
",,,,,255245,,,,,
893,Shropshire,35,35 Teenage pregnancy services,"SERVICES FOR YOUNG PEOPLE	
",,,,,40320,,,,,
