time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,category_of_expenditure,description_of_expenditure,own_provision,private_provision,other_public_sector_provision,voluntary_provision,total_expenditure,income,net_current_expenditure,grants_inside_AEF,grants_outside_AEF,net_revenue_expenditure,per_capita_net_current_spend
201516,Financial year,National,England,E92000001,,,,,,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,393787809,55732011,22179626,76789958,548489404,80861682,467627722,5286061,762187,461579474,40
201516,Financial year,National,England,E92000001,,,,,,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,60023956,14248549,12013847,15322988,101609340,10236974,91372366,22000,4863,91345503,8
201516,Financial year,National,England,E92000001,,,,,,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,40318343,108731,136546,39637,40603256,2288533,38314723,547412,17995,37749316,3
201516,Financial year,National,England,E92000001,,,,,,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,139919043,5294563,958955,7079758,153252319,22935965,130316354,2624608,37090,127654656,11
201516,Financial year,National,England,E92000001,,,,,,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,634049151,75383855,35288973,99232341,843954320,116323154,727631166,8480081,822135,718328950,63
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.1 Residential care,342395240,696811489,24198833,39790643,1103196204,65799480,1037396724,6116861,539171,1030740692,89
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.2 Total Fostering services,845465208,649554601,21163067,51407505,1567590381,40019035,1527571346,26478557,1246735,1499846054,132
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.3 Adoption services,266402230,27521555,14990007,7041158,315954951,33796984,282157967,14126136,3214782,264817048,24
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.4 Special guardianship support,184126666,17606877,938998,1860538,204533079,443827,204089252,44377,0,204044875,18
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.5 Other children looked after services,122959702,82754382,10996296,12373966,229084347,16250767,212833580,19828339,594550,192410691,18
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.6 Short breaks (respite) for looked after disabled children,31711635,5000683,1150562,4884557,42747436,2113467,40633969,103961,100000,40430008,4
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.7 Children placed with family and friends,78127237,8047448,698819,1973640,88847144,587761,88259383,63027,0,88196357,8
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.8 Education of looked after children,37378341,1043592,1098885,62917,39583735,6603213,32980523,3272935,1133000,28574588,3
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.9 Leaving care support services,195762463,73761513,5351170,17217011,292092158,9992397,282099760,11058678,615442,270425641,24
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.10 Asylum seeker services children,34275982,19679601,1574820,2426989,57957391,4429192,53528200,22534286,6182976,24810938,5
201516,Financial year,National,England,E92000001,,,,,,Children looked after,3.1.11 Total Children Looked After,2138604704,1581781740,82161457,139038924,3941586826,180036122,3761550704,103627156,13626655,3644296893,324
201516,Financial year,National,England,E92000001,,,,,,Other children and family services,3.2.1 Other children and families services,80174178,8662327,8364210,5732615,102933329,13099544,89833785,3429756,65688,86338341,8
201516,Financial year,National,England,E92000001,,,,,,Safeguarding children and young peoples services,3.3.1 Social work (including LA functions in relation to child protection),1854930625,32804691,23790129,4015882,1915541326,47394196,1868147130,28024018,2197669,1837925443,161
201516,Financial year,National,England,E92000001,,,,,,Safeguarding children and young peoples services,3.3.2 Commissioning and Childrens Services Strategy,241213792,10634039,10280441,3492718,265620990,25840440,239780550,3459925,120720,236199904,21
201516,Financial year,National,England,E92000001,,,,,,Safeguarding children and young peoples services,3.3.3 Local Safeguarding Children Board,41798238,1334364,1335412,1212884,45680898,17969528,27711369,356301,151649,27203419,2
201516,Financial year,National,England,E92000001,,,,,,Safeguarding children and young peoples services,3.3.4 Total Safeguarding Children and Young Peoples Services,2137942655,44773094,35405981,8721483,2226843214,91204165,2135639049,31840245,2470038,2101328766,184
201516,Financial year,National,England,E92000001,,,,,,Family support services,3.4.1 Direct payments,64839133,31280756,536956,1001086,97657931,7452237,90205694,0,0,90205694,8
201516,Financial year,National,England,E92000001,,,,,,Family support services,3.4.2 Short breaks (respite) for disabled children,146484807,31276294,13929541,34316448,226007091,21370585,204636506,1319120,40004,203277383,18
201516,Financial year,National,England,E92000001,,,,,,Family support services,3.4.3 Other support for disabled children,34663450,3517553,454588,1889937,40525528,3120874,37404653,745758,360,36658535,3
201516,Financial year,National,England,E92000001,,,,,,Family support services,3.4.4 Targeted family support,534241182,28395405,32167641,39044302,633848529,83796270,550052259,110475643,8442285,431134332,47
201516,Financial year,National,England,E92000001,,,,,,Family support services,3.4.5 Universal family support,64406391,2427321,198648,8872920,75905280,14923808,60981472,1146772,1748461,58086239,5
201516,Financial year,National,England,E92000001,,,,,,Family support services,3.4.6 Total Family Support Services,844634963,96897329,47287374,85124693,1073944359,130663774,943280585,113687292,10231110,819362183,81
201516,Financial year,National,England,E92000001,,,,,,Services for young people,3.5.1 Universal services for young people,234774082,15282076,4997427,17366387,272419972,35729301,236690671,2287534,1072397,233330740,20
201516,Financial year,National,England,E92000001,,,,,,Services for young people,3.5.2 Targeted services for young people,211449023,19165464,3075921,21870104,255560512,30088419,225472094,4343259,2746577,218382258,19
201516,Financial year,National,England,E92000001,,,,,,Services for young people,3.5.3 Total Services for young people,446223106,34447540,8073348,39236491,527980485,65817720,462162765,6630793,3818974,451712998,40
201516,Financial year,National,England,E92000001,,,,,,Services for young people,"8a.1 Substance misuse services (Drugs, Alcohol and Volatile substances) (included in 3.5.1 and 3.5.2 above)",x,x,x,x,13943037,x,x,x,x,x,0
201516,Financial year,National,England,E92000001,,,,,,Services for young people,8a.2 Teenage pregnancy services (included in 3.5.1 and 3.5.2 above),x,x,x,x,5925904,x,x,x,x,x,0
201516,Financial year,National,England,E92000001,,,,,,Youth justice,3.6.1 Youth justice,x,x,x,x,295074852,123409619,171665234,x,x,x,15
201516,Financial year,National,England,E92000001,,,,,,Capital expenditure,4.0.1 Capital Expenditure from Revenue (CERA) (Childrens and young people services),x,x,x,x,125694737,8048198,117646539,x,x,x,10
201516,Financial year,National,England,E92000001,,,,,,Total,5.0.2 Total Children and Young Peoples Services Expenditure (excluding CERA),x,x,x,x,9012317385,x,8291763287,x,x,x,715
201516,Financial year,National,England,E92000001,,,,,,Total,5.0.3 Total Children and Young Peoples Services Expenditure (including CERA),x,x,x,x,9138012122,x,8409409826,x,x,x,725
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,50944060,8592306,1175574,2139739,62851678,10506192,52345487,270043,0,52075444,43
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,31598573,1371376,27066,26197122,59194136,4260866,54933270,0,112,54933158,51
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,23800023,23055021,137,0,46855181,4333631,42521550,0,0,42521550,44
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,39983144,11787879,1738510,3785723,57295256,17902312,39392944,1006497,2054,38384393,31
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,55648674,4247970,8429190,8860387,77186221,12043311,65142910,1120030,0,64022880,43
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,51516091,2374558,4948978,11658276,70497902,3695349,66802554,1068700,3439,65730415,35
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,56843904,663913,4522243,3748099,65778159,14346130,51432029,0,0,51432029,74
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,22774446,1072068,26497,4385164,28258175,5072237,23185938,3641,0,23182297,44
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,21965169,2540475,1311281,14666912,40483837,970065,39513772,55000,0,39458772,31
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,38713726,26446,150,1348537,40088859,7731590,32357269,1762150,756582,29838537,28
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,4905221,250863,914544,141778,6212407,551939,5660468,0,4000,5656468,3
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,4077055,25929,0,691780,4794764,29994,4764770,0,24,4764746,4
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,934682,1975343,0,50000,2960025,8797,2951228,0,0,2951228,2
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,4469470,7936855,0,1105872,13512197,804357,12707840,0,0,12707840,11
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,4369148,1289443,168955,352997,6180543,522203,5658340,0,0,5658340,5
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,22288278,2038042,1314916,2592668,28233904,5207229,23026675,0,0,23026675,33
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,7339917,683574,5774984,1440561,15239035,771447,14467587,0,0,14467587,10
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,7836202,48500,0,2345150,10229852,601067,9628785,0,839,9627946,10
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,2302649,0,3692330,5981221,11976200,1158840,10817360,0,0,10817360,8
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,1501334,0,148118,620962,2270414,581101,1689313,22000,0,1667313,3
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,7464228,20041,333,0,7484602,15994,7468608,111200,0,7357408,4
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,4042830,13523,72346,24637,4153336,318621,3834715,0,0,3834715,3
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,2309092,8196,0,0,2317288,140473,2176815,0,0,2176815,4
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,2010816,20945,0,0,2031761,114728,1917033,299000,0,1618033,2
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,1456632,0,7309,0,1463941,486602,977339,0,0,977339,1
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,5549576,46026,0,15000,5610602,927981,4682621,137212,17995,4527414,3
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,1957587,0,0,0,1957587,35552,1922035,0,0,1922035,2
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,3588986,0,1307,0,3590293,148030,3442263,0,0,3442263,5
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,8745982,0,0,0,8745982,0,8745982,0,0,8745982,8
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,3192614,0,55251,0,3247865,100552,3147313,0,0,3147313,3
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,9386061,299246,16983,829525,10531815,1962123,8569692,64025,17419,8488248,7
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,17000481,940198,109594,252742,18303015,3848355,14454659,120284,0,14334375,10
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,16308643,796697,0,929200,18034540,1793120,16241420,959527,0,15281893,14
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,5215725,253853,0,200000,5669578,156318,5513260,984704,0,4528556,6
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,11931818,527536,58179,220853,12738386,4267933,8470453,21027,0,8449426,7
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,15184349,331936,483527,1728100,17727912,2217087,15510825,122413,0,15388412,12
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,31488102,1071229,80724,2054894,34694949,2639665,32055284,352628,0,31702656,17
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,10440512,403055,0,0,10843567,3561862,7281705,0,14021,7267684,14
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,12299358,553239,209638,169130,13231365,1970062,11261303,0,5650,11255653,10
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,10663993,117574,310,695315,11477192,519440,10957752,0,0,10957752,16
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,53496501,14062468,1810744,4665248,74034961,19973785,54061176,1070522,19473,52971181,43
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,71287857,10422808,1475054,2738224,85923943,15614949,70308995,291070,0,70017925,57
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,95373641,3716691,5944579,13854947,118889859,6902946,111986913,1532528,7439,110446947,59
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,37025384,1483319,174615,5006126,43689444,9355673,34333771,25641,14021,34294109,66
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,49985802,1971489,236704,27058032,79252026,6375650,72876376,299000,5786,72571590,68
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,40908799,2872411,5494447,22376233,71651890,4832594,66819296,177413,0,66641883,52
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,85538648,5917767,14313768,10568690,116338872,17591094,98747778,1377526,17995,97352257,65
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,93385162,2819529,5838776,7036082,109079548,20220829,88858720,0,0,88858720,128
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,38809537,23357374,137,2545150,64712198,5126568,59585630,984704,839,58600087,62
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,68237821,8759998,150,3383609,80381578,10329067,70052511,2721677,756582,66574252,61
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,Children looked after,3.1.1 Residential care,31064311,104885122,4263146,4978939,145191518,6897795,138293723,803524,71415,137418784,72
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Children looked after,3.1.1 Residential care,58744264,102929620,541889,4952633,167168407,7693900,159474507,0,0,159474507,106
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,Children looked after,3.1.1 Residential care,29219171,54800772,547673,9802023,94369639,6479574,87890066,143465,66320,87680281,82
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,Children looked after,3.1.1 Residential care,40623279,99325846,11938541,175049,152062715,7734159,144328556,1635179,0,142693377,115
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Children looked after,3.1.1 Residential care,14987435,79468167,640770,737459,95833832,6714510,89119322,91130,0,89028192,72
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Children looked after,3.1.1 Residential care,55182662,60906657,599543,510813,117199675,7212999,109986676,1796047,0,108190629,96
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Children looked after,3.1.1 Residential care,36269430,69220883,559162,175001,106224476,5534433,100690043,125631,0,100564412,104
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,Children looked after,3.1.1 Residential care,14079854,42427656,406955,9107722,66022187,3160661,62861526,1264820,0,61596706,90
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,Children looked after,3.1.1 Residential care,28992496,53413139,2677955,5564893,90648483,8852987,81795496,70000,0,81725496,63
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Children looked after,3.1.1 Residential care,33232337,29433625,2023199,3786110,68475271,5518462,62956809,187065,401436,62368308,120
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,Children looked after,3.1.2 Total Fostering services,81454764,54444569,223146,0,136122479,1894958,134227520,894756,143960,133188804,125
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Children looked after,3.1.2 Total Fostering services,118971726,86964417,554345,26842078,233332566,1570732,231761835,477673,297501,230986661,154
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Children looked after,3.1.2 Total Fostering services,58303155,49163592,24335,4622573,112113655,625146,111488509,3602884,92697,107792928,115
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Children looked after,3.1.2 Total Fostering services,83847365,57930081,6280206,604731,148662384,24288323,124374060,2749061,120722,121504277,101
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,Children looked after,3.1.2 Total Fostering services,58706723,50092699,526170,6229925,115555517,2462189,113093329,728969,152936,112211424,162
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,Children looked after,3.1.2 Total Fostering services,125166044,98290337,741003,1266021,225463406,2120056,223343350,12371857,91418,210880075,117
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,Children looked after,3.1.2 Total Fostering services,84270765,76750091,138081,3776158,164935095,1162578,163772517,3930419,0,159842098,127
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Children looked after,3.1.2 Total Fostering services,65952652,19437366,663777,5751140,91804935,1537856,90267079,513203,347501,89406375,172
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Children looked after,3.1.2 Total Fostering services,81448182,58944312,362294,1421519,142176307,2013596,140162711,647269,0,139515442,123
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,Children looked after,3.1.2 Total Fostering services,87343832,97537136,11649710,893359,197424037,2343602,195080435,562466,0,194517969,156
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,Children looked after,3.1.3 Adoption services,24777124,1833827,911999,319000,27841950,4178252,23663698,1303314,556749,21803635,22
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Children looked after,3.1.3 Adoption services,23975918,5788304,754688,421342,30940252,2770978,28169274,1398381,97000,26673894,23
201516,Financial year,Regional,England,E92000001,West Midlands,E12000005,,,,Children looked after,3.1.3 Adoption services,28070560,2475332,3603670,1320521,35470082,3302652,32167431,2287264,180386,29699781,26
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Children looked after,3.1.3 Adoption services,36858428,2596896,2165557,1306400,42927281,5705124,37222157,2256015,689446,34276696,25
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Children looked after,3.1.3 Adoption services,30207300,3446205,1760735,474944,35889184,4846273,31042911,2286703,0,28756208,27
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,Children looked after,3.1.3 Adoption services,38315296,2794299,1822630,1798420,44730645,5448576,39282069,1476649,343891,37461529,21
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,Children looked after,3.1.3 Adoption services,25300725,4018888,2230539,49441,31599593,2444888,29154705,1001781,165218,27987706,42
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Children looked after,3.1.3 Adoption services,13184046,534177,525888,904519,15148630,1437690,13710940,752986,127005,12830949,26
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,Children looked after,3.1.3 Adoption services,25653964,2570677,824456,77083,29126180,2107810,27018370,846084,489066,25683220,21
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Children looked after,3.1.3 Adoption services,20058869,1462951,389846,369487,22281153,1554742,20726411,516960,566021,19643430,21
201516,Financial year,Regional,England,E92000001,South West,E12000009,,,,Children looked after,3.1.4 Special guardianship support,15536533,529790,0,0,16066323,256699,15809624,0,0,15809624,15
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Children looked after,3.1.4 Special guardianship support,9434569,0,0,362798,9797367,35378,9761989,0,0,9761989,19
201516,Financial year,Regional,England,E92000001,South East,E12000008,,,,Children looked after,3.1.4 Special guardianship support,37607288,63341,33666,1850,37706145,18776,37687369,0,0,37687369,20
201516,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,Children looked after,3.1.4 Special guardianship support,11283673,2163220,0,0,13446893,2015,13444878,0,0,13444878,14
201516,Financial year,Regional,England,E92000001,Inner London,E13000001,,,,Children looked after,3.1.4 Special guardianship support,14602958,1021362,12632,1495665,17132617,0,17132617,0,0,17132617,25
201516,Financial year,Regional,England,E92000001,East of England,E12000006,,,,Children looked after,3.1.4 Special guardianship support,19699686,0,0,0,19699686,6357,19693329,0,0,19693329,15
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Children looked after,3.1.4 Special guardianship support,29242557,2756655,0,225,31999437,60771,31938665,0,0,31938665,21
201516,Financial year,Regional,England,E92000001,Yorkshire and The Humber,E12000003,,,,Children looked after,3.1.4 Special guardianship support,18390904,1765150,0,0,20156054,9354,20146700,0,0,20146700,18
201516,Financial year,Regional,England,E92000001,Outer London,E13000002,,,,Children looked after,3.1.4 Special guardianship support,18245066,4439499,864023,0,23548588,30399,23518189,44377,0,23473812,19
