time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,category_of_expenditure,description_of_expenditure,own_provision,private_provision,other_public_sector_provision,voluntary_provision,total_expenditure,income,net_current_expenditure,grants_inside_AEF,grants_outside_AEF,net_revenue_expenditure,per_capita_net_current_spend
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Children looked after,3.1.7 Children placed with family and friends,319151,0,0,0,319151,0,319151,0,0,319151,5
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Children looked after,3.1.8 Education of looked after children,1074423,109782,77030,0,1261234,199170,1062064,0,36158,1025906,16
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Children looked after,3.1.9 Leaving care support services,726303,1376841,0,0,2103144,321,2102823,12404,114885,1975534,31
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Children looked after,3.1.10 Asylum seeker services children,0,342907,0,0,342907,0,342907,0,319975,22932,5
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Children looked after,3.1.11 Total Children Looked After,12423401,11627290,508240,136710,24695641,2833651,21861990,12404,688907,21160680,322
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Other children and family services,3.2.1 Other children and families services,77929,0,0,0,77929,140,77789,0,0,77789,1
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Safeguarding children and young peoples services,3.3.1 Social work (including LA functions in relation to child protection),7685508,2233,266727,227771,8182239,71779,8110460,0,55100,8055360,119
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Safeguarding children and young peoples services,3.3.2 Commissioning and Childrens Services Strategy,801169,0,110183,0,911352,318431,592921,0,0,592921,9
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Safeguarding children and young peoples services,3.3.3 Local Safeguarding Children Board,264229,43007,21004,0,328241,227022,101219,0,0,101219,1
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Safeguarding children and young peoples services,3.3.4 Total Safeguarding Children and Young Peoples Services,8750906,45240,397914,227771,9421832,617232,8804600,0,55100,8749500,129
201819,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Family support services,3.4.1 Direct payments,69164,1378595,0,28031,1475790,300806,1174984,0,0,1174984,17
