time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic,school_type,number_of_children,permanent_exclusions,permanent_exclusions_%,fixed_term_exclusions,fixed_term_exclusions_%
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Looked after children,State-funded primary secondary and special,228,c,c,20,8.77
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Looked after children,State-funded primary secondary and special,253,c,c,28,11.07
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Looked after children,State-funded primary secondary and special,200,c,c,26,13
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Looked after children,State-funded primary secondary and special,215,c,c,22,10.23
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Looked after children,State-funded primary secondary and special,144,c,c,21,14.58
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Looked after children,State-funded primary secondary and special,238,c,c,34,14.29
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Looked after children,State-funded primary secondary and special,181,c,c,15,8.29
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Looked after children,State-funded primary secondary and special,185,c,c,10,5.41
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Looked after children,State-funded primary secondary and special,227,c,c,30,13.22
201718,Reporting year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Looked after children,State-funded primary secondary and special,371,c,c,42,11.32
201718,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Looked after children,State-funded primary secondary and special,132,c,c,14,10.61
201718,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Looked after children,State-funded primary secondary and special,457,c,c,64,14
201718,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Looked after children,State-funded primary secondary and special,144,c,c,20,13.89
201718,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Looked after children,State-funded primary secondary and special,233,c,c,34,14.59
201718,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Looked after children,State-funded primary secondary and special,131,c,c,16,12.21
201718,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston upon Hull City of,Looked after children,State-funded primary secondary and special,316,c,c,26,8.23
201718,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Looked after children,State-funded primary secondary and special,330,c,c,29,8.79
201718,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Looked after children,State-funded primary secondary and special,610,c,c,83,13.61
201718,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Looked after children,State-funded primary secondary and special,149,c,c,23,15.44
201718,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Looked after children,State-funded primary secondary and special,112,c,c,13,11.61
201718,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Looked after children,State-funded primary secondary and special,179,c,c,20,11.17
201718,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Looked after children,State-funded primary secondary and special,224,c,c,28,12.5
201718,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Looked after children,State-funded primary secondary and special,264,c,c,35,13.26
201718,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Looked after children,State-funded primary secondary and special,214,c,c,23,10.75
201718,Reporting year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Looked after children,State-funded primary secondary and special,84,c,c,9,10.71
201718,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Looked after children,State-funded primary secondary and special,198,c,c,20,10.1
201718,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Looked after children,State-funded primary secondary and special,273,c,c,35,12.82
201718,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Looked after children,State-funded primary secondary and special,282,c,c,26,9.22
201718,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Looked after children,State-funded primary secondary and special,226,c,c,21,9.29
201718,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Looked after children,State-funded primary secondary and special,288,c,c,26,9.03
201718,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Looked after children,State-funded primary secondary and special,411,c,c,55,13.38
201718,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Looked after children,State-funded primary secondary and special,290,c,c,35,12.07
201718,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Looked after children,State-funded primary secondary and special,365,c,c,38,10.41
201718,Reporting year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Looked after children,State-funded primary secondary and special,15,c,c,c,c
201718,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Looked after children,State-funded primary secondary and special,851,c,c,86,10.11
201718,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Looked after children,State-funded primary secondary and special,256,c,c,36,14.06
201718,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Looked after children,State-funded primary secondary and special,336,c,c,38,11.31
201718,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Looked after children,State-funded primary secondary and special,164,c,c,20,12.2
201718,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Looked after children,State-funded primary secondary and special,297,c,c,23,7.74
201718,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Looked after children,State-funded primary secondary and special,129,c,c,9,6.98
201718,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Looked after children,State-funded primary secondary and special,171,c,c,19,11.11
201718,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Looked after children,State-funded primary secondary and special,477,c,c,49,10.27
201718,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Looked after children,State-funded primary secondary and special,333,c,c,33,9.91
201718,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Looked after children,State-funded primary secondary and special,172,c,c,20,11.63
201718,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Looked after children,State-funded primary secondary and special,313,c,c,24,7.67
201718,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Looked after children,State-funded primary secondary and special,280,c,c,29,10.36
201718,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Looked after children,State-funded primary secondary and special,359,c,c,38,10.58
201718,Reporting year,Local authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Looked after children,State-funded primary secondary and special,354,c,c,38,10.73
201718,Reporting year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford borough,Looked after children,State-funded primary secondary and special,103,c,c,11,10.68
201718,Reporting year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Looked after children,State-funded primary secondary and special,281,c,c,35,12.46
201718,Reporting year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Looked after children,State-funded primary secondary and special,143,c,c,13,9.09
201718,Reporting year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Looked after children,State-funded primary secondary and special,454,c,c,62,13.66
201718,Reporting year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Looked after children,State-funded primary secondary and special,400,c,c,52,13
201718,Reporting year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Looked after children,State-funded primary secondary and special,163,c,c,28,17.18
201718,Reporting year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Looked after children,State-funded primary secondary and special,489,c,c,44,9
201718,Reporting year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Looked after children,State-funded primary secondary and special,147,c,c,19,12.93
201718,Reporting year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Looked after children,State-funded primary secondary and special,127,c,c,19,14.96
201718,Reporting year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Looked after children,State-funded primary secondary and special,347,c,c,54,15.56
201718,Reporting year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Looked after children,State-funded primary secondary and special,120,c,c,7,5.83
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Looked after children,State-funded primary secondary and special,43,c,c,7,16.28
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,Looked after children,State-funded primary secondary and special,170,c,c,28,16.47
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,Looked after children,State-funded primary secondary and special,194,c,c,25,12.89
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,Looked after children,State-funded primary secondary and special,267,c,c,27,10.11
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Looked after children,State-funded primary secondary and special,714,c,c,95,13.31
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,Looked after children,State-funded primary secondary and special,110,c,c,12,10.91
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,Looked after children,State-funded primary secondary and special,768,c,c,79,10.29
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,Looked after children,State-funded primary secondary and special,190,c,c,25,13.16
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,826,E06000042,Milton Keynes,Looked after children,State-funded primary secondary and special,173,c,c,17,9.83
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,Looked after children,State-funded primary secondary and special,263,c,c,29,11.03
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,Looked after children,State-funded primary secondary and special,152,c,c,30,19.74
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,870,E06000038,Reading,Looked after children,State-funded primary secondary and special,117,c,c,14,11.97
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,871,E06000039,Slough,Looked after children,State-funded primary secondary and special,63,c,c,6,9.52
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,Looked after children,State-funded primary secondary and special,275,c,c,36,13.09
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,Looked after children,State-funded primary secondary and special,320,c,c,35,10.94
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,Looked after children,State-funded primary secondary and special,68,c,c,9,13.24
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Looked after children,State-funded primary secondary and special,239,c,c,31,12.97
201718,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Looked after children,State-funded primary secondary and special,38,c,c,c,c
