time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,performance_type,cla_ks4_outcomes_children_total,cla_ks4_englishandmathsL4_number_achieving,cla_ks4_englishandmathsL4_percent_achieving,cla_ks4_englishandmathsL5_number_achieving,cla_ks4_englishandmathsL5_percent_achieving,cla_ks4_att8_points_total,cla_ks4_att8_average_points,cla_ks4_progress8_children_eligible,cla_ks4_progress8_points_total,cla_ks4_progress8_points_average
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,KS4,14,c,c,c,c,171,12.2,12,-17.811,-1.48
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,KS4,31,c,c,c,c,446,14.4,24,-29.775,-1.24
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,KS4,75,13,17.3,7,9.3,1389.25,18.5,55,-54.106,-0.98
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,KS4,58,15,25.9,8,13.8,1224.5,21.1,49,-54.522,-1.11
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,KS4,28,c,c,c,c,462,16.5,24,-38.45,-1.6
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,931,E10000025,Oxfordshire,KS4,61,13,21.3,c,c,1175.75,19.3,46,-52.508,-1.14
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,KS4,48,9,18.8,c,c,867,18.1,38,-48.402,-1.27
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,KS4,71,14,19.7,6,8.5,1235.75,17.4,61,-66.645,-1.09
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,936,E10000030,Surrey,KS4,73,9,12.3,c,c,948.5,13,54,-95.136,-1.76
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,KS4,39,7,17.9,c,c,747,19.2,29,-30.614,-1.06
2018/19,year ending 31 march 2019,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,KS4,52,7,13.5,c,c,703.25,13.5,39,-47.223,-1.21
